,created,handle,text,tweet_id
0,Tue Mar 27 16:39:05 +0000 2018,AlbertaFerretti,"Still time for sweaters! The #RainbowWeek uniform is definitely the most loved item of the season. Grab your own outfit → https://t.co/l3yTwLOuN8
#AlbertaFerretti https://t.co/cORsjNQ5YB",978672766391078913
1,Fri Mar 23 15:54:13 +0000 2018,AlbertaFerretti,"Dresses shimmer with sequins, feathers, lamé and lurex
in pastel shades that take you from day to night. Discover the new story from the Alberta Ferretti SS18 collection → https://t.co/v4DRnIaLMo https://t.co/DHUyEBeUJc",977211925867180032
2,Thu Mar 22 19:08:43 +0000 2018,AlbertaFerretti,"Our girls embody the iconic sophistication of #AlbertaFerretti.
Immerse yourself in the sparkling world of the Spring Summer 2018 collection. https://t.co/BGzNBkopUL",976898483482394624
3,Mon Mar 19 19:21:34 +0000 2018,AlbertaFerretti,Stunning editorial by @giampaolosgura featuring model Grace Elizabeth in a flowing dress by #AlbertaFerretti for @VOGUERussia. https://t.co/1jFMlpiQY5,975814555736641538
4,Fri Mar 16 17:32:31 +0000 2018,AlbertaFerretti,Striking a pose in the middle of the street! #NeginMirsalehi is wearing a black leather dress and bag by #AlberteFerretti. https://t.co/ftWFRJGfQh,974699949278613506
5,Wed Mar 14 17:47:11 +0000 2018,AlbertaFerretti,Gorgeous #HaileeSteinfeld was a sparkling vision wearing this #AlbertaFerretti sequined total look during the 60th Annual #Grammys2018 Awards. https://t.co/fT6oYP3fam,973978862202834945
6,Mon Mar 12 18:18:06 +0000 2018,AlbertaFerretti,Discover the magic of the Alberta Ferretti Limited Edition 2018 collection → https://t.co/DmGmAQMdeF https://t.co/Hmtyy4Jihh,973261870550446080
7,Wed Mar 07 18:11:49 +0000 2018,AlbertaFerretti,"Glitter Fever, new editorial on @VogueParis featuring model Madison Headrick sparkling in a shiny dress from the #AlbertaFerretti #SS18 captured by Inez and Vinoodh and styled by Emmanuelle Alt. https://t.co/QUVoJI8kne",971448349307138049
8,Mon Mar 05 17:54:28 +0000 2018,AlbertaFerretti,"Breathtaking @AdrianaLima attends the Vanity Fair Oscar Party wearing a custom made #AlbertaFerretti gown with maxi bow in black satin adorning the back of the dress.
#Oscars #Oscars90 #VFOscars https://t.co/SVRmBkD2Mp",970719205128622082
9,Mon Mar 05 17:53:23 +0000 2018,AlbertaFerretti,"Divine #ElsaHosk sparkles at the Vanity Fair Oscar party in a custom-made #AlbertaFerretti gown embellished with @swarovski crystals.

#Oscars #Oscars90 #VFOscars https://t.co/ah7z6qHIl1",970718932255551492
10,Thu Mar 01 15:45:50 +0000 2018,AlbertaFerretti,"A pair of sequin-covered Mia Mule can turn your season into a fairytale.
Find them here → https://t.co/0mBUYKM2TW https://t.co/TqJj6Esj5Z",969237283118505991
11,Wed Feb 28 17:30:19 +0000 2018,AlbertaFerretti,"Wear a dress that will carry you gorgeous into the late hours.
Get inspired and make your wishes come true → https://t.co/DmGmAQMdeF https://t.co/5lCStFFT4o",968901189541777410
12,Sun Feb 25 13:58:03 +0000 2018,AlbertaFerretti,Live the enchanting glamour of the Alberta Ferretti Fall Winter 2018 backstage. https://t.co/2SHObEeiWt,967760606655860737
13,Sat Feb 24 10:31:06 +0000 2018,AlbertaFerretti,"Take a shiny, energetic and powerful journey through the backstage hosted by Jordan Barrett and discover the Alberta Ferretti Fall Winter 2018 fashion show highlights. Video by FASHION TO MAX. https://t.co/XWbYTTa0AV",967346137391947782
14,Fri Feb 23 11:28:40 +0000 2018,AlbertaFerretti,"RT @THELOVEMAGAZINE: 🌈 MFW AW18: Love interviewed @AlbertaFerretti talking about 80s influence, sequins and personality 🌈
See BTS photograp…",966998238267101184
15,Wed Feb 14 16:16:17 +0000 2018,AlbertaFerretti,"Add a bright red heart to your Spring wardrobe, the Mia Mule never goes out of style. 
Discover the whole Alberta Ferretti Spring Summer 2018 collection at the following link.
→ https://t.co/0mBUYKM2TW https://t.co/wM7slzNDIL",963809127893028864
16,Wed Feb 07 16:55:46 +0000 2018,AlbertaFerretti,"Life is not perfect but your bag can be! 
Carry everywhere the Elephant Capsule by Alberta Ferretti.
Different and unique, exactly like you. https://t.co/DEyVdz1KgQ",961282351308378113
17,Mon Feb 05 16:55:51 +0000 2018,AlbertaFerretti,"The power of our girls, Vittoria, Binx and Cara, when friendship is joy, happiness and mutual trust. 
Take a look behind the scenes of the Alberta Ferretti ADV campaign SS18. https://t.co/NpM9YGxHCj",960557592551526401
