,created,handle,text,tweet_id
0,Sun Mar 04 22:06:49 +0000 2018,Balenciaga,"Fall Winter 18
Discover the women’s collection https://t.co/TipLbp0Z3V https://t.co/U51TipB4BK",970420323991670784
1,Sun Mar 04 22:05:31 +0000 2018,Balenciaga,"Fall Winter 18 
Discover the men’s collection https://t.co/NBU91JDCXS https://t.co/lxNRLWFFmj",970419997519564800
2,Sun Mar 04 11:09:52 +0000 2018,Balenciaga,"Balenciaga Supports The World Food Programme
@WFP. For more information follow the link https://t.co/dlP83pswdM https://t.co/eApGryH3Eb",970254996762775552
3,Sat Mar 03 09:00:13 +0000 2018,Balenciaga,"Fall Winter 18 Show
Sunday March 04 11:30AM CET
Watch Live on Instagram and Facebook https://t.co/6xGPWEk69A",969859983209885698
4,Fri Mar 02 13:05:27 +0000 2018,Balenciaga,https://t.co/TL4cWAeEZZ,969559307284082691
5,Wed Feb 28 14:56:48 +0000 2018,Balenciaga,"Balenciaga Women Spring Summer 18.
Collection available now online and in stores: https://t.co/UA96EF90Wy https://t.co/DZOT6sQ24U",968862554608033792
6,Thu Feb 01 15:00:10 +0000 2018,Balenciaga,"Balenciaga Women Spring Summer 18.
Photography by Bestimage Agency, styling by Lotta Volkova. https://t.co/2VHekpEbCe https://t.co/tBblpaBbkj",959078931847700480
7,Thu Feb 01 14:35:52 +0000 2018,Balenciaga,"Balenciaga Women Spring Summer 18.
Photography by Bestimage Agency, styling by Lotta Volkova. https://t.co/2VHekpmAdE https://t.co/51Mupm0TUO",959072817059778560
8,Thu Feb 01 13:03:40 +0000 2018,Balenciaga,"Balenciaga Women Spring Summer 18.
Photography by Bestimage Agency, styling by Lotta Volkova. https://t.co/2VHekpEbCe https://t.co/frw25YuiL8",959049610437316608
9,Thu Feb 01 10:57:00 +0000 2018,Balenciaga,"Balenciaga Women Spring Summer 18.
Photography by Bestimage Agency, styling by Lotta Volkova. https://t.co/2VHekpEbCe https://t.co/744zxbGEGq",959017734771281920
10,Thu Feb 01 09:20:36 +0000 2018,Balenciaga,"Balenciaga Women Spring Summer 18.
Photography by Bestimage Agency, styling by Lotta Volkova. https://t.co/2VHekpEbCe https://t.co/3Zg16GDG4x",958993473771843584
11,Wed Jan 31 18:48:59 +0000 2018,Balenciaga,"Balenciaga Women Spring Summer 18.
Photography by Bestimage Agency, styling by Lotta Volkova.
The new ""Ville"" bag available now online for pre-order and in stores from February 28th. https://t.co/2VHekpEbCe https://t.co/6wCO049LUc",958774125207736320
12,Wed Jan 31 14:48:22 +0000 2018,Balenciaga,"Balenciaga Women Spring Summer 18.
Photography by Bestimage Agency, styling by Lotta Volkova. https://t.co/2VHekpmAdE https://t.co/8Ex61zD6ZE",958713574448185344
13,Wed Jan 31 12:24:03 +0000 2018,Balenciaga,"Balenciaga Women Spring Summer 18.
Photography by Bestimage Agency, styling by Lotta Volkova. https://t.co/2VHekpEbCe https://t.co/5MrUr8A1X5",958677253109551104
14,Wed Jan 31 11:00:57 +0000 2018,Balenciaga,"Balenciaga Women Spring Summer 18.
Photography by Bestimage Agency, styling by Lotta Volkova. https://t.co/2VHekpEbCe https://t.co/2JpM9F5M2C",958656341320568832
15,Wed Jan 31 10:09:26 +0000 2018,Balenciaga,"Balenciaga Women Spring Summer 18.
Photography by Bestimage Agency, styling by Lotta Volkova. https://t.co/2VHekpEbCe https://t.co/AvoMlBHAxi",958643376412295168
16,Mon Jan 22 19:12:09 +0000 2018,Balenciaga,"Capsule Collection.
Available exclusively on @NETAPORTER and @MRPORTERLIVE. https://t.co/ssVC3ldfCs",955518466915733505
17,Fri Jan 19 15:50:23 +0000 2018,Balenciaga,"Men Prefall 18
Discover the full collection https://t.co/ouvB4KtYuw
Photography by Johnny Dufort, styling by Lotta Volkova https://t.co/baeeXRVt0D",954380525841600517
18,Wed Dec 13 13:33:03 +0000 2017,Balenciaga,"Balenciaga Men Spring Summer 18 campaign.
Photography by Robbie Augspurger, styling by Lotta Volkova.
Men &amp; Kids Spring Summer 18 Collections available online for preorder now. In stores from Wednesday December 20th.
https://t.co/JqlKN9OLEq https://t.co/BRgZc3lCiC",940937612537286657
19,Thu Dec 07 15:21:36 +0000 2017,Balenciaga,Graffiti Bazar https://t.co/iRWg7heizy https://t.co/IXnUtAWE8w,938790602841485318
20,Wed Dec 06 14:44:28 +0000 2017,Balenciaga,"Women Fall Winter 17 @BritishVogue 
#JuergenTeller #VenetiaScott https://t.co/TuwoEwXogb",938418871630954496
21,Wed Dec 06 14:40:21 +0000 2017,Balenciaga,"Women Fall Winter 17 
#MarieClaireHK #DinoBusch #AnsonLau https://t.co/EkYccKugE2",938417834740408320
22,Wed Dec 06 14:35:32 +0000 2017,Balenciaga,"Men Spring Summer 18 @wmag 
#LottaVolkova #AnneImhof #NadineFraczkowski #HolliSmith https://t.co/3iuVqIUB0S",938416621772791809
23,Thu Nov 30 11:27:28 +0000 2017,Balenciaga,Balenciaga CopyShop DSM London. https://t.co/rHnhlZhNDD,936194966560366592
24,Wed Nov 29 23:57:03 +0000 2017,Balenciaga,"Balenciaga CopyShop
Dover Street Market London
November 30th to December 17th, 2017. https://t.co/oWPy7YNjA2",936021216686723072
25,Wed Nov 29 10:45:56 +0000 2017,Balenciaga,"Balenciaga CopyShop
Dover Street Market London
November 30th to December 17th, 2017. https://t.co/9eCglXfEpU",935822125197398016
26,Fri Nov 24 09:14:12 +0000 2017,Balenciaga,"Triple S DSM Special.
Available exclusively at Dover Street Market on November 30th. https://t.co/cyrkkZ8dXN",933987103385575424
