,created,handle,text,tweet_id
0,Wed Mar 28 15:29:24 +0000 2018,Balmain,"FOREVER LEATHER, #BALMAINBBOX is now available at: https://t.co/H9KqC5BlV7 https://t.co/CXWDcvUhTf",979017620140756992
1,Wed Mar 28 13:07:55 +0000 2018,Balmain,"DIAMONDS IN DETAILS, @sharonstone by Cameron Postforoosh wears #BALMAINSS18 for @ODDAmagazine styled by David Martings #BALMAINARMY https://t.co/ythkBRBdN8",978982016199819266
2,Tue Mar 27 19:50:28 +0000 2018,Balmain,"LINED PERSUASION, Alicia Vikander by Mark Seliger wears #BALMAINSS18 for Vogue China styled
 by @danielapaudice https://t.co/YHb1PK33KI",978720931848839170
3,Tue Mar 27 18:15:07 +0000 2018,Balmain,"EMBROIDERED NATURE, Celia Becker by @_elionogueira wears #BALMAINSS18 for @VogueBRoficial styled by Sarah Cazeneuve https://t.co/uocK9z6nfG",978696937028378624
4,Tue Mar 27 15:47:12 +0000 2018,Balmain,"MODERN NEUTRALS, Shop the new #BALMAINSS18 nude arrivals: https://t.co/88VteEbalq https://t.co/m21UC1nQSQ",978659709468250112
5,Tue Mar 27 12:32:07 +0000 2018,Balmain,"LADY EDIE, @ediebcampbell by Alasdair McLellan wears #BALMAINSS18 for @VogueParis styled by Aleksandra Woroniecka https://t.co/v12d6ZSGyg",978610618877054976
6,Mon Mar 26 15:43:18 +0000 2018,Balmain,"NUDE PALETTE, Shop new #BALMAINSS18 arrivals: https://t.co/CZc6nuL764 https://t.co/xfjUIOhJAV",978296341423108096
7,Mon Mar 26 14:08:36 +0000 2018,Balmain,"SHADOW &amp; NET, @malaikafirth wears #BALMAINSS18, shot and styled by Damian Foxe for @htsi https://t.co/may2gTuwh7",978272508284686336
8,Fri Mar 23 19:30:11 +0000 2018,Balmain,"STUDDED BEAUTY, Shujing Zhou by Alexandra Von Fuerst wears #BALMAINFW18 for @CRFASHIONBOOK styled by Viola Galassi https://t.co/x6KFEN0E5S",977266277113909249
9,Fri Mar 23 15:48:41 +0000 2018,Balmain,"COIN MODE, Shop new #BALMASINSS18 coin logo pieces: https://t.co/wEYHIhDVGt https://t.co/w0TNQxEGTn",977210532930490368
10,Fri Mar 23 14:29:29 +0000 2018,Balmain,"PVC FRILLS, @haileybaldwin by Liz Collins for @vogueturkiye wears #BALMAINSS18 styled by Konca Aykan https://t.co/xshdrl2NCG",977190602776432641
11,Fri Mar 23 11:29:43 +0000 2018,Balmain,RT @VogueRunway: The best way to find your @Uber driver? Take notes from Anna Ewers and pour yourself into space-age @balmain by @oroustein…,977145360547229696
12,Fri Mar 23 10:56:57 +0000 2018,Balmain,"DREAMCATCHER, Niko Traubman by @ethjgreen for Vogue Homme wears #BALMAINSS18 styled by Anastasia Barbieri https://t.co/H8dFiQnmvg",977137115623542784
13,Thu Mar 22 15:30:16 +0000 2018,Balmain,"MONOCHROME DREAMS, Shop new #BALMAINSS18 arrivals: https://t.co/JmdBCZPtPE #BALMAINARMY https://t.co/cTVPeO74OH",976843508857307146
14,Thu Mar 22 14:40:50 +0000 2018,Balmain,"STUDDED THOUGHTS, @carovreeland by Philip Gay for @Elle_ru wears #BALMAINSS18 styled by mukhins https://t.co/BEjHjNwXhP",976831071907180544
15,Thu Mar 22 14:15:50 +0000 2018,Balmain,"Last night, Monica Bellucci walked the red carpet in #BALMAINSS18 before the 62nd David di Donatello Awards #BALMAINARMY https://t.co/EzrnZIr2ZO",976824778542714885
16,Thu Mar 22 12:51:18 +0000 2018,Balmain,"TUTU TWIST, @McKennaHellam by Philip Gay in #BALMAINSS18 styled by Francesca Rinciari  for @smoda https://t.co/CRbUtSHRX9",976803503883550720
17,Thu Mar 22 10:24:56 +0000 2018,Balmain,"WARRIOR, Model by Nathaniel Goldberg wears #BALMAINSS18 styled by David Bradshaw for @NumeroMagazine https://t.co/HyR3mUZePA",976766670558646272
18,Tue Mar 20 10:44:02 +0000 2018,Balmain,"DREAM IN JEAN, Shop new #BALMAINKIDS arrivals: https://t.co/mZgTiOjc8N https://t.co/z6PljyT1M1",976046703534137345
19,Mon Mar 19 11:54:26 +0000 2018,Balmain,"FRESH PRESS, Shop the #BALMAINSS18 newspaper print: https://t.co/xVP2tFU2wB https://t.co/nBZ7xTwHG2",975702029929713664
20,Fri Mar 16 13:50:49 +0000 2018,Balmain,"BAG &amp; GO, Shop the #BALMAINBLINK bag as seen on Negin Mirsalehi: https://t.co/AXM8quf2Cm https://t.co/QhrYiMppbA",974644154407014400
21,Thu Mar 15 15:19:52 +0000 2018,Balmain,"ALL BLACK, Shop men's #BALMAINSS18 new arrivals: https://t.co/vabAyGsb7w https://t.co/sPxBMHfKkz",974304179178082304
22,Wed Mar 14 21:22:15 +0000 2018,Balmain,"STRENGTH IN VINYL, @CTurlington by @inezandvinoodh wears #BALMAINSS18 for @voguejp styled by Sissy Vian https://t.co/miKzMqk03U",974032987015794688
23,Wed Mar 14 20:13:21 +0000 2018,Balmain,"ON TOP OF THE WORLD, @FloNgala wears the #BALMAINSS18 skirt styled by Kyle Luis for @garage_magazine https://t.co/rSZIWFxGuJ",974015647226191872
24,Wed Mar 14 18:06:24 +0000 2018,Balmain,"BEEHIVE CHIC, Amalie Lund Nilsson by Alan Gelati in #BALMAINSS18 styled by Sophie Pera for @Tatlermagazine https://t.co/C07pidwbJa",973983698541535232
25,Tue Mar 13 18:30:14 +0000 2018,Balmain,"EMBELLISHED LINKS, Alexis Jaye by @AgataPos for @BazaarUK wears #BALMAINSS18 styled by Charlie Harringon https://t.co/lOlrBgcN7V",973627311986679808
26,Tue Mar 13 17:30:12 +0000 2018,Balmain,"VINYL DREAMS, @ajanaomi_king by Olivia Malone for @glamourmag wears a #BALMAINSS18 skirt styled by Simon Robins https://t.co/keevzFVqhq",973612203394953216
27,Tue Mar 13 17:00:22 +0000 2018,Balmain,"VINYL SHINE, Shop new #BALMAINSS18 arrivals: https://t.co/AAPYT19Wog https://t.co/21SZbPKngq",973604694219284481
28,Tue Mar 13 16:15:59 +0000 2018,Balmain,"EDGED UP, @ImaanHammam by Patrick Demarchelier for @VogueArabia in #BALMAINSS18 styled by Michael Philouze https://t.co/wvJEl9iB2t",973593523802034178
29,Tue Mar 13 13:00:06 +0000 2018,Balmain,"DIVE IN, @KimKardashian by Boo George in #BALMAINEPISODE styled by Anna Trevelyan for the cover of @ELLEmagazine @ninagarcia https://t.co/VqUUZjNKa3",973544228780478465
30,Mon Mar 12 20:15:09 +0000 2018,Balmain,"DAISY DREAMS, @gucci1017 by Ryan McGinley wearing #BALMAINSS18 for the cover of @NYTmag styled by @Jason_Rembert https://t.co/YYDN0iknjM",973291324085604352
31,Mon Mar 12 18:15:07 +0000 2018,Balmain,"SUPER WOMAN, Lily Nova by Alasdair McLellan for @wmag wearing #BALMAINSS18 styled by @kegrand https://t.co/FylWiR0TZa",973261116582264837
32,Mon Mar 12 17:08:40 +0000 2018,Balmain,"BALMAIN STUDS, Shop new studded arrivals: https://t.co/zvXdmsTXSI https://t.co/2JaItclq1J",973244396614320131
33,Mon Mar 12 11:53:27 +0000 2018,Balmain,"LACED UP RIGHT, @OliviaPalermo by @Aldabaldetrecu for @hola wearing #BALMAINSS18 styled by @NatyAbascal https://t.co/8DfaAYt4LG",973165067930882048
34,Mon Mar 12 09:51:10 +0000 2018,Balmain,"CLASSIC TWIST, Paz Vega by Rafa Gallar for @elle_es wearing #BALMAINSS18 styled by Sylvia Montoliu https://t.co/c6zNIGhlcq",973134296742494209
35,Wed Mar 07 20:41:44 +0000 2018,Balmain,"BBOX MAGIC, Shop our new #BALMAINSS18 bags now at https://t.co/FjrdGsQxZF https://t.co/wJNPg1AkXG",971486075897204738
36,Wed Mar 07 19:46:45 +0000 2018,Balmain,"LAYERED PRINTS, @priyankachopra by John Kelsey wearing #BALMAINSS18 for @ELLEINDIA styled by Malini Banerji https://t.co/cOooX0PLUx",971472240104570880
37,Wed Mar 07 18:00:22 +0000 2018,Balmain,"SPLASHES OF DETAIL, model wearing #BALMAINSS18 for @htsi shot and styled by @DamianFoxe https://t.co/nI6rvMa1PI",971445466067070981
38,Mon Mar 05 14:08:19 +0000 2018,Balmain,"Last night, @karolinakurkova wore a #BALMAINEPISODE look to the #eltonjohnoscarparty for @ejaf #BALMAINARMY https://t.co/VPqqpZdcSJ",970662294786134016
39,Mon Mar 05 14:04:35 +0000 2018,Balmain,"Last night, @karolinakurkova wore #BALMAINEPISODE to the #VanityFairOscarParty #BALMAINARMY https://t.co/se5cW4aliA",970661352149839873
