,created,handle,text,tweet_id
0,Wed Mar 28 16:18:16 +0000 2018,Burberry,"The @Burberry February 2018 Capsule, shot in partnership with @i_D - directed by Dan Emmerson, photographed by Lillie Eiger &amp; styled by John Hanford c/o Julian Ganio. Music by Oscar Wieczorek x ADSL Camels https://t.co/mQrRqQxXYv",979029919526195200
1,Wed Mar 28 16:18:04 +0000 2018,Burberry,Prince Youngman wears the @Burberry Vintage check bucket hat. Shot in partnership with @i_D with photography by Lillie Eiger and styling by John Hanford c/o Julian Ganio https://t.co/Tl3Ma2cMGE,979029867797901312
2,Mon Mar 26 15:30:14 +0000 2018,Burberry,"Tim wearing the pieces from the @Burberry February Capsule in the #SS18 issue of @TheGQStyle. Photographed by Edd Horder, styled by @Elgar_Johnson https://t.co/yStes3oHZJ",978293054598770693
3,Mon Mar 26 13:30:16 +0000 2018,Burberry,"#TheRainbowCheck – a joyful symbol of inclusivity. Tim wearing pieces from the @Burberry February Capsule in the #SS18 issue of @TheGQStyle. Photographed by Edd Horder, styled by @Elgar_Johnson https://t.co/kKAVjLNVjX",978262861515513857
4,Mon Mar 26 12:46:04 +0000 2018,Burberry,"Tim wears pieces from the @Burberry February Capsule in the #SS18 issue of @TheGQStyle. Photographed by Edd Horder, styled by @Elgar_Johnson https://t.co/5BSDHNkXuR",978251739408281600
5,Fri Mar 23 17:30:19 +0000 2018,Burberry,Listen to #BurberryAcoustic artist @George_Ezra’s new album ‘Staying at Tamara’s’ now https://t.co/fcHxPx6CcJ,977236108928045057
6,Fri Mar 23 16:30:14 +0000 2018,Burberry,"Our new runway tote, crafted from sage green leather with contrast colour details. Shop #TheBeltBag https://t.co/5A9b48vWKm https://t.co/nUz9OK4zpS",977220988109774848
7,Fri Mar 23 14:00:20 +0000 2018,Burberry,"A luxurious tri-tone leather bag, available for a limited time with two contrasting belts to celebrate its launch. Shop #TheBeltBag https://t.co/5A9b48vWKm https://t.co/2ayvfthfKx",977183264715759616
8,Fri Mar 23 12:15:18 +0000 2018,Burberry,"Hebe teams a classic @Burberry crest with the Vintage check dressing gown coat, from our February Capsule https://t.co/yjpSj5uTJq https://t.co/iK0SMtYnpG",977156835655540736
9,Fri Mar 23 12:00:19 +0000 2018,Burberry,"Inspired by the @Burberry archive, Mael wears our February Capsule for @Hypebeast_JP. Photographed by Shouta Kikuchi, styled by Ryosuke Numano https://t.co/1v5q0Lf6fJ",977153060941287424
10,Fri Mar 23 10:30:06 +0000 2018,Burberry,"Mael in the @Burberry #TheRainbowCheck shirt, featured on @Hypebeast_JP. Photographed by Shouta Kikuchi, styled by Ryosuke Numano https://t.co/CZBrL01mfm",977130360281714688
11,Fri Mar 23 10:28:03 +0000 2018,Burberry,"Mael wearing reissued pieces from the @Burberry February Capsule, featured on @Hypebeast_JP. Photographed by Shouta Kikuchi, styled by Ryosuke Numano https://t.co/FbhVTquqGF",977129845254737920
12,Thu Mar 22 16:30:09 +0000 2018,Burberry,"The new leather Belt Bag collection features individually made top handles, hand-stitched to every bag. Shop #TheBeltBag https://t.co/5A9b48vWKm https://t.co/UY6A4CmE7a",976858582556737538
13,Thu Mar 22 14:00:20 +0000 2018,Burberry,"Our new belted leather tote, featuring a contrast colour interior and secret pockets. Shop #TheBeltBag https://t.co/5A9b48vWKm https://t.co/XVSTrWlGA5",976820877814910977
14,Thu Mar 22 11:16:04 +0000 2018,Burberry,"The @Burberry trench worn by Son Ye Jin with our runway tote #TheBeltBag in Heren Magazine. Photographed by Kim Hee June, styled by Lee Yun Mi https://t.co/oF7mEAZRJU",976779538935046144
15,Thu Mar 22 11:15:06 +0000 2018,Burberry,A silk jumpsuit printed with hand-drawn British landmarks. Shop the new collection https://t.co/klK7I7OehO https://t.co/jMxQnf3S4W,976779295908618240
16,Thu Mar 22 11:15:06 +0000 2018,Burberry,"Son Ye Jin wearing a @Burberry print silk jumpsuit in Heren Magazine. Photographed by Kim Hee June, styled by Lee Yun Mi https://t.co/nT1xIhKclN",976779294440640513
17,Tue Mar 20 17:46:23 +0000 2018,Burberry,Tye Sheridan wearing @Burberry tailoring with a wool cashmere coat to the premiere of #ReadyPlayerOne in London https://t.co/9U7XzLBvgd,976152990934556672
18,Tue Mar 20 17:00:20 +0000 2018,Burberry,Juliet wears the seaside print shirt with silk check trousers. A new #BurberryPhotoSeries shot on the South East coast by Rosie Marks https://t.co/F9iHJkVm8i https://t.co/GizKxBPbBn,976141402148163589
19,Tue Mar 20 12:00:18 +0000 2018,Burberry,"Calum in daisy print on the dancefloor with Lauren, wearing a jumpsuit with tartan sandals. A new #BurberryPhotoSeries shot on the South East coast by Rosie Marks https://t.co/F9iHJkVm8i https://t.co/PHUhDVzve4",976065893615718405
20,Tue Mar 20 09:45:06 +0000 2018,Burberry,All at sea. Juliet wears the Vintage check bucket hat and seaside print jacket. A new #BurberryPhotoSeries shot on the South East coast by Rosie Marks https://t.co/F9iHJkVm8i https://t.co/MO2h6PViXz,976031870692585473
21,Mon Mar 19 14:07:05 +0000 2018,Burberry,Rain or shine. Defy the elements in the @Burberry paper-light parka - accented with bright-red cords. https://t.co/hUWGz6O2Dx https://t.co/fhEzjtHGXc,975735413263519747
22,Mon Mar 19 14:07:04 +0000 2018,Burberry,Calum braves the wind in a shell showerproof jacket. A new #BurberryPhotoSeries shot on the South East coast by Rosie Marks https://t.co/F9iHJkVm8i https://t.co/jP6k72Gfg4,975735410184933376
23,Fri Mar 16 18:30:10 +0000 2018,Burberry,.@IAmMariaBorges and @NinaAgdal wearing @Burberry at the @ELLEMagazine trench styling event at the Burberry store in New York #BurberryxELLE https://t.co/z3ct93zGYu,974714457992593408
24,Fri Mar 16 18:01:06 +0000 2018,Burberry,.@CocoandBreezy in @Burberry Vintage check at the @ELLEMagazine trench styling event in New York #BurberryxELLE https://t.co/apePGo5Nti,974707142459576320
