,created,handle,text,tweet_id
0,Wed Mar 28 16:00:02 +0000 2018,CHANEL,#CHANELSpringSummer’s take on the iconic tweed jacket. More in boutiques and on https://t.co/5Vk0ku25XP https://t.co/md6A8kh7pX,979025329913192449
1,Wed Mar 28 09:16:28 +0000 2018,CHANEL,"House ambassador Keira Knightley in @ELLECanada’s April cover story
wearing a tweed dress from the Spring-Summer 2018 collection. Now in boutiques and on https://t.co/5Vk0ktKv6h https://t.co/FGNVVNjwpf",978923768843259904
2,Tue Mar 27 16:00:02 +0000 2018,CHANEL,"Photographed by Karl Lagerfeld at Gabrielle Chanel’s Parisian apartment, Kaia Gerber embodies the new handbag campaign. #CHANELHandbagStories https://t.co/qeEuHEA7lo",978662939505889280
3,Mon Mar 26 16:00:02 +0000 2018,CHANEL,"""How to have fun with your BOY·FRIEND at night"" @Carodemaigret shows you how. #CDMBOYFRIEND #CHANELBOYFRIEND #CHANELWatches Discover on https://t.co/1b3jzo6Tk5 https://t.co/lHSK8eD72O",978300554932883456
4,Mon Mar 26 09:00:03 +0000 2018,CHANEL,Layers of tweed create texture in the #CHANELSpringSummer collection. More in boutiques and on https://t.co/5Vk0ktKv6h https://t.co/cP9HQyJ2Ui,978194859172466688
5,Sun Mar 25 16:00:03 +0000 2018,CHANEL,"""How to have the last word with your BOY·FRIEND"" @Carodemaigret shows you how. #CDMBOYFRIEND #CHANELBOYFRIEND #CHANELWatches Discover on https://t.co/pL344obqPc https://t.co/31zzf5F9fH",977938169931882497
6,Sat Mar 24 17:00:03 +0000 2018,CHANEL,"For the first time, the BOY·FRIEND watch reveals a graphic, black movement developed by CHANEL Haute Horlogerie. #CHANELBOYFRIEND #CHANELWatches #BASELWORLD2018 
Discover the collection on https://t.co/hYKZbREhXL https://t.co/p9MNJNqlBE",977590879790817280
7,Sat Mar 24 09:00:03 +0000 2018,CHANEL,Japanese actress Ayami Nakajo wearing earrings from the current #CHANELSpringSummer 2018 collection. https://t.co/UnVVoJ9DF6,977470083915288576
8,Fri Mar 23 17:00:14 +0000 2018,CHANEL,"Graphic knitwear catches light for #CHANELSpringSummer 2018, now in boutiques. https://t.co/qB6cjjT5PO",977228541224943616
9,Fri Mar 23 09:40:03 +0000 2018,CHANEL,Shimmering beaded bracelets add an element of light to the #CHANELSpringSummer 2018 collection. https://t.co/qxEJQq1d0K,977117762148536320
10,Thu Mar 22 17:00:04 +0000 2018,CHANEL,"""How to take advantage of the situation with your BOY·FRIEND"" @Carodemaigret shows you how. #CDMBOYFRIEND #CHANELBOYFRIEND #CHANELWatches #BASELWORLD2018 Discover more on https://t.co/MeWceGmNTD https://t.co/ntvnwlH3hN",976866110434811904
