,created,handle,text,tweet_id
0,Wed Mar 28 17:54:32 +0000 2018,CALVIN KLEIN,Discover next-level comfort for everyday wear with new Perfectly Fit styles from CALVIN KLEIN UNDERWEAR [US]: https://t.co/QDHLPBg99V #MYCALVINS https://t.co/dLg1SwkHKQ,979054143917776897
1,Tue Mar 27 19:47:31 +0000 2018,CALVIN KLEIN,"Anything-but-basics: the Body cut-out set from CALVIN KLEIN UNDERWEAR, pure cotton essentials made for comfort [US]: https://t.co/XyqNzrAHvI #MYCALVINS https://t.co/np9SOcDPRf",978720187523399682
2,Tue Mar 27 16:00:04 +0000 2018,CALVIN KLEIN,The heartbreak kid: @luckybsmith wears CALVIN KLEIN #205W39NYC in @GQSpain's March issue. Photographed by Richard Ramos. https://t.co/N5UEyURTuW,978662949517701122
3,Tue Mar 27 15:12:38 +0000 2018,CALVIN KLEIN,Spotlight ready: actress #OliviaCooke stunned in a Spring 2018 CALVIN KLEIN 205W39NYC red nylon evening dress and satin sandals at last night’s Hollywood premiere of #ReadyPlayerOne. @readyplayerone https://t.co/xa9LJcGhEv,978651012151029761
4,Mon Mar 26 21:26:02 +0000 2018,CALVIN KLEIN,"Americana with a twist: the Western contrast denim from CALVIN KLEIN JEANS, as seen in @vmagazine's exclusive “Locomotive Western Noir” feature. Photographed by Max Papendieck. #MYCALVINS https://t.co/lZJTpAei78",978382593866522624
5,Sun Mar 25 01:39:04 +0000 2018,CALVIN KLEIN,"On this history making day, @milliebbrown declares her support for @amarch4ourlives at the Kids’ Choice Awards in Los Angeles. CALVIN KLEIN applauds her, #MarchForOurLives and all those who support its mission in shaping a better future. #NEVERAGAIN #KCA https://t.co/IwOOzicvTr",977721496352231424
6,Sat Mar 24 16:36:01 +0000 2018,CALVIN KLEIN,".@kourtneykardash, @kendalljenner, @khloekardashian, @kimkardashian know that the bond of sisterhood can’t be broken. Feat. Body from Calvin Klein Underwear, available now [US]: https://t.co/SHDQrQZWnq #MYCALVINS https://t.co/qkVye8ydcl",977584834670465024
7,Sat Mar 24 00:19:59 +0000 2018,CALVIN KLEIN,"Keeping up, keeping candid: catching up with America’s most famous family behind-the-scenes of their Spring 2018 campaign shoot: https://t.co/Dmab0dPS3R #MYCALVINS https://t.co/ukzOMMmnVY",977339206425964544
8,Fri Mar 23 16:34:36 +0000 2018,CALVIN KLEIN,"How an icon wears icons: @kimkardashian goes head-to-toe in Modern Cotton styles from CALVIN KLEIN UNDERWEAR, available now [US]: https://t.co/W7LjSFTO1b #MYCALVINS https://t.co/ksOCmOpFyy",977222089483718658
9,Thu Mar 22 18:00:04 +0000 2018,CALVIN KLEIN,Time together: The CALVIN KLEIN rebel leather timepiece [US]: https://t.co/k4yEB2DpPw #CKMINUTE https://t.co/KoBwM3JvcA,976881208788422656
10,Thu Mar 22 14:00:02 +0000 2018,CALVIN KLEIN,Fields of gold: The CALVIN KLEIN double gold bangle [US]: https://t.co/60MmJymUK3 #CKMINUTE https://t.co/y5jOKrsQt4,976820804662030336
11,Wed Mar 21 20:00:02 +0000 2018,CALVIN KLEIN,Time to spare: The CALVIN KLEIN high noon leather timepiece [US]: https://t.co/SZvymT5M9c #CKMINUTE https://t.co/XeyFIn35Yu,976549013192368129
12,Wed Mar 21 15:00:05 +0000 2018,CALVIN KLEIN,High time: the CALVIN KLEIN minimal rose gold mesh timepiece [US]: https://t.co/Oo7GmgAKvs #CKMINUTE https://t.co/FIVdf70fvf,976473525077860352
13,Tue Mar 20 18:00:04 +0000 2018,CALVIN KLEIN,Daydreamers and doers: the cast of the 2018 CALVIN KLEIN WATCHES + JEWELRY campaign. #CKMINUTE https://t.co/XJxEZnZdW5,976156433619324934
14,Tue Mar 20 14:00:16 +0000 2018,CALVIN KLEIN,Live the moment: introducing the 2018 CALVIN KLEIN WATCHES + JEWELRY campaign. #CKMINUTE https://t.co/BhZ5C1Kx7T,976096084023037952
15,Mon Mar 19 20:45:02 +0000 2018,CALVIN KLEIN,"Check, mate: @Harry_Styles makes a statement on the latest leg of his international tour, wearing a CALVIN KLEIN #205W39NYC red and white wool suit. https://t.co/ed4qotlLce",975835561868103683
16,Sun Mar 18 16:00:04 +0000 2018,CALVIN KLEIN,"Timeless, tailored men's outerwear meets the reworked marching band pant, from CK CALVIN KLEIN. Shop select styles [US]: https://t.co/Ro8LuvMpVM https://t.co/6etaHzElKa",975401457032810496
17,Sat Mar 17 19:00:02 +0000 2018,CALVIN KLEIN,"Cherry pick: a cropped and cool sweater with unexpected varsity accents, from CK CALVIN KLEIN [US]: https://t.co/anXz8XDrN8 https://t.co/fcVj3iYfsv",975084362344656897
18,Fri Mar 16 19:54:33 +0000 2018,CALVIN KLEIN,Varsity blues: timeless American motifs—from the marching band pant to the letterman sweater—merge seamlessly with the 21st century wardrobe. New from CK CALVIN KLEIN [US]: https://t.co/uA5UX3wkIC https://t.co/LEeAIYIZoU,974735694622011393
19,Thu Mar 15 16:01:27 +0000 2018,CALVIN KLEIN,"Sibling rivalry: @kaiagerber and @presleygerber get their game on in S18 CALVIN KLEIN JEANS. We’ve shown you our family, now show us yours. #MYCALVINS https://t.co/K3HHYMhnax",974314645182910466
20,Wed Mar 14 16:00:03 +0000 2018,CALVIN KLEIN,Model Behavior: @kaiagerber wears the splatter print denim from S18 CALVIN KLEIN JEANS. Available Now [US]: https://t.co/2wHKnKtCpi #MYCALVINS https://t.co/Z56vdazduK,973951901141172224
21,Wed Mar 14 13:30:03 +0000 2018,CALVIN KLEIN,It’s all in the family: @kaiagerber and @presleygerber wear S18 CALVIN KLEIN JEANS. Available Now [US]: https://t.co/GlrBJHiAo2 #MYCALVINS https://t.co/2bvK1x8mOu,973914154833776640
22,Tue Mar 13 16:52:56 +0000 2018,CALVIN KLEIN,The long and short of it: discover spring menswear essentials from Calvin Klein [US]: https://t.co/dajuWhtukg https://t.co/vm2ZpnJsFw,973602822318120960
23,Mon Mar 12 19:00:01 +0000 2018,CALVIN KLEIN,"Prints, charming: classic graphic stripes, reimagined as a directional top-to-toe spring look from Calvin Klein [US]: https://t.co/jT9z46bWbJ https://t.co/UyYjCz4FP6",973272417400483840
24,Mon Mar 12 16:20:14 +0000 2018,CALVIN KLEIN,Sharpen up: stock your wardrobe for the season with polished new arrivals for him + her from Calvin Klein. Available now at https://t.co/ZElG4LsRnb https://t.co/pMe2o55oaR,973232208377974785
25,Sat Mar 10 00:56:29 +0000 2018,CALVIN KLEIN,OUR STYLE. #MYCALVINS. @asvpxrocky makes stylish look easy. Captured in S18 CALVIN KLEIN JEANS: https://t.co/KDuT1T6CyM https://t.co/dYccUGayqm,972274962252877824
26,Fri Mar 09 23:07:32 +0000 2018,CALVIN KLEIN,"OUR CREW. #MYCALVINS. @asvpxrocky surrounded by his family, @ASAPMOB, all wearing S18 CALVIN KLEIN JEANS. Show us your family with #MYCALVINS: https://t.co/F5xwWyxEsX https://t.co/ZyVN5ATaB1",972247544196747264
27,Thu Mar 08 00:13:14 +0000 2018,CALVIN KLEIN,Be bold. Be unapologetic. Be united. One for all: https://t.co/W18QXXfUKo #CKONE https://t.co/d52CZD7xAH,971539299610054656
28,Wed Mar 07 22:13:50 +0000 2018,CALVIN KLEIN,"The next generation: a new era, free from convention: https://t.co/ri2s3DMn02 #CKONE https://t.co/3NtVIDEvR2",971509252375367680
29,Wed Mar 07 18:06:06 +0000 2018,CALVIN KLEIN,"#CKONE is defined by a plurality of identity–by the people who wear it. Together, they are one: https://t.co/mvtYT0pBVT https://t.co/k1lMEH8MpT",971446911302500353
30,Mon Mar 05 19:10:36 +0000 2018,CALVIN KLEIN,Inside the atelier: a glimpse into the making-of #Oscars presenter @lauradern’s CALVIN KLEIN BY APPOINTMENT white silk crepe dress. #CKBA #Oscars90 @voguemagazine https://t.co/OnTSdBe1dn,970738366747684866
31,Mon Mar 05 15:32:36 +0000 2018,CALVIN KLEIN,Take a bow: a behind-the-scenes look at the making of Saoirse Ronan’s pink silk faille CALVIN KLEIN BY APPOINTMENT #Oscars gown. #CKBA #Oscars90 @voguemagazine https://t.co/UzHSsbyUEL,970683505658269701
32,Mon Mar 05 05:51:59 +0000 2018,CALVIN KLEIN,CALVIN KLEIN congratulates @jordanpeele on his history-making win for Best Original Screenplay at this evening’s #Oscars. #Oscars90 https://t.co/SDQrb5LZUL,970537386441617408
33,Mon Mar 05 01:50:13 +0000 2018,CALVIN KLEIN,RT @VogueRunway: Why Saoirse Ronan’s @CalvinKlein #Oscars dress is already iconic. https://t.co/XuI6LytCzU https://t.co/amzsiZW7yG,970476542794006530
