,created,handle,text,tweet_id
0,Wed Mar 28 20:01:01 +0000 2018,Fendi,"Bold in design and easy to wear, discover the new 'I See You' selection from #FendiEyewear: https://t.co/RveoJcwx7U https://t.co/fbSpRylPtH",979085975631446016
1,Wed Mar 28 17:00:03 +0000 2018,Fendi,"Modern footwear with a surprising Fendi twist: https://t.co/C8jUWkgmPQ
#FendiSS18 https://t.co/wle0eoXJ1g",979040434491019264
2,Wed Mar 28 09:31:02 +0000 2018,Fendi,A mini briefcase completes the casual business look. More #FendiSS18: https://t.co/dZkR58L2SR https://t.co/hjcclMlSXj,978927432483794945
3,Tue Mar 27 22:47:43 +0000 2018,Fendi,Contrast threading adds luxurious appeal to the #FendiKanI. See the full selection on on https://t.co/LPxAHLVWb6 #FendiSS18 https://t.co/j9WqKHuMqC,978765537852383232
4,Tue Mar 27 17:47:42 +0000 2018,Fendi,Silk denim reinterprets sporty looks in a luxurious way. More #FendiSS18: https://t.co/SaSdi3YZYB https://t.co/MaoFJsThS9,978690034294403072
5,Tue Mar 27 11:30:10 +0000 2018,Fendi,Tropical leaves transform into intricate details. Take a closer look at the #FendiSS18 Collection: https://t.co/iEVb8GsxQO https://t.co/FcKRPIJzXZ,978595028313415681
6,Mon Mar 26 20:00:13 +0000 2018,Fendi,Full skirts styled with summer shirts for a luxurious and feminine #FendiSS18 look. Discover the collection: https://t.co/QYu7kXQnjK https://t.co/QKl7Fsy5Ju,978360998431096838
7,Mon Mar 26 16:00:01 +0000 2018,Fendi,Tropical colors are splashed across three luxurious leather pouches. Find the #FendiTriplette and more: https://t.co/pHQ5Oy8mLD #FendiSS18 https://t.co/BgOqFQaV1g,978300550872678400
8,Mon Mar 26 09:10:27 +0000 2018,Fendi,Fendi's signature savoir-faire is demonstrated by intricate threading seen throughout the #FendiSS18 Collection. Discover more: https://t.co/dl5KDl4r04 https://t.co/4fOjIjSYcM,978197479245123589
9,Sun Mar 25 21:00:18 +0000 2018,Fendi,From the seaside to the street. Chic slides to see you through the season: https://t.co/C8jUWjYLYi #FendiSS18 https://t.co/4J8CaQioTA,978013728829517825
10,Sun Mar 25 17:00:51 +0000 2018,Fendi,Details make the man. See the full #FendiSS18 selection: https://t.co/tmFFLKi01a https://t.co/ngoKbWGgg1,977953470186635265
11,Sun Mar 25 09:30:01 +0000 2018,Fendi,Walking into a new week in #FendiSS18. Now on https://t.co/LPxAHLVWb6 https://t.co/i4sgY7SRxG,977840015890833409
12,Sat Mar 24 21:00:39 +0000 2018,Fendi,A practical and stylish backpack personalized with contrasting Forever Fendi ribbon. More #FendiSS18: https://t.co/dZkR58L2SR https://t.co/HXfejGyZcb,977651429845344256
13,Sat Mar 24 16:30:46 +0000 2018,Fendi,Modern designs for stylish and easy organization. More #FendiSS18: https://t.co/gPflIfTIhP https://t.co/UAZEONkPaT,977583511115726848
