,created,handle,text,tweet_id
0,Wed Mar 28 19:40:03 +0000 2018,GoyardOfficial,Goyard Releases Three New Bag Designs Just in Time for Spring 2018 https://t.co/pL1u2m4WQd via @purseblog,979080699050385409
1,Thu Mar 22 21:19:41 +0000 2018,GoyardOfficial,"Discover ""Elektra"", the new millesime marquage design by @Goyard, available at all @Goyard comptoirs worldwide https://t.co/9F4SadOXKh",976931445150281728
2,Thu Mar 22 21:19:41 +0000 2018,GoyardOfficial,#Goyard #TheArtofMarquagebyGoyard #Millesime #ElektraDesign #BellechassebagbyGoyard https://t.co/VhLCPFUUm2,976931442675548162
3,Thu Mar 22 21:19:40 +0000 2018,GoyardOfficial,Ready to be wonderstruck? https://t.co/jcwTxVrnfO,976931439630577665
4,Fri Mar 16 18:39:53 +0000 2018,GoyardOfficial,"A blue leather dog, shimmering flying fishes, and the irresistible special edition #Aligrebag, soon to hit #Goyard boutiques worldwide: the new windows at our historic comptoir at #233rueSaintHonoré in #Paris celebrate the return of spring with an outburst of colours and fancy! https://t.co/E4q0JEGrIL",974716903552937985
5,Sat Mar 10 19:29:42 +0000 2018,GoyardOfficial,"Ultra light, super flat and remarkably thin, the Saint Thomas has all the trappings of a great wallet despite its diminutive size
Featuring 6 card slots + articulated money clip holding up to 20 notes or receipts
Coming in one size and 4 colours (black, black &amp; tan, navy, grey) https://t.co/1rWviGsy2x",972555110470516738
6,Sat Mar 10 19:24:05 +0000 2018,GoyardOfficial,Maison @Goyard is pleased to introduce the Saint Thomas money clip wallet https://t.co/wGFRUYnxJo,972553697959071744
7,Tue Mar 06 19:23:04 +0000 2018,GoyardOfficial,"After the Saint Louis, the Anjou and the Artois, the Goyard family of tote bags welcomes a newcomer called the Poitiers

Discover the story behind its unusual charm on https://t.co/2gTpqxxMuK

#Goyard #PoitiersHandbag #Quirky #Playful #Mini #LimitedEdition #ReeditionsbyGoyard https://t.co/vLlly9JzI2",971103889712996352
8,Sat Feb 17 15:49:51 +0000 2018,GoyardOfficial,"Things are shaping up!
#Goyard #Monaco #montecarlo #NewComptoir #Opening #Spring2018 https://t.co/Vhsy2UHagx",964889640447762434
9,Tue Feb 06 23:53:39 +0000 2018,GoyardOfficial,"Maison @Goyard presents the third generation of its timeless classic, the #Voltairebag, in a new streamlined and structured version
The #VoltaireIII is available in one size and four colours (black; black&amp;tan; navy; grey) #Goyard #ClassicsReinvented https://t.co/3vBmHiqXSK",961025127168307201
10,Fri Feb 02 17:44:23 +0000 2018,GoyardOfficial,"Maison Goyard introduces the #MinaudiereCase 
The Minaudiere comes complete with a removable leather shoulder strap
Clutch or shoulder bag, which will suit your personality best? 
#Goyard #TheArtoftheCasebyGoyard #ModularitybyGoyard https://t.co/4kmJpc4Dd1",959482643137081344
11,Fri Feb 02 13:35:24 +0000 2018,GoyardOfficial,"RT @V_and_A: After King Edward VIII abdicated to marry Wallis Simpson, the couple frequently travelled on liners. They each owned a set of…",959419984257708032
12,Sat Jan 27 19:32:32 +0000 2018,GoyardOfficial,"""Minaudière""
French noun / a decorative case for carrying small articles

Maison @Goyard is pleased to introduce the Minaudière case
Find out more about it #soon on https://t.co/2gTpqxxMuK

#Goyard #TheArtoftheCasebyGoyard https://t.co/OQ61nd4FfM",957335533440655362
13,Mon Jan 22 22:55:04 +0000 2018,GoyardOfficial,"The @Goyard workshops circa 1900
The traditional trunk-making techniques used a century ago by these artisans have been passed on from one generation to the next, remaining essentially the same to this day
#Goyard #Tradition #History #HighCraftsmanship https://t.co/ujrp7WmoPy",955574564985204736
14,Thu Jan 11 21:08:13 +0000 2018,GoyardOfficial,Seamlessly blending #StoriedSkills #TimelessAppeal &amp; #ContemporaryEdge the #AlpinBackpack embodies what @Goyard is all about https://t.co/3adWXT2WT0,951561406851305476
15,Wed Jan 03 18:27:50 +0000 2018,GoyardOfficial,"Time goes by so quickly
Yet, fortunately, some things never change
The Art of the Trunk by Goyard has remained unchanged and unparalleled since 1853

Maison Goyard wishes you a vert Happy New Year 2018!

#Goyard #TheArtoftheTrunkbyGoyard #SavoirFaire #Tradition #Timeless https://t.co/shg7WfxV33",948621942801797121
16,Sun Dec 24 02:33:59 +0000 2017,GoyardOfficial,"Maison @Goyard presents the ""Goyard Travelling Circus"" and its amazing acts: The Strongman; The Taming of the Beast
Wishing you a wonderful festive season!
#Goyard #233Flagship #Paris #NewWindowDisplays #Tradition #HappyHolidays https://t.co/tNCd87OENO",944758020478849025
17,Sun Dec 24 02:30:24 +0000 2017,GoyardOfficial,"Maison @Goyard presents the ""Goyard Travelling Circus""and its amazing acts: The Ring of Fire; The Aerialists; The Magician Goyardine... 
Wishing you a wonderful festive season!
#Goyard #233Flagship #Paris #NewWindowDisplays #Tradition 
#HappyHolidays https://t.co/grPqhiOq1c",944757119286423554
18,Mon Dec 18 00:04:06 +0000 2017,GoyardOfficial,"Inventing the future through revisiting the past
#Goyard #history #archives #monaco #montecarlo #opening #newcomptoir #soon https://t.co/E0XOuPvHkL",942545975100497920
19,Sat Dec 16 14:25:00 +0000 2017,GoyardOfficial,"@danplane8 Dear Sir, we do not offer iPhone cases",942037851256033280
20,Sat Dec 09 22:36:44 +0000 2017,GoyardOfficial,"Maison @Goyard is pleased to announce it will present a one-week #PopUpStore in #Tokyo at #IsetanShinjuku from December 13-19, 2017. 
It will offer a special selection of items coming in a #WorldExclusive shade of #TurquoiseBlue #GoyardineCanvas https://t.co/yU0dL4UeCC",939624883130130432
21,Wed Nov 29 21:43:27 +0000 2017,GoyardOfficial,"The @goyard comtoir at Pacific Place, Hong Kong, just underwent a complete make-over. Looking forward to welcoming you in the reinvented decor and enlarged space! #TimelessStyle #GoyardGreen https://t.co/kcx2d7NkDw",935987596601319430
