,created,handle,text,tweet_id
0,Mon Mar 26 16:40:58 +0000 2018,HELMUT LANG,"@KimKardashian wearing Helmut Lang seen by Shayne Oliver for @ODDAmagazine 
PHOTOGRAPHY @sitabellan 
EDITOR David Martin https://t.co/malQr0Xt1T",978310855476604929
1,Mon Mar 26 13:45:09 +0000 2018,HELMUT LANG,"@amandlastenberg wearing Helmut Lang seen by Shayne Oliver for the cover of Indie Magazine
PHOTOGRAPHY @lukegilford 
FASHION Dogukan Nesanir https://t.co/5u0YHSQz1O",978266610485157888
2,Thu Mar 08 21:15:54 +0000 2018,HELMUT LANG,"Helmut Lang Spring '18
Styling by Stevie Dance
https://t.co/WRnhACPO2M https://t.co/VGgbnQBRSZ",971857062811533313
3,Thu Mar 08 21:15:05 +0000 2018,HELMUT LANG,"Helmut Lang Spring '18
Styling by Stevie Dance
https://t.co/WRnhACPO2M https://t.co/Z11bxbIxdZ",971856857802395648
4,Thu Mar 08 21:13:32 +0000 2018,HELMUT LANG,"Helmut Lang Spring '18
Styling by Stevie Dance
https://t.co/WRnhACPO2M https://t.co/DIdDYnAv1G",971856466033500166
5,Thu Mar 08 21:06:22 +0000 2018,HELMUT LANG,"@solangeknowles wearing Helmut Lang seen by Shayne Oliver for @billboard 
PHOTOGRAPHY Ruven Fanador 
FASHION Kyle Luu https://t.co/3mtH0CEU0p",971854660893118469
6,Wed Mar 07 19:33:23 +0000 2018,HELMUT LANG,HELMUT LANG SPRING 2018 by Alex Lee https://t.co/vt2yrvCgiN,971468875534667776
7,Wed Mar 07 16:12:59 +0000 2018,HELMUT LANG,HELMUT LANG SPRING 2018 by Alex Lee https://t.co/QdOavEZWHT,971418444330622976
8,Wed Mar 07 16:06:44 +0000 2018,HELMUT LANG,HELMUT LANG SPRING 2018 by Alex Lee https://t.co/7a3IZN9Nm4,971416868614483968
9,Mon Mar 05 21:29:16 +0000 2018,HELMUT LANG,"@solangeknowles wearing Helmut Lang seen by Shayne Oliver for @billboard PHOTOGRAPHY @ruvenafanador 
FASHION Kyle Luu https://t.co/EYSamHqtbW",970773263730212864
10,Mon Mar 05 16:26:53 +0000 2018,HELMUT LANG,"Helmut Lang seen by Shayne Oliver featured in @BritishVogue
PHOTOGRAPHY Theo Sion
FASHION Poppy Kain
EDITOR Olivia Singer https://t.co/8LQcSGHiHI",970697166116278272
11,Mon Feb 26 15:56:28 +0000 2018,HELMUT LANG,Raf Simons in the Helmut Lang Denim Jacket with Stripes at the @Dior Spring/Summer 2013 show. Shop the Re-Edition collection now at https://t.co/WRnhACPO2M https://t.co/N83EVNBjVU,968152796519419904
12,Wed Feb 14 21:43:42 +0000 2018,HELMUT LANG,"Helmut Lang seen by Shayne Oliver featured in @BritishVogue 
PHOTOGRAPHY Theo Sion
FASHION Poppy Kain
EDITOR Olivia Singer https://t.co/23GcHl5n5H",963891524621783040
13,Tue Feb 13 17:48:16 +0000 2018,HELMUT LANG,"8/8: T-SHIRT WITH STRIPES by HELMUT LANG. First produced in 1997. Helmut Lang Re-Edition Vol. 2 is available now at select retailers, Helmut Lang stores and https://t.co/WRnhACPO2M https://t.co/2NEoa1sxsL",963469886533009409
14,Tue Feb 13 15:18:05 +0000 2018,HELMUT LANG,"7/8: TANK WITH SLEEVES by HELMUT LANG. First produced in 2004. Helmut Lang Re-Edition Vol. 2 is available now at select retailers, Helmut Lang stores and https://t.co/WRnhACPO2M https://t.co/fHdwvrgPxS",963432095162011648
15,Mon Feb 12 21:50:11 +0000 2018,HELMUT LANG,"6/8: TURN-UP JEANS by HELMUT LANG. First produced in 1998. Helmut Lang Re-Edition Vol. 2 is available now at select retailers, Helmut Lang stores and https://t.co/WRnhACPO2M https://t.co/GNRT5LRDt3",963168379925417984
16,Mon Feb 12 21:35:52 +0000 2018,HELMUT LANG,"5/8: LAYERED DIAMOND HEAD DRESS by HELMUT LANG. First produced in 1995. Helmut Lang Re-Edition Vol. 2 is available now at select retailers, Helmut Lang stores and https://t.co/WRnhACPO2M https://t.co/m2fT6VPCSl",963164778050084864
17,Mon Feb 12 21:35:27 +0000 2018,HELMUT LANG,"4/8: KEYRINGS by HELMUT LANG. First produced in 2003. Helmut Lang Re-Edition Vol. 2 is available now at select retailers, Helmut Lang stores and https://t.co/WRnhACPO2M https://t.co/5L7dkdkpwd",963164674245177344
18,Mon Feb 12 21:32:52 +0000 2018,HELMUT LANG,"3/8: DIAMOND HEAD TANK by HELMUT LANG. First produced in 1995. Helmut Lang Re-Edition Vol. 2 is available now at select retailers, Helmut Lang stores and https://t.co/WRnhACPO2M https://t.co/9wFkYl9VD8",963164024790769665
19,Mon Feb 12 20:49:16 +0000 2018,HELMUT LANG,"2/8: SHOPPING BAG by HELMUT LANG. First produced in 2003. Helmut Lang Re-Edition Vol. 2 is available now at select retailers, Helmut Lang stores and https://t.co/WRnhACycEc https://t.co/DuyX9jSBLL",963153049148579840
20,Mon Feb 12 17:50:30 +0000 2018,HELMUT LANG,"1/8: DENIM JACKET WITH STRIPES by HELMUT LANG. First produced in 1997. Helmut Lang Re-Edition Vol. 2 is available now at select retailers, Helmut Lang stores and https://t.co/WRnhACPO2M https://t.co/aSCIFebdYX",963108063397011459
21,Mon Feb 05 20:05:25 +0000 2018,HELMUT LANG,"Helmut Lang Spring 2018 featuring Wilder
PHOTOGRAPHY by Alex Lee https://t.co/ZVN2Zugxab",960605301517975557
22,Mon Feb 05 16:18:04 +0000 2018,HELMUT LANG,"Helmut Lang Spring 2018 featuring Wilder
PHOTOGRAPHY by Alex Lee https://t.co/eTeEJDSokE",960548086610321409
23,Mon Feb 05 15:26:44 +0000 2018,HELMUT LANG,"Helmut Lang Spring 2018 featuring Wilder
PHOTOGRAPHY by Alex Lee https://t.co/06fOiltmDN",960535167034122240
24,Thu Jan 04 15:05:29 +0000 2018,HELMUT LANG,"HELMUT LANG FANS seen by EXACTITUDES® New York, 2018

PHOTOGRAPHY Ari Versluis &amp; Ellie Uyttenbroek - Exactitudes®
EDITOR-IN-RESIDENCE Isabella Burley
CREATIVE ADVISOR Ava Nirui
CASTING Danielle Emerson 
PRODUCTION Mary Turpin https://t.co/6ksToZZFyN",948933408520105984
25,Wed Dec 13 21:46:38 +0000 2017,HELMUT LANG,"Keizo Kitajima is the third artist in HELMUT LANG: THE ARTIST SERIES, focussing three high-contrast works taken on the streets of New York in the 80s. Shop now https://t.co/WRnhACPO2M https://t.co/NZJ7GSj1Dz",941061826170834945
26,Wed Dec 13 21:46:23 +0000 2017,HELMUT LANG,"Keizo Kitajima is the third artist in HELMUT LANG: THE ARTIST SERIES, focussing three high-contrast works taken on the streets of New York in the 80s. Shop now https://t.co/WRnhACPO2M https://t.co/HSTYAv9ycP",941061766636859392
27,Wed Dec 13 21:46:06 +0000 2017,HELMUT LANG,"Keizo Kitajima is the third artist in HELMUT LANG: THE ARTIST SERIES, focussing three high-contrast works taken on the streets of New York in the 80s. Shop now https://t.co/WRnhACPO2M https://t.co/1ed7jT0m0o",941061694750642176
28,Tue Dec 05 22:48:18 +0000 2017,HELMUT LANG,"Carlos, Tony and Isaul wear limited edition Helmut Lang Taxi merchandise. Shop the capsule now at select retailers, Helmut Lang stores and https://t.co/WRnhACPO2M
Photo by Alex Lee https://t.co/Iy5BUPiPmp",938178245459095552
29,Tue Dec 05 18:35:29 +0000 2017,HELMUT LANG,"Isaul is 57 years old and started driving New York City Taxis in 1996. He is from Honduras and currently resides in the Bronx, New York with his wife and 3 kids. Isaul wears the ©HELMUT LANG Hoodie in black. Shop the capsule now at https://t.co/WRnhACPO2M
Photos by Alex Lee https://t.co/jhow5cOQDY",938114618781782016
30,Tue Dec 05 15:27:35 +0000 2017,HELMUT LANG,"Carlos is 52 years old and started driving taxis in 1997. He is originally from Ecuador and currently lives in Corona, Queens with his wife and two teenage sons. Carlos wears the Taxi hoodie in yellow. Shop the capsule now at https://t.co/WRnhACPO2M
Photos by Alex Lee https://t.co/Hwb2NSLOh9",938067333976870913
