,created,handle,text,tweet_id
0,Fri Feb 16 10:02:33 +0000 2018,KARL LAGERFELD,Happy Chinese New Year! 🎉 #KARLLAGERFELD https://t.co/EdK5PpszTY,964439851402752000
1,Tue Feb 06 17:36:43 +0000 2018,KARL LAGERFELD,"RT @Rinascente: Fashion icon @KarlLagerfeld is globally renowned for his
cutting-edge, aspirational and relevant approach to style. Discove…",960930268201783297
2,Thu Feb 01 13:45:55 +0000 2018,KARL LAGERFELD,@AdamXTroy Dear Adam. Thank you for your message. We're working on that. The #TeamKarl,959060245128630272
3,Tue Jan 16 17:36:51 +0000 2018,KARL LAGERFELD,RT @wwd: EXCLUSIVE – @KaiaGerber designs first collection with @KarlLagerfeld. Get all the details here: https://t.co/IyOPNjefVA https://t.…,953320155769077761
4,Mon Jan 08 14:02:20 +0000 2018,KARL LAGERFELD,"@BenjaminvanB Hi, the men collection is only available in store. Thank you, the #TeamKarl",950367065935925248
5,Mon Jan 01 21:39:47 +0000 2018,KARL LAGERFELD,"Happy 2018 from Choupette! 
Exclusive: Choupette has shared her New Year’s resolutions, now at: https://t.co/kTe71oKQBp
#KARLLAGERFELD https://t.co/oOU08MntjV",947945471632461824
6,Mon Dec 04 16:42:30 +0000 2017,KARL LAGERFELD,"RT @BritishVogue: As a child, Karl Lagerfeld learned a page of the dictionary everyday. Read his full #fashionfairytale on https://t.co/SO5…",937723799948222464
7,Fri Dec 01 10:06:55 +0000 2017,KARL LAGERFELD,RT @mybagonline: Today we launch DAY 1 of our exclusive #MyBagAdvent 🎄 Follow us to find out how you can win.. https://t.co/nGTc5hAXQA http…,936537084503969792
8,Fri Nov 10 16:40:30 +0000 2017,KARL LAGERFELD,"RT @lesterriens: Magnifaïk duo 100% mode avec @cristinacordula et @KarlLagerfeld, à retrouver demain soir à 19h05 dans #SLT sur @C8TV 

Les…",929025988951977985
9,Wed Nov 08 12:39:40 +0000 2017,KARL LAGERFELD,"RT @ParisPhotoFair: #ParisPhoto2017 in figures : 21st edition, 190 exhibitors from 30 countries, in 4 sectors. 29 soloshows,1 special guest…",928240602382299136
10,Fri Oct 06 14:47:23 +0000 2017,KARL LAGERFELD,RT @BarbaraPalvin: Team Karl 😎 @karllagerfeld https://t.co/vx1Hpdrunx,916313946822533123
11,Fri Oct 06 13:06:11 +0000 2017,KARL LAGERFELD,The amazing @BarbaraPalvin is the newest member of #TeamKarl! Read her story at: https://t.co/EGL7ju7GMf #KARLLAGERFELD https://t.co/0eGzq2AZ7C,916288476961820672
12,Fri Sep 29 09:40:55 +0000 2017,KARL LAGERFELD,RT @wwd: .@KarlLagerfeld expands his RTW range for spring: https://t.co/49i6jsCx7k https://t.co/3YkTgjLE4A,913700107438186496
13,Thu Sep 21 14:22:58 +0000 2017,KARL LAGERFELD,RT @cppluxury: Karl Lagerfeld opens first store in Vienna https://t.co/8W2y8srZnv #KARL @KarlLagerfeld https://t.co/u4fE9EnBsC,910871982014697474
14,Tue Sep 19 13:47:56 +0000 2017,KARL LAGERFELD,"RT @cppluxury: #KARLLAGERFELD has arrived in Milan, with an exclusive pop-up store at Excelsior Milano department store @excelsiormilano @K…",910138392364699649
15,Mon Sep 18 15:20:32 +0000 2017,KARL LAGERFELD,"RT @VANS_Europe: Clara Berry rockin' the Vans x @KarlLagerfeld T-Shirt at the latest @breadandbutter.
Now available at https://t.co/GvkFkRx…",909799306034651138
16,Fri Sep 08 08:55:30 +0000 2017,KARL LAGERFELD,RT @vansgirls: It’s here! The new Vans x @KARLLAGERFELD collection is available in stores and at https://t.co/5Rp1GuLtxT https://t.co/0XtwJ…,906078532010479616
17,Thu Sep 07 10:08:35 +0000 2017,KARL LAGERFELD,"RT @VANS_Europe: It’s here!
The new Vans x @KarlLagerfeld collection is available now: https://t.co/GvkFkRxsh7 #VansxKARLLAGERFELD https://…",905734534951563264
18,Mon Sep 04 08:01:54 +0000 2017,KARL LAGERFELD,"RT @VANS_Europe: It’s almost here! 
The Vans x @KarlLagerfeld collection will be available online and in selected stores on 9/7: https://t.…",904615491607646208
19,Thu Aug 31 16:03:02 +0000 2017,KARL LAGERFELD,"RT @VANS_Europe: The Vans x @KarlLagerfeld collection, reinterpreting classic styles through the lens of the iconic fashion house: https://…",903287020193292288
20,Wed Aug 30 08:17:37 +0000 2017,KARL LAGERFELD,RT @ELLEUK: ELLE Exclusive: Your First Look At The Karl Lagerfeld x Vans Collection https://t.co/P46seqU5ha,902807507390930946
21,Tue Aug 29 16:26:45 +0000 2017,KARL LAGERFELD,RT @VogueParis: Karl Lagerfeld x Vans: everything you need to know https://t.co/DQtyi5Yym2 https://t.co/f8WQw1pbz4,902568213044752384
22,Tue Aug 29 15:03:15 +0000 2017,KARL LAGERFELD,"RT @OleMag: Le style de @KarlLagerfeld ? ""Ça doit être énervant de toujours s'habiller pareil..."" https://t.co/SaDLt3KjyJ",902547201339138048
23,Thu Aug 24 15:14:51 +0000 2017,KARL LAGERFELD,RT @VANS_Europe: Head over to @WWD​ to get a first look at the Vans X @KarlLagerfeld collection and sign up to be the first to know: https:…,900738177425698816
24,Wed Jul 12 09:14:22 +0000 2017,KARL LAGERFELD,#KARLLAGERFELD Fall-Winter17 campaign and collection now on: https://t.co/Id8ypBx7u0 https://t.co/oQF94Br8J3,885064781086035969
25,Fri Jul 07 09:30:31 +0000 2017,KARL LAGERFELD,"Karl Lagerfeld was awarded the Grand Vermeil medal, highest honor from the city of lights by Paris' mayor Anne Hidalgo. 
#KARLLAGERFELD https://t.co/CfqMCF7ew1",883256908781584384
26,Fri Jul 07 08:48:16 +0000 2017,KARL LAGERFELD,RT @Madamefigaro: #Concours : remportez vos solaires #KarlLagerfeld avec @optic2000 &gt;&gt;  https://t.co/odZnkRQwk0 https://t.co/m934Bl06Yc,883246275977719808
27,Fri Jun 30 16:44:41 +0000 2017,KARL LAGERFELD,KARL LAGERFELD is on Instagram stories. Watch it now: https://t.co/PBMuUgltQ3  #KARLLAGERFELD https://t.co/FIm9yoi1Q3,880829453726887940
28,Thu Jun 15 15:31:34 +0000 2017,KARL LAGERFELD,Karl is ikonik! Discover the new capsule collection on: https://t.co/whExepqbVa #KARLLAGERFELD https://t.co/TPqfW7SgwD,875375236476219392
29,Tue Jun 13 15:28:12 +0000 2017,KARL LAGERFELD,RT @ELLEfrance: #Mode L’instant mode : la collab’ Karl Lagerfeld x Vilebrequin https://t.co/5TW9T2Hc1E https://t.co/h7lmiLaXZo,874649610966503425
30,Thu Jun 08 07:44:37 +0000 2017,KARL LAGERFELD,"RT @baileybanksandb: Which of these @KARLLAGERFELD engagement rings has you saying ""Yes?"" https://t.co/kBxox5CjTo https://t.co/q54CwhdVLb",872721007970316288
31,Wed Jun 07 07:58:14 +0000 2017,KARL LAGERFELD,RT @wwd: Soon you'll be able to buy @KarlLagerfeld makeup: https://t.co/JZqIjhxyEc https://t.co/BUwdz7KyfO,872362048088395777
32,Fri Jun 02 13:09:04 +0000 2017,KARL LAGERFELD,"RT @VogueParis: Hot news : Karl Lagerfeld signe une collection de make-up exclusive avec @ModelCo et en édition limitée !
https://t.co/VVzZ…",870628332253130756
33,Wed May 24 17:00:28 +0000 2017,KARL LAGERFELD,RT @tbacinc: Karl the Photographer - newest capsule collection by @KarlLagerfeld via @wwd https://t.co/QPryC9tsez,867425075892547584
34,Wed May 24 08:01:13 +0000 2017,KARL LAGERFELD,RT @lordandtaylor: Join us tomorrow at our NYC flagship as we celebrate @voguemagazine’s June 125th anniversary with @KarlLagerfeld’s #LTEx…,867289367005601792
35,Tue May 23 14:06:08 +0000 2017,KARL LAGERFELD,Karl Lagerfeld is joining Anna Wintour in celebrating @voguemagazine ’s 125th anniversary. See more: https://t.co/a45RKd4rx8 #KARLLAGERFELD https://t.co/TiQ97SseiF,867018813199572993
36,Thu May 18 12:26:40 +0000 2017,KARL LAGERFELD,"RT @HigginsHomes: It’s a #interiordesign dream combination come true, @KarlLagerfeld is teaming up with @houseoffraser! https://t.co/bjwkEc…",865181842835746817
37,Wed May 17 14:22:45 +0000 2017,KARL LAGERFELD,RT @Stylebop: .@KarlLagerfeld's capsule collection is here &amp; it is an artful expression of Karl's love for photography &gt; https://t.co/n37fS…,864848667789975552
38,Wed May 17 10:22:28 +0000 2017,KARL LAGERFELD,They wear KARL. Check out! https://t.co/GtO1mku5FU #KARLLAGERFELD https://t.co/lp8uUt6vW8,864788198215602178
39,Fri May 12 08:06:03 +0000 2017,KARL LAGERFELD,"RT @preenonline: Are you a fan of @KarlLagerfeld's cat #Choupette? Well, he just released a plushie version of his ""little princess"": https…",862941929654366211
40,Wed May 10 17:12:41 +0000 2017,KARL LAGERFELD,RT @SundayTimesLC: It's here! The official @KarlLagerfeld @ChoupettesDiary toy pussy! Naturally I have one #choupette https://t.co/iGOHOZQI…,862354718072463364
41,Wed May 10 07:50:23 +0000 2017,KARL LAGERFELD,RT @HomesProperty: Have you seen the new @KarlLagerfeld collection in @houseoffraser? Explore the range here: https://t.co/PWrCzdrBff https…,862213212950982656
42,Tue May 09 14:10:57 +0000 2017,KARL LAGERFELD,RT @optic2000: Suivez nous sur notre story Instagram pour suivre la #SummerDayO2 avec nous 😎☺️ https://t.co/KcmYd7bd9F,861946596971491329
43,Tue May 09 10:31:52 +0000 2017,KARL LAGERFELD,RT @optic2000: On ne vous avait pas dit ?!? La nouvelle collection Karl Lagerfeld est aussi présentée aujourd'hui #SummerDayO2 #Optic2000 #…,861891461184454656
44,Wed May 03 18:04:44 +0000 2017,KARL LAGERFELD,RT @mybagonline: Do you want to #WIN the latest 'it' bag from @KarlLagerfeld? Simply follow MyBag &amp; RT with #MyBagXKarl. Comp ends 9th May…,859831102156021767
45,Tue May 02 08:34:05 +0000 2017,KARL LAGERFELD,"RT @CitywalkDubai: When your shoes match your bag, now that’s goals! @karllagerfeld #CityWalkDubai https://t.co/LBlrOtmaZt",859325107432562688
46,Sat Apr 29 09:00:50 +0000 2017,KARL LAGERFELD,You can now pre order your own Choupette. Click here: https://t.co/MtH98DXWJx #KARLLAGERFELD https://t.co/xj9CI5dCa6,858244673281941505
47,Thu Apr 27 12:13:02 +0000 2017,KARL LAGERFELD,"RT @TaylorMarieHill: 📍Paris with @karllagerfeld's signature. Now on https://t.co/MDOwRU1OS6
#collab #KARLLAGERFELD https://t.co/ePtUIdvgq9",857568268189564929
48,Mon Apr 24 08:30:10 +0000 2017,KARL LAGERFELD,RT @Stylebop: Fashion's favorite cat is back! via @KarlLagerfeld &gt; https://t.co/UgPPBny33G https://t.co/FiOm26d2Kg,856425016644206593
49,Mon Apr 24 08:29:44 +0000 2017,KARL LAGERFELD,RT @Stylebop: Keep it colourful. The latest offering from @KarlLagerfeld is a painterly affair with #Popart overtones. Shop now &gt; https://t…,856424909890871296
50,Thu Apr 13 13:40:08 +0000 2017,KARL LAGERFELD,RT @FaberCastell: Congrats to Julissa! She was chosen by Karl Lagerfeld himself as the winner of #karlboxcontest! See the top 10 here: http…,852516756530892800
51,Tue Apr 11 08:09:06 +0000 2017,KARL LAGERFELD,RT @RegentStreetW1: Make a splash with the @KarlLagerfeld x @stevenwilsonltd exclusive capsule collection. Now available in the Regent Stre…,851708671927222272
52,Tue Apr 11 08:08:52 +0000 2017,KARL LAGERFELD,RT @houseoffraser: Transform your bedroom into an exquisite boudoir with @KarlLagerfeld https://t.co/qihjkcmxdG https://t.co/h6suEkpcqp,851708614087757824
53,Sat Apr 08 09:00:32 +0000 2017,KARL LAGERFELD,"Add some colours to your wardrobe and Be ready for Summer! 
#PicOfTheWeek
https://t.co/XqBJoK5pgS https://t.co/neifgpjAqo",850634453630291972
54,Fri Apr 07 19:09:25 +0000 2017,KARL LAGERFELD,RT @wwd: .@KarlLagerfeld is now making swimsuits with this luxe swimwear brand: https://t.co/CtbKQYMm8l https://t.co/BObBifC79T,850425294955610112
55,Fri Apr 07 12:44:39 +0000 2017,KARL LAGERFELD,RT @VogueBRoficial: .@KarlLagerfeld vai à praia: kaiser lança coleção-cápsula com a @Vilebrequin https://t.co/Cymk3878de https://t.co/RdZkV…,850328465811308544
