,created,handle,text,tweet_id
0,Wed Mar 28 10:22:01 +0000 2018,MIU MIU,"#DearMiuMiu by #RebeccaDayan. 
Her #GirlInMiuMiu series begins today!
Photography and Styling by #SuzanneKoller https://t.co/eBueuRz2EB",978940265716240384
1,Tue Mar 27 16:30:18 +0000 2018,MIU MIU,"Holding on tight. #MyMiu matelassé bag with sparkling crystal buckle.
Campaign by: @alasdairmclellan
Styling: @kegrand 
Art Direction: @GB65 
Starring: #ElleFanning https://t.co/iojmtONRhD",978670558815629312
2,Tue Mar 27 11:00:46 +0000 2018,MIU MIU,"The finishing touches for the perfect outfit: the #MyMiu bag and crystal-embellished sandals. 
#MiuMiuSS18 behind the scenes shot by #CarinBackoff. https://t.co/zlXyZpGM3Y",978587626180698112
3,Mon Mar 26 19:01:06 +0000 2018,MIU MIU,"Add a touch of spring to your look. 
Discover the playful and colorful Miu Miu Jewels collection at https://t.co/oeCxSGkEaV
#MiuMiuSS18 behind the scenes shot by #CarinBackoff.
Styling: @kegrand
Art Direction: @GB65 https://t.co/W5WysdCSyv",978346120937181185
4,Mon Mar 26 15:00:09 +0000 2018,MIU MIU,"Under the spring sun. 
Miu Miu organza dress with all-over pearl embellishment. 
Shop #MiuMiuSS18 at: https://t.co/LyRTMxS9Sn.
Behind the scenes shot by #CarinBackoff.
Styling: @kegrand
Art Direction: @gb65 https://t.co/Q4Lj2RBu5p",978285481527074816
5,Mon Mar 26 11:10:01 +0000 2018,MIU MIU,RT @vogue_italia: .@MIUMIUofficial presenta la Women's Tales Edition: 15 T-Shirt per celebrare i cortometraggi realizzati dal 2011 fino a o…,978227568603226112
6,Mon Mar 26 09:30:16 +0000 2018,MIU MIU,"Lucky charms.
#MiuMiuSS18 jewels collection available now at https://t.co/oeCxSGkEaV.
Behind the scenes shot by #CarinBackoff.
Styling: @kegrand
Art Direction: @GB65 https://t.co/9TDZAQ2Bmu",978202466494926849
7,Sun Mar 25 19:00:27 +0000 2018,MIU MIU,"Catching the light. Miu Miu red lace dress and the luminous #MyMiu bag.
#MiuMiuSS18 behind the scenes by #CarinBackoff
Styling: @kegrand 
Art Direction: @GB65 https://t.co/cBAT4TOhws",977983570764554240
8,Sun Mar 25 15:00:09 +0000 2018,MIU MIU,"Juxtaposing colors. Discover the #MiuMiuSS18 collection at: https://t.co/LyRTMxS9Sn.
Behind the scenes shot by #CarinBackoff
Styling: @kegrand 
Art Direction: @GB65 https://t.co/b6ZlZv0a7e",977923093392969734
9,Sun Mar 25 11:00:16 +0000 2018,MIU MIU,"Getting into the spring mood. Miu Miu dress with all-over floral appliqués and #MyMiu bag.
#MiuMiuSS18 behind the scenes by #CarinBackoff
Styling: @kegrand 
Art Direction: @GB65 https://t.co/c3ukXpZYoc",977862727178838016
10,Sat Mar 24 20:00:02 +0000 2018,MIU MIU,"Feminine details. Be seduced by the #MiuMiuSS18 collection.
Available now at: https://t.co/LyRTMxS9Sn.
Behind the scenes shot by #CarinBackoff
Styling: @kegrand 
Art Direction: @GB65 https://t.co/DNOXZV65vB",977636174520078339
11,Sat Mar 24 17:00:02 +0000 2018,MIU MIU,"Optical White. Be dazzled by the #MyMiu bag with sparkling crystals.
#MiuMiuSS18 behind the scenes by #CarinBackoff https://t.co/TGmketsky7",977590876468899844
12,Sat Mar 24 00:00:01 +0000 2018,MIU MIU,"A romantic spring getaway. Lace dress from the #MiuMiuSS18 collection. Discover the collection at: https://t.co/LyRTMy9KJV.
Behind the scenes shot by #CarinBackoff
Styling: @kegrand 
Art Direction: @gb65 https://t.co/vk4xeKyza7",977334182513844225
13,Fri Mar 23 20:00:13 +0000 2018,MIU MIU,Fifteen tales to wear. Discover the Miu Miu Women's Tales T-shirt collection inspired by the short films of the series. Available now at: https://t.co/yz6bmUxUJP. #MiuMiuWomensTales https://t.co/BF85mVEZmv,977273831772643330
14,Fri Mar 23 17:00:05 +0000 2018,MIU MIU,Wear your favorite Wear your favorite Tale. Discover the 15 Miu Miu Women’s Tales T-shirts available now online at: https://t.co/yz6bmUxUJP. #MiuMiuWomensTales https://t.co/cIKhU0a6dw,977228502104764418
15,Fri Mar 23 12:00:16 +0000 2018,MIU MIU,"Introducing the Miu Miu Women’s Tales T-shirt collection. Fifteen different tees, one for each film of the series. Choose your favorite at https://t.co/yz6bmUxUJP. #MiuMiuWomensTales https://t.co/91a0lbNxuo",977153052414238720
16,Thu Mar 22 21:00:18 +0000 2018,MIU MIU,"Since 2011, Miu Miu Women’s Tales has been exploring the role of fashion in contemporary society from the point of view of brilliant and emancipated female filmmakers. Now each film has a T-shirt. Choose your favorite at https://t.co/yz6bmUxUJP. #MiuMiuWomensTales https://t.co/RQv29SAyGE",976926565207543808
17,Thu Mar 22 19:00:10 +0000 2018,MIU MIU,"To celebrate the Women’s Tales project, Miu Miu has created an edition of T-shirts depicting each episode of the series. Available at: https://t.co/yz6bmUxUJP. #MiuMiuWomensTales https://t.co/qWCGDWBi4i",976896334677577728
18,Thu Mar 22 16:30:02 +0000 2018,MIU MIU,"Miu Miu Women’s Tales T-shirt Edition: the collection dedicated to the short films directed by provocative female figures who define today's culture. Discover the full collection at  
https://t.co/yz6bmUxUJP. #MiuMiuWomensTales https://t.co/89efu5hBNS",976858551795830785
19,Wed Mar 21 17:00:59 +0000 2018,MIU MIU,"Head towards adventure with the new Miu Miu L’Eau Rosée fragrance. 
#StacyMartin #MiuMiuParfum #MiuMiuEauRosée https://t.co/NQzIydcx7y",976503952668811264
20,Wed Mar 21 12:01:04 +0000 2018,MIU MIU,"Enjoy the fun and soft floral freshness of the new Miu Miu L’eau Rosée fragrance. 
Featuring #StacyMartin  
Styling: @kegrand
Art Direction: @gb65
#MiuMiuParfum #MiuMiuEauRosée https://t.co/cfX9Wo9oXr",976428477598588928
21,Tue Mar 20 16:00:31 +0000 2018,MIU MIU,"Embrace the glow of spring with the new Miu Miu L’Eau Rosée fragrance. 
#MiuMiuParfum #MiuMiuEauRosée https://t.co/CsDDvQg4AI",976126345704026114
22,Mon Mar 19 20:00:21 +0000 2018,MIU MIU,"Dance the night away in Miu Miu satin pumps with multicolor crystals.
#MiuMiuDisco https://t.co/tsCObBeRrP",975824316439900160
23,Mon Mar 19 16:30:04 +0000 2018,MIU MIU,"A dazzling statement piece, the Miu Miu Reveal glitter sunglasses.
#MiuMiuDisco https://t.co/kpXPR7wV5W",975771396193255430
24,Mon Mar 19 12:00:03 +0000 2018,MIU MIU,"A little bit of glitz. A little bit of glamour. Discover the new Miu Miu bag with crystal-embellished buckle.
#MiuMiuDisco https://t.co/ccfUD7UjZU",975703444450357249
25,Sun Mar 18 20:00:09 +0000 2018,MIU MIU,"Party-ready with the Miu Lady bag in metallic matelassé leather.
#MiuMiuDisco https://t.co/wJuJPG32pi",975461879282880513
26,Sun Mar 18 16:00:35 +0000 2018,MIU MIU,"Ready to shine. Miu Miu Iconic Crystal and Miu Lady bags in dazzling metallic colors.
#MiuMiuDisco https://t.co/RAk1F7pMcB",975401589145038851
27,Sun Mar 18 12:00:20 +0000 2018,MIU MIU,"Metallic shades. The Miu Miu Iconic Crystal bag in matelassé.
#MiuMiuDisco https://t.co/g7LqKtCzPm",975341128311558145
28,Sat Mar 17 20:00:24 +0000 2018,MIU MIU,"Color block composition. Get your top at: https://t.co/mrs4XUyQCV.
#MiuMiuSS18 behind the scenes by #CarinBackoff
Styling: @kegrand
Art Direction: @gb65 https://t.co/NTc7CRml0v",975099554516426757
29,Sat Mar 17 17:00:24 +0000 2018,MIU MIU,"Pink obsession. Discover the new Grace Lux bag at https://t.co/JwYjlqj7fy.
#MiuMiuSS18 behind the scenes by #CarinBackoff.
Styling: @kegrand
Art Direction: @gb65 https://t.co/jm9h7NVqG1",975054254795784192
30,Sat Mar 17 00:00:07 +0000 2018,MIU MIU,"Breaking free. Be inspired by the Spring/Summer 2018 collection at https://t.co/LyRTMxS9Sn. 
#MiuMiuSS18 behind the scenes by #CarinBackoff
Styling: @kegrand 
Art Direction: @GB65 https://t.co/CmhE2T3oXz",974797492788318208
31,Fri Mar 16 20:00:04 +0000 2018,MIU MIU,"Dazzling details. The Miu Lady bag in matelassé with iconic jewel buckle. Discover the whole selection at: https://t.co/5NKHLyf57v.
#MiuMiuSS18 behind the scenes by #CarinBackoffphoto
Styling: @kegrand
Art Direction: @gb65 https://t.co/HuYldmWuMI",974737082525671425
32,Fri Mar 16 17:00:26 +0000 2018,MIU MIU,"Utilitarian menswear for a progressive woman. Pick your jacket at: https://t.co/Dy6aRxKkYR.
#MiuMiuSS18 behind the scenes by @carinbackoffphoto
Styling: @kegrand
Art Direction: @gb65 https://t.co/WNAiQp6FJ9",974691876119957507
33,Fri Mar 16 12:00:11 +0000 2018,MIU MIU,"Add a touch of neon. Discover the Miu Miu Spring/Summer 2018 collection at https://t.co/gEqJPZAhPy.
#MiuMiuSS18 behind the scenes by #CarinBackoff
Styling: @kegrand
Art Direction: @gb65 https://t.co/W2cV1pChH7",974616316450689025
34,Thu Mar 15 20:00:03 +0000 2018,MIU MIU,"Redefining “ladylike”. Discover the Miu Miu Spring/Summer 2018 collection at https://t.co/LyRTMxS9Sn.
#MiuMiuSS18 behind the scenes by #CarinBackoffphoto
Styling: @kegrand
Art Direction: @gb65 https://t.co/zv2PHsPjP7",974374690142736384
35,Thu Mar 15 17:00:09 +0000 2018,MIU MIU,"Reinventing classics. The new Grace Lux shopping bag in black and white leather. Discover more at: https://t.co/JwYjlqj7fy.
#MiuMiuSS18 behind the scenes by #CarinBackoffphoto
Styling: @kegrand
Art Direction: @gb65 https://t.co/yACPZaYScc",974329414967287808
