,created,handle,text,tweet_id
0,Wed Mar 21 18:07:10 +0000 2018,Alexander McQueen,An Alexander McQueen Spring/Summer 2018 chandelier earring in antique silver. Photograph by Sir Don McCullin. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/gHq8ZoVN0s,976520608065441792
1,Wed Mar 21 09:00:20 +0000 2018,Alexander McQueen,An Alexander McQueen cutaway cavalry twill riding coat is pieced with check patchwork inserts. From the Alexander McQueen Spring/Summer 2018 collection. Explore #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/uBPmso7r7X,976382993622237184
2,Tue Mar 20 15:21:56 +0000 2018,Alexander McQueen,The three-buckle boot features multi-coloured silk rosebuds inside a transparent block heel. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/uZM2OllFPZ,976116635957452800
3,Tue Mar 20 10:00:22 +0000 2018,Alexander McQueen,A charm necklace with baroque river pearls and crystal droplets. From the Alexander McQueen Spring/Summer 2018 collection. Photograph by Sir Don McCullin. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/rDcwcX6x1o,976035713451003904
4,Mon Mar 19 20:35:40 +0000 2018,Alexander McQueen,In the atelier: the Alexander McQueen bespoke bordeaux wool silk jacket with silver embroidered cuffs worn by @Harry_Styles on tour in Antwerp. #SeeninMcQueen #HarryStyles #LiveOnTour #AlexanderMcQueen https://t.co/pyxmGZw9Nj,975833203289321472
5,Mon Mar 19 18:30:03 +0000 2018,Alexander McQueen,See @Harry_Styles wearing an Alexander McQueen bespoke bordeaux wool silk jacket with silver embroidered cuff and hem details to his Live on Tour concert in Antwerp. #SeeninMcQueen #HarryStyles #LiveOnTour #AlexanderMcQueen https://t.co/CEKqjhibQE,975801592862707713
6,Mon Mar 19 14:59:22 +0000 2018,Alexander McQueen,A deconstructed couture dress with trailing garden flowers is fitted in Paris before the Alexander McQueen Spring/Summer 2018 show. Photograph by Sir Don McCullin. Explore #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/dNKmRh4Wmt,975748569448763393
7,Mon Mar 19 09:53:45 +0000 2018,Alexander McQueen,Geometric structures are topped with transparent tulle canopies that become increasingly overgrown with intricately embroidered flowers. Created in the atelier in Paris for the Alexander McQueen Spring/Summer 2018 runway show. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/uXp8bCVUHx,975671658206912514
8,Sun Mar 18 17:22:59 +0000 2018,Alexander McQueen,A deconstructed corset dress with trailing garden flower embroideries is created in the atelier in Paris. From the Alexander McQueen Spring/Summer 2018 collection. Explore #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/27h4TVP2SX,975422327176466433
9,Sun Mar 18 12:11:57 +0000 2018,Alexander McQueen,An Alexander McQueen pieced and patched denim skirt with an antique floral handkerchief hem and harness tapestry top with embroidered garden roses. From the Alexander McQueen Spring/Summer 2018 collection. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/7UTppjOvIc,975344051934433281
10,Sun Mar 18 00:37:40 +0000 2018,Alexander McQueen,A ruffle hem jacket in light wool silk with silk faille detailing is worn with a silver jewelled case clutch and embellished three-buckle boots. From the Alexander McQueen Spring/Summer 2018 collection. Explore #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/UOSqUA7vVt,975169329313603584
11,Sat Mar 17 09:08:34 +0000 2018,Alexander McQueen,A black silk shawl with skull and garden treasure motifs. From the Alexander McQueen Spring/Summer 2018 collection. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/c2wYMx8Urd,974935513055547392
12,Fri Mar 16 15:26:24 +0000 2018,Alexander McQueen,A harness tapestry top with embroidered garden roses is created in the atelier. From the Alexander McQueen Spring/Summer 2018 collection. Explore #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/QOxxmqJIHN,974668212595019776
13,Fri Mar 16 09:49:45 +0000 2018,Alexander McQueen,An engineered fil coupé dégradé tweed dress from the Alexander McQueen Spring/Summer 2018 collection is fitted in the atelier. Photograph by Sir Don McCullin. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/eehzZ4R9eU,974583490527318016
