,created,handle,text,tweet_id
0,Wed Mar 21 17:01:30 +0000 2018,PRADA,"Going out together. Lead the way.
#PradaRealLifeComix available on https://t.co/Ue70Y61OEF. https://t.co/IAJC8xjVlE",976504082147020801
1,Tue Mar 20 20:53:41 +0000 2018,PRADA,"My heroes. Look out for me.
#PradaRealLifeComix available on https://t.co/KfNqEHJDwp. https://t.co/z46Ux7D2dl",976200125319086083
2,Tue Mar 20 17:40:54 +0000 2018,PRADA,"Fast impressions. Count.
#PradaRealLifeComix available on https://t.co/KfNqEHJDwp. https://t.co/r6p0X4F0hQ",976151609716760577
3,Mon Mar 19 17:00:25 +0000 2018,PRADA,"Take-off. And travel fast.
#PradaRealLifeComix available on https://t.co/sKI6pf09Du. https://t.co/wDKZKHo0fL",975779033215569922
4,Sun Mar 18 17:00:12 +0000 2018,PRADA,"Vision collision.
#PradaRealLifeComix available on https://t.co/cCSrqFOzLI. https://t.co/teDHdozV2v",975416589905465345
5,Sat Mar 17 20:00:18 +0000 2018,PRADA,"The potential energy.
#PradaRealLifeComix available on https://t.co/cCSrqFOzLI. https://t.co/GhW5rMasnV",975099529614843912
6,Sat Mar 17 17:00:12 +0000 2018,PRADA,"Get up. And go. Animate the inanimate.
#PradaRealLifeComix available on https://t.co/cCSrqFOzLI. https://t.co/bqxYuO0LgQ",975054202954240000
7,Fri Mar 16 20:00:06 +0000 2018,PRADA,"Deliciously indulgent, extravagantly chic. #PradaCandy Sugar Pop brings a touch of ironic sophistication to the Candy obsession. 
Discover more at https://t.co/3sQ852s11w.
#IWantPradaCandy
#PradaFragrances https://t.co/tRraxhlTj2",974737091430092800
8,Fri Mar 16 17:00:06 +0000 2018,PRADA,"A candylicious concoction of Peach and Vanilla with fresh Bergamote and Green Citrus built around a creamy Vanilla heart. #PradaCandy Sugar Pop. 
Discover more at https://t.co/3sQ852s11w.
#IWantPradaCandy
#PradaFragrances https://t.co/aD0m07WrQa",974691790661079041
9,Thu Mar 15 20:07:21 +0000 2018,PRADA,"Outside the boxes. The new #PradaSS18 leather sneaker with comics-inspired Saffiano patch.
Discover more at https://t.co/oJpam4fBVL. https://t.co/PrfhTbhn7M",974376528099397639
10,Thu Mar 15 15:00:19 +0000 2018,PRADA,"Just like a comic strip. The new #PradaSS18 sneakers with Saffiano patches.
Discover more at https://t.co/oJpam4fBVL. https://t.co/F8R2C0wegR",974299259196596224
11,Thu Mar 15 11:57:39 +0000 2018,PRADA,"Introducing the new #PradaSS18 sneakers, with comics-inspired Saffiano patches.
Discover more at https://t.co/oJpam4fBVL. https://t.co/hm3RQ2XLOE",974253287313690624
12,Wed Mar 14 21:00:39 +0000 2018,PRADA,".@Ava wore a #Prada cobalt blue cady gown with asymmetric edge, embellished by a black saffiano leather belt with jeweled-buckle, while attending the ‘A Wrinkle In Time’ premiere in London. https://t.co/jk1tDrHul5",974027553081085957
13,Wed Mar 14 19:00:36 +0000 2018,PRADA,".@StormReid wore an azalea duchesse gown, embellished by bows on the shoulders and on the back, collar and pin enriched by crystals details and silver sequins embroideries, while attending the ‘A Wrinkle In Time’ premiere in London. https://t.co/SNxLXUPxUc",973997341840756737
14,Wed Mar 14 16:49:12 +0000 2018,PRADA,".@ZoeyDeutch wore a #Prada pink jacquard strapless sheath gown, embellished by a bow on the waist, and pink lurex jacquard platform sandals, while attending the ‘Flower’ première in Los Angeles. https://t.co/6zhFuVOMvH",973964271007817728
15,Wed Mar 14 11:43:33 +0000 2018,PRADA,"⚡️ “#PradaSS18 - BTS ""In the Cities"" ” by @Prada

https://t.co/oI7m7SPqIw",973887350924292101
16,Tue Mar 13 20:00:25 +0000 2018,PRADA,"This is my location. Where I belong.
See #PradaInTheCities at https://t.co/MQv4tArxZF. https://t.co/6C1GLalil9",973650007306973184
17,Tue Mar 13 17:00:06 +0000 2018,PRADA,"I stand tall. And reach the ground.
See #PradaInTheCities at https://t.co/MQv4tArxZF. https://t.co/GNNQFu10DV",973604627043274752
18,Mon Mar 12 19:00:32 +0000 2018,PRADA,"Carry on. This way.
See #PradaInTheCities at https://t.co/MQv4tArxZF. https://t.co/UZzT3TQ7g8",973272546786381826
19,Sun Mar 11 17:00:05 +0000 2018,PRADA,"Taken into context.
See #PradaInTheCities at https://t.co/WL2Jrj55YI. https://t.co/0WZLI0mvEd",972879847319105536
20,Sat Mar 10 17:00:38 +0000 2018,PRADA,"A signal. In a city of signs.
See #PradaInTheCities at https://t.co/MQv4tArxZF. https://t.co/ax010l94aW",972517595915145216
