,created,handle,text,tweet_id
0,Wed Mar 28 16:08:33 +0000 2018,Stella McCartney,Stella McCartney and Kering jointly agree to go separate ways after a successful 17-year partnership; thank you to @KeringGroup for the wonderful journey together: https://t.co/zNaZqQN2Ex https://t.co/3PXHIE4WNo,979027470795067392
1,Wed Mar 28 14:25:11 +0000 2018,Stella McCartney,"Slide into Summer in these playful monochrome star slides, the perfect addition to your warm weather footwear line-up: https://t.co/6NZj4Vr0yE https://t.co/bxjx7ODfaP",979001459688853504
2,Wed Mar 28 09:46:42 +0000 2018,Stella McCartney,"Carry everyday essentials in this season's hero accessory - the #StellaStar bag! 

Compact and naturally sexy, make it your go-to for Spring: https://t.co/MQLtq3XzGj https://t.co/9g1KL5m8NL",978931378308993025
3,Tue Mar 27 16:25:09 +0000 2018,Stella McCartney,Drawn together… The drawstring hem is a motif that runs throughout our Spring collection. Worn loosely for a modern effect: https://t.co/r1eBtADKqZ https://t.co/vme8PUlbsF,978669261391527936
4,Tue Mar 27 15:40:14 +0000 2018,Stella McCartney,Venus women from Japanese airbrush artist Pater Sato's feature throughout our Spring Summer #StellaMenswear collection: https://t.co/wXOdHiLRxp https://t.co/nHjV217972,978657959696896000
5,Tue Mar 27 12:40:12 +0000 2018,Stella McCartney,"Japanese airbrush artist Pater Sato's striking work features across our Spring Summer #StellaMenswear collection, with his iconic designs peeping out from shirting and the lining of coats: https://t.co/wXOdHiLRxp https://t.co/ZZoE5OCJ0Z",978612653374533632
6,Tue Mar 27 11:54:29 +0000 2018,Stella McCartney,Japanese airbrush artist Pater Sato's striking designs feature throughout our Spring Summer #StellaMenswear collection: https://t.co/wXOdHiLRxp https://t.co/oGDPPmnmQJ,978601146091757568
7,Mon Mar 26 16:35:12 +0000 2018,Stella McCartney,It's a keeper… The Stella Flo bag is a timeless classic with style staying power for seasons to come: https://t.co/V0fxNPh4Aw https://t.co/TFIdRGTx82,978309401491705856
8,Mon Mar 26 14:35:12 +0000 2018,Stella McCartney,Bucket list! Add flowing taffeta skirts to your summer line-up for an effortlessly sexy approach to dressing: https://t.co/LOzN7hZr9e https://t.co/wN8CR1X7wl,978279204621094917
9,Mon Mar 26 12:35:09 +0000 2018,Stella McCartney,"In alter-snake and canvas, The Flo bag comes with long flowing tassels. The  straps are crocheted for a playful appeal: https://t.co/V0fxNPh4Aw https://t.co/TcQSULmhoT",978248990671167489
10,Sun Mar 25 14:55:07 +0000 2018,Stella McCartney,"Take your yoga game to new heights with the seamless yoga tank and tights from the latest @adidas Stella McCartney collection. Designed with organic cotton, @Parleyxxx and recycled polyester, it showcases our dedication to sustainability and design: https://t.co/X28ZMkEdaF https://t.co/65bfg2IET1",977921829460480005
