,created,handle,text,tweet_id
0,Wed Mar 21 13:55:08 +0000 2018,TOM FORD,"Celebrate National Fragrance day with the crisp radiance of new Eau de Soleil Blanc. 
https://t.co/eIICpzWSZe
#TOMFORD #TFSOLEIL https://t.co/Gq9R8TOCRL",976457179917160448
1,Tue Mar 20 14:37:10 +0000 2018,TOM FORD,"The fierce Women’s SS18 Collection. 
https://t.co/t8pJpszKLy
#TOMFORD https://t.co/AB3rBrEJF3",976105371969482757
2,Mon Mar 19 17:02:35 +0000 2018,TOM FORD,"Enter new extremes of luxe color and form. Featuring Shadow Extrême in two distinct metal and glitter finishes. 
https://t.co/ypzvvluh91
#TOMFORD #TFEXTREME https://t.co/CHFYo9ZeCx",975779579540492294
3,Mon Mar 19 15:43:53 +0000 2018,TOM FORD,"Every shade is its own element. Shadow Extrême.
https://t.co/ypzvvluh91
#TOMFORD #TFEXTREME https://t.co/Y8tz39mxxt",975759774942941185
4,Mon Mar 19 14:16:08 +0000 2018,TOM FORD,"The new Shadow Extrême in lustrous micronized glitter.
https://t.co/ypzvvluh91
#TOMFORD #TFEXTREME https://t.co/FSbpvAG4P5",975737692662259713
5,Fri Mar 16 14:29:12 +0000 2018,TOM FORD,"The Denim Small Soft Natalia. 
https://t.co/IM2p1LE8hm
#TOMFORD https://t.co/wjakhDUASI",974653816313401346
6,Thu Mar 15 16:29:05 +0000 2018,TOM FORD,"Most wanted SS18 Shoes featuring Frayed Pumps and Frayed Boots.
https://t.co/CtRwSFwJbh
#TOMFORD https://t.co/loa6x6OWoV",974321597669675008
7,Thu Mar 15 14:44:20 +0000 2018,TOM FORD,"A timeless white leather trench coat. 
https://t.co/iw9O0O082j
#TOMFORD https://t.co/BIge2DJ5rl",974295234137001987
8,Wed Mar 14 16:38:32 +0000 2018,TOM FORD,"Clutch-sized. Light-reflective. Long-wearing. Introducing Shadow Extrême in 20 new shades.
https://t.co/ypzvvluh91
#TOMFORD #TFEXTREME https://t.co/If8BCpkJOO",973961587680776193
9,Wed Mar 14 15:22:45 +0000 2018,TOM FORD,"Unleashing 20 unconstrained colors of TOM FORD Shadow Extrême.
https://t.co/ypzvvluh91
#TOMFORD #TFEXTREME https://t.co/vIzLR6OT4q",973942517824663552
10,Wed Mar 14 14:01:01 +0000 2018,TOM FORD,"The new Shadow Extrême in rich melted metal.
https://t.co/ypzvvluh91
#TOMFORD #TFEXTREME https://t.co/LYrxMv2V6d",973921949402484736
11,Tue Mar 13 15:36:42 +0000 2018,TOM FORD,"Statement jewelry featuring the Metallic Triple Wrap T Bracelet and Metallic Turnlock Cuff.
https://t.co/WnaF0HxMAq
#TOMFORD https://t.co/1enM5oX1R2",973583638574051328
