,created,handle,text,tweet_id
0,Wed Mar 28 13:00:04 +0000 2018,Tommy Hilfiger,"Yes, that crossbody does come in multiple colors and no, we won't judge you for getting all three. 
Shop the bag here: https://t.co/AnJyp7Rt92 https://t.co/9bj6WFBLAw",978980037776068613
1,Wed Mar 28 10:00:03 +0000 2018,Tommy Hilfiger,"Happiness is the new Tommy racewear-inspired spring collection, featuring dark denim and cheeky checks. 
Shop her look here:
https://t.co/29RPZ2bvYU
https://t.co/CFDZX2maDX https://t.co/q4SItYG5M7",978934737891885056
2,Tue Mar 27 13:00:07 +0000 2018,Tommy Hilfiger,A new season of sporty yet chic dresses is here! https://t.co/Y6iij0A1J2 https://t.co/UlMSLyLtnc,978617661826519040
3,Tue Mar 27 10:00:11 +0000 2018,Tommy Hilfiger,New dresses for the win! https://t.co/RNL1XGi1Eg https://t.co/CH3D5MdXSw,978572382750302208
4,Mon Mar 26 13:00:05 +0000 2018,Tommy Hilfiger,The Breton stripe tee dress – because spring just feels better in a dress. Shop the dress here: https://t.co/A80kTPsn9a https://t.co/irMpjF0hSu,978255265840746497
5,Mon Mar 26 10:00:21 +0000 2018,Tommy Hilfiger,"Performance dressing starts with fresh spring dresses. 
https://t.co/uqnNGbLnTD https://t.co/1RIfmSkv6M",978210035636559872
6,Sun Mar 25 07:49:27 +0000 2018,Tommy Hilfiger,"RT @LewisHamilton: Overall, this weekend has been positive. Congrats to Seb and the guys in red, today they did the better job and we go ba…",977814705266978816
7,Sun Mar 25 07:32:03 +0000 2018,Tommy Hilfiger,"RT @MercedesAMGF1: Another trophy for the collection for @LewisHamilton

He’ll be itching to go one better next time out in Bahrain! 

#Dri…",977810326585475072
8,Sun Mar 25 07:31:41 +0000 2018,Tommy Hilfiger,Starting strong! 💪 Congrats @lewishamilton @mercedesamgf1 #WhatsYourDrive #DrivenByEachOther #MercedesAMGF1 #AusGP https://t.co/m4eM4FpIDY,977810234885492736
9,Sat Mar 24 15:00:07 +0000 2018,Tommy Hilfiger,"Happy Birthday, Thomas J Hilfiger! We hope you had a great day – and we can't wait to see where your creative genius takes us next! 🏎 https://t.co/lEzyLigMDs",977560700007612417
10,Sat Mar 24 13:00:33 +0000 2018,Tommy Hilfiger,"HAPPY BIRTHDAY to the man, the myth, the legend: the one and only Thomas J Hilfiger! Thank you for inspiring us each and every day. 🎂 https://t.co/M4Kysp4Ugk",977530610054025218
11,Fri Mar 23 20:00:26 +0000 2018,Tommy Hilfiger,"Can’t stop, won’t stop. The sky’s the limit, and @Kingcombs is on the fast track to the finish line. 🏎 #WhatsYourDrive https://t.co/1xMigseGNd",977273889582665728
12,Fri Mar 23 17:00:28 +0000 2018,Tommy Hilfiger,. @PyperAmerica never forgets where she started: stay true to your roots and do what you love. ❤ 💙 #WhatsYourDrive https://t.co/eiop4KeYcC,977228598930296832
13,Fri Mar 23 14:00:23 +0000 2018,Tommy Hilfiger,. @Gabriel__Kane is on a creative mission to move you with his music. 🎵 #WhatsYourDrive https://t.co/MhRWuKt2N8,977183280415035392
14,Fri Mar 23 11:00:29 +0000 2018,Tommy Hilfiger,". @winnieharlow is one fierce, independent woman with the will to win. See what drives her to dominate the world. 👑 #WhatsYourDrive https://t.co/Nnnl2Dr77G",977138004597800960
15,Thu Mar 22 17:00:03 +0000 2018,Tommy Hilfiger,#ShawnYue giving some serious blue steel (the sleek tailoring and clean lines don’t hurt) #TommyXShawn #TommyX余文乐 https://t.co/pxyHJpxLzB,976866103749152769
16,Thu Mar 22 14:01:44 +0000 2018,Tommy Hilfiger,Make like #ShawnYue in the season’s freshest must-haves #TommyXShawn #TommyX余文乐 https://t.co/m8jdwaKYlf,976821230430031877
17,Thu Mar 22 11:00:03 +0000 2018,Tommy Hilfiger,#ShawnYue’s got the season’s freshest gear on lockdown #TommyXShawn #TommyX余文乐 https://t.co/GJlcZEaNwF,976775508120756225
18,Thu Mar 22 08:01:44 +0000 2018,Tommy Hilfiger,#ShawnYue reflecting on the motivation that comes from all things new #WhatsYourDrive #TommyXShawn #TommyX余文乐 https://t.co/satz38D3f2,976730633417486336
19,Wed Mar 21 14:00:05 +0000 2018,Tommy Hilfiger,". @Kingcombs keeps it real in our vintage style salt and pepper denim. #TommyJeans 
Jacket: https://t.co/uTsI0CtQHS
Top: https://t.co/Yg7VrLuRgd
Jeans: https://t.co/N3BkGFdNlN
Shoes: https://t.co/X2MRJYD3A2 https://t.co/NwrbTUHsVT",976458426334220293
20,Wed Mar 21 11:00:22 +0000 2018,Tommy Hilfiger,Our #TommyJeans boys rocking our freshest styles. 🔥 https://t.co/35h90xtH1k https://t.co/ftSwYNfT0E,976413201003933697
21,Tue Mar 20 14:00:26 +0000 2018,Tommy Hilfiger,"Your squad, clique, crew - what does the word “tribe” mean to you? #TommyJeans https://t.co/Zku8PkdD3w",976096128407101441
22,Tue Mar 20 11:03:00 +0000 2018,Tommy Hilfiger,Who run the world? Our #TommyJeans girls show us how they style the new season. 👭 https://t.co/4IYPFPmiby https://t.co/GoOYE309Hp,976051475167240192
23,Mon Mar 19 14:00:03 +0000 2018,Tommy Hilfiger,". @Kingcombs  and @dianasilvers13  rocking our authentic salt and pepper denim #TommyJeans 
King Combs Denim: https://t.co/N3BkGFdNlN
Diana Silvers Denim: https://t.co/iZ1dMA74Qm https://t.co/hQkR1AYy5a",975733643430768640
24,Mon Mar 19 11:00:04 +0000 2018,Tommy Hilfiger,"We’re loving @dianasilvers13  in her triple denim look. 👖
Jacket: https://t.co/Qc7qL2cKhW
Jeans: https://t.co/iZ1dMA74Qm
Shirt: https://t.co/Z9mHP5fNmQ
Shoes: https://t.co/PhSTea8uw3 https://t.co/cCvGPNtPAg",975688347816472576
25,Sun Mar 18 14:00:03 +0000 2018,Tommy Hilfiger,"Carefree days with @PyperAmerica  and #TommyJeans. 
Skirt: https://t.co/v8wi0qBtnY
Top: https://t.co/t6gCwg4Tsu
Jacket: https://t.co/kF9CwAtQqR https://t.co/HyYfoNe9QH",975371257209344002
26,Sun Mar 18 11:00:02 +0000 2018,Tommy Hilfiger,"New season, new styles! @Gabriel__Kane  and @PyperAmerica  show us how to do spring the #TommyJeans way.
🚹 https://t.co/35h90xtH1k
🚺 https://t.co/4IYPFPmiby https://t.co/xxI3xN7hUM",975325954489962496
27,Sat Mar 17 14:00:03 +0000 2018,Tommy Hilfiger,"Blue sky thinking with #SupPark and #TommyJeans ☀️
Shop his shirt here: https://t.co/I21hpG8qSg https://t.co/uKqMaka4kF",975008866651041792
28,Sat Mar 17 11:00:02 +0000 2018,Tommy Hilfiger,"Lina Hoss and Sup Park keep it casual trackside in new #TommyJeans
🚹 https://t.co/35h90xtH1k
🚺 https://t.co/4IYPFPmiby https://t.co/Pl86r6wBVp",974963566599196672
29,Fri Mar 16 14:00:06 +0000 2018,Tommy Hilfiger,"Our crew rocking all-new Tommy Jeans styles. Meet you at the racetrack! 🏁 #TommyJeans
🚹 https://t.co/35h90xtH1k
🚺 https://t.co/4IYPFPmiby https://t.co/7FUkq8H7ax",974646494052667394
30,Fri Mar 16 11:00:29 +0000 2018,Tommy Hilfiger,"Ready for round two? ✌️Catch the Tommy Jeans squad in action 🏍 #TommyJeans 
🚹 https://t.co/35h90xtH1k
🚺 https://t.co/4IYPFPmiby https://t.co/8ycgEPiHLv",974601291371548672
31,Thu Mar 15 17:01:07 +0000 2018,Tommy Hilfiger,What unites all @TommyHilfiger  ambassadors? The DRIVE to be the best they can be. #WhatsYourDrive @GiGiHadid @LewisHamilton #ShawnYue @TheChainsmokers https://t.co/svOZsqKQUx,974329659138637824
32,Thu Mar 15 14:00:06 +0000 2018,Tommy Hilfiger,Q: What do a supermodel and a race-car driver have in common? A: The drive to be the best. @GiGiHadid  @LewisHamilton  #WhatsYourDrive https://t.co/FMmo56vyjN,974284104702275584
33,Thu Mar 15 12:00:47 +0000 2018,Tommy Hilfiger,. @GiGiHadid and @LewisHamilton team up for a quick whip around the track. But who takes the lead? #WhatsYourDrive https://t.co/sd2nuU8s13,974254077310918656
34,Thu Mar 15 09:45:03 +0000 2018,Tommy Hilfiger,"Where speed and style collide. Introducing our new menswear ambassador, @LewisHamilton  @MercedesAMGF1 
PS. Shop @LewisHamilton 's wardrobe here: https://t.co/zgstuZUD5z
#WhatsYourDrive https://t.co/1dCaXdWQXx",974219918517391361
35,Thu Mar 15 08:21:22 +0000 2018,Tommy Hilfiger,"RT @LewisHamilton: Wow, I’m so excited to be menswear ambassador for @TommyHilfiger. It’s an honour to be a part of the family and I can’t…",974198858426306560
