,created,handle,text,tweet_id
0,Tue Mar 27 13:57:58 +0000 2018,Vera Wang,"Discover the #VeraWang Fall/Winter 2018 Bridal Collection, “Jardin du Luxembourg” @ Jardin du… https://t.co/9ahwAqh1EF",978632221258067968
1,Sat Mar 24 23:19:29 +0000 2018,Vera Wang,"On behalf of the entire @VeraWangGang team, Congratulations @nathanwchen 🏆on ur impressive win at the World Champs wearing custom #VeraWang https://t.co/wBhVdbRQ6c",977686369609793536
2,Sat Mar 24 23:16:16 +0000 2018,Vera Wang,Congratulations @nathanwchen 🥇 2018 World Figure Skating Championships Gold Medalist in custom Vera Wang. https://t.co/r0wZFsVUXm,977685558423011328
3,Wed Mar 14 01:09:39 +0000 2018,Vera Wang,THANK YOU @ELLEmagazine and @annatrevelyan for featuring #VeraWang Spring 2018 Collection on… https://t.co/cXddOWLAsl,973727826296877058
4,Thu Mar 08 17:51:11 +0000 2018,Vera Wang,Women for women in everything they do... for everyone. We honor you. xxV 💪🏽💋 #InternationalWomenDay #internationalwomensday2018,971805544150421504
5,Tue Mar 06 22:30:57 +0000 2018,Vera Wang,RT @wwd: .@VeraWangGang on how she got her start as a Red Carpet stylist — and what advice she has for younger stylists: https://t.co/fdX61…,971151173653876742
6,Mon Mar 05 17:12:59 +0000 2018,Vera Wang,@maryjblige wore custom #VeraWang Collection to attend the @VanityFair post Oscar party in Los Angeles. #verawangcelebs https://t.co/x7Bypnaiu0,970708766554341376
7,Mon Mar 05 06:25:03 +0000 2018,Vera Wang,RT @PRConsulting: .@MaryJBlige wore a custom #VeraWang Collection gown for her performance at the 90th Annual @TheAcademy Awards. #Oscars@V…,970545707345002496
8,Mon Mar 05 02:30:18 +0000 2018,Vera Wang,@maryjblige wore custom #VeraWang to perform her Oscar nominated song at the 2018 @TheAcademy Awards. #verawangcelebs https://t.co/AuKpbFPV2j,970486630220939265
9,Mon Mar 05 01:40:48 +0000 2018,Vera Wang,@TherealTaraji wears #VeraWang Collection while attending @TheAcademy Awards in Los Angeles. #verawangcelebs https://t.co/evLLwpiega,970474175495208961
10,Mon Mar 05 01:20:43 +0000 2018,Vera Wang,@TherealTaraji wears #VeraWang Collection while attending the #AcademyAwards in Los Angeles on… https://t.co/8mlPwmjyIn,970469121279385600
11,Mon Mar 05 00:24:53 +0000 2018,Vera Wang,RT @VogueRunway: See every look from @VeraWangGang Fall 2018: https://t.co/a86J6DwfAS https://t.co/eV1bFU2dh9,970455069047926784
12,Mon Mar 05 00:21:32 +0000 2018,Vera Wang,RT @FashionistaNYC: Love this striking black @VeraWangGang gown on @TherealTaraji #Oscars90 #Oscars https://t.co/vWLyqKPvAi,970454225598668800
13,Thu Mar 01 16:53:47 +0000 2018,Vera Wang,"Discover the Vera Wang Fall 2018 Collection, “THE TUDORS.” Follow @VeraWangGang on Instagram to see the full collection. https://t.co/bf0jil341s",969254384033918976
14,Thu Mar 01 16:51:25 +0000 2018,Vera Wang,"Discover #VeraWang Fall 2018 Collection “THE TUDORS”

Form meets Fantasy 
Styled by:… https://t.co/BQh9IuZf0d",969253789378236417
15,Thu Mar 01 15:42:52 +0000 2018,Vera Wang,In honor of the upcoming #Oscars2018 we’re flashing back to some great #VeraWang Oscars Red Carpet moments. https://t.co/J2le7St50t,969236537475870720
16,Thu Mar 01 15:41:39 +0000 2018,Vera Wang,In honor of the upcoming #Oscars2018 we’re flashing back to some great #VeraWang Oscars Red Carpet moments. https://t.co/GIG81jFqYT,969236231174287360
17,Thu Mar 01 15:41:16 +0000 2018,Vera Wang,In honor of the upcoming #Oscars2018 we’re flashing back to some great #VeraWang Oscars Red Carpet moments. https://t.co/7CclDlFMqB,969236135347068933
18,Sat Feb 24 15:27:19 +0000 2018,Vera Wang,@usweekly featured recent celebrities wearing Vera Wang in the March 5th. Story: “Wang's World” Editor: Rachel LeWinter https://t.co/FYyeRJHcF3,967420684358963201
