,created,handle,text,tweet_id
0,Wed Mar 28 16:00:49 +0000 2018,VERSACE,"The #VersaceIcon bag - an evening essential that is so Versace. #VersaceTribute
Find it: https://t.co/ZskK2diFjR https://t.co/I0GOvP7O4z",979025524751257600
1,Wed Mar 28 12:01:04 +0000 2018,VERSACE,"Iconic design, iconic details - the #VersaceIcon shoulder bag featuring a double Medusa central locket. #VersaceTribute
Find it now: https://t.co/ZskK2diFjR https://t.co/lMSMPPLZmq",978965190980046848
2,Wed Mar 28 06:00:20 +0000 2018,VERSACE,"The bondage touch. A powerful shoe for a true Versace woman.
Find the #VersaceTribute boots: https://t.co/VKMwzEDOeZ https://t.co/DmsPAIYrch",978874409976057856
3,Tue Mar 27 21:00:44 +0000 2018,VERSACE,"The bondage touch. A powerful shoe for a true Versace woman.
Find the #VersaceTribute boots: https://t.co/VKMwzEDOeZ https://t.co/5BXUh4hfJu",978738614090727424
4,Tue Mar 27 19:02:01 +0000 2018,VERSACE,Medusa studs everywhere. A very Versace touch on #VersaceTribute evening accessories. Discover more: https://t.co/ZskK2diFjR https://t.co/C8DDKWRUXU,978708740554874880
5,Tue Mar 27 17:05:39 +0000 2018,VERSACE,Bound by the Medusa - the #VersaceTribute bag with Medusa stud details and leather straps. Find it: https://t.co/ZskK2diFjR https://t.co/bcyYZJg2ON,978679454972162050
6,Mon Mar 26 13:01:16 +0000 2018,VERSACE,Gisele and Vittoria recount the story of the beautiful yet tortured #VersaceMedusa. Find the full story: https://t.co/d1mDjBpf1B https://t.co/QyHHIISUE2,978255566396121088
7,Mon Mar 26 13:00:36 +0000 2018,VERSACE,"A story of beauty, passion and mystery. Watch the full #VersaceMedusa story: https://t.co/d1mDjBpf1B https://t.co/PQ98hwkwcq",978255395633483777
8,Mon Mar 26 06:00:26 +0000 2018,VERSACE,"A story about the powerful force of the #VersaceMedusa, a symbol for all women. Watch the full story: https://t.co/d1mDjBpf1B https://t.co/VFSpxiEu8N",978149659955941376
9,Sun Mar 25 19:00:27 +0000 2018,VERSACE,A bold pop art print. An expression of passion for art. An homage created in collaboration with the media powerhouse. Find it: https://t.co/JERifNScPN https://t.co/ZnofKLrs4J,977983568818442240
10,Sun Mar 25 14:00:57 +0000 2018,VERSACE,The Vogue print from Gianni Versace's SS '91 collection is a bold composition featuring the Vogue logo in a playful design that incorporates bright primary colors. Shop the #VersaceTribute Vogue print: https://t.co/JERifNScPN https://t.co/wQNyGkyOcJ,977908196697432065
11,Sun Mar 25 08:00:11 +0000 2018,VERSACE,".@naomicampbell in a full Vogue print look. A design that represents the influence of media in visual culture, while forever marking the presence of art in fashion.#VersaceTribute 
Discover more: https://t.co/JERifNScPN https://t.co/SxDEhKmlBF",977817408365883392
12,Sat Mar 24 18:00:22 +0000 2018,VERSACE,#VersaceTribute - Voguing from head-to-toe. The reinvention of an iconic print. Shop the Vogue print: https://t.co/JERifNScPN https://t.co/nZlUSET8m9,977606062265323521
13,Sat Mar 24 14:00:39 +0000 2018,VERSACE,"The legendary Vogue print features covers of some of the most iconic Vogue issues. Designed by Gianni Versace in 1991, the print is back for the #VersaceSS18 collection and more bold than ever. #VersaceTribute 
Shop the print: https://t.co/JERifNScPN https://t.co/V3NfSXH9OK",977545735737626625
14,Sat Mar 24 08:00:26 +0000 2018,VERSACE,"The past made present. A design created with an unmatched precision by the same hands that crafted Gianni Versace's iconic SS '91 collection.
Shop the #VersaceTribute pop art prints: https://t.co/JERifNScPN https://t.co/yvGhBh7a3P",977455080294309888
15,Fri Mar 23 18:09:22 +0000 2018,VERSACE,"Lounging in the #VersaceTribute Trésor de la Mer print for the April issue of @VogueSpain.
Photographer: Bjorn Iooss
Styled by Andrew Mukamal
https://t.co/3RxPsl4NwR https://t.co/oKwtVYym5p",977245935704137728
16,Fri Mar 23 16:36:40 +0000 2018,VERSACE,"Vogue print leggings, an iconic touch to a modern day look. #VersaceTribute featured in @VogueSpain's April issue.
Photographer: Bjorn Iooss
Styled by Andrew Mukamal
https://t.co/3RxPsl4NwR https://t.co/LiWR98K4dd",977222609036300288
17,Thu Mar 22 19:28:51 +0000 2018,VERSACE,"A #VersaceTribute road trip in the April issue of Vogue España. 
Photographer: Bjorn Iooss
Styled by Andrew Mukamal
https://t.co/3RxPsl4NwR https://t.co/6cIHQQuoG5",976903553913671680
18,Thu Mar 22 11:34:35 +0000 2018,VERSACE,"Snowed in style - @GiGiHadid spotted in New York City wearing a velvet print Cuscino bag with pillow fringe details from the upcoming #VersaceFW18 collection.

https://t.co/3RxPsl4NwR https://t.co/WL4rjce6Ah",976784201025556480
19,Thu Mar 22 09:27:19 +0000 2018,VERSACE,"The wild wild #VersaceTribute animalier prints featured in @VogueSpain's April issue. #VersaceEditorials
Photographer: Bjorn Iooss
Styled by Andrew Mukamal
https://t.co/3RxPsl4NwR https://t.co/05Xv2I7ETV",976752170216419329
20,Wed Mar 21 21:47:18 +0000 2018,VERSACE,"#VersaceEditorials - A walk in Barocco - featured in @VogueSpain to celebrate the 30 year anniversary of the magazine. #VersaceTribute 

Photographer: Bjorn Iooss
Styled by Andrew Mukamal

https://t.co/3RxPsl4NwR https://t.co/K87KZ9uls3",976576008529858562
21,Wed Mar 21 17:21:33 +0000 2018,VERSACE,Vogue on Vogue - @VogueSpain celebrates their 30 year anniversary with the #VersaceTribute Vogue print. https://t.co/z116OnswPp,976509129924710400
22,Tue Mar 20 23:53:39 +0000 2018,VERSACE,"RT @mattsebra: Also today in fantastic pieces about the world of fashion, Molly Young's peek inside Donatella @Versace Versace Versace Vers…",976245414335836160
23,Tue Mar 20 23:53:13 +0000 2018,VERSACE,RT @GQMagazine: The iconic designer opens the gilded doors to Palazzo @Versace https://t.co/purbShf6j8,976245308610023424
24,Tue Mar 20 23:53:10 +0000 2018,VERSACE,"RT @GQMagazine: “@Versace is a dream,” Donatella says. “It's a dream that people want to be part of.” https://t.co/Mxx4vYnUgE",976245293929951232
25,Tue Mar 20 17:00:53 +0000 2018,VERSACE,Tune in today at 6pm EST on Instagram Live to watch Donatella Versace sit down with @evachen212 at the @saks NYC flagship. https://t.co/Zx6VFNy2yF,976141538005798913
26,Tue Mar 20 08:45:19 +0000 2018,VERSACE,A look at the #VersaceTribute collection at the Saks Fifth Avenue NYC flagship. Watch Donatella Versace sit down with Eva Chen on Instagram Live today at 6pm EST. Ask your question using #AskDonatella. https://t.co/tvTKQtodRE,976016826592321536
27,Mon Mar 19 20:27:15 +0000 2018,VERSACE,"Versace and @saks together again to celebrate the #VersaceTribute collection. 
Don't miss Donatella Versace and Eva Chen on Instagram Live tomorrow at 6pm EST from Saks 5th Ave, NYC.
What do you think they'll talk about? #AskDonatella https://t.co/dddbU0i3LQ",975831084503060480
28,Mon Mar 19 17:01:05 +0000 2018,VERSACE,"Cara Taylor recounts the #VersaceMedusa story.
Find out more: https://t.co/d1mDjBpf1B https://t.co/SthJWR02vt",975779201608503297
29,Mon Mar 19 14:01:01 +0000 2018,VERSACE,"The #VersaceMedusa story read by @kaiagerber herself. To be continued…
Watch the first 6 chapters: https://t.co/d1mDjBpf1B https://t.co/s3hsYeTPDA",975733887908401152
30,Mon Mar 19 09:40:22 +0000 2018,VERSACE,The #VersaceMedusa - symbol and essence of Versace power. Watch the first 6 chapters: https://t.co/d1mDjBpf1B https://t.co/dLsvsnbTXY,975668292412231680
31,Sun Mar 18 14:27:45 +0000 2018,VERSACE,"Bound by the Medusa - the #VersaceTribute bag features a classic bowling bag silhouette Medusa-embellished leather straps that give that Versace bondage touch. 
Find the bag: https://t.co/ZUnRIDUqhe https://t.co/JT17x4AvMy",975378225047244802
32,Sat Mar 17 18:20:12 +0000 2018,VERSACE,"There's no such thing as too many Medusas. The #VersaceTribute bag - a recreation of the original bag designed by Gianni Versace in 1992 - the timeless accessory is back for a modern generation.
Find it: https://t.co/ZUnRIDUqhe https://t.co/9d4CDWCfrv",975074337660329986
33,Sat Mar 17 13:15:57 +0000 2018,VERSACE,"The Balletto Cornici silk shirt dress. Two iconic Versace motifs in one. Ancient Greek theatre and art icons link fashion, culture and the arts.

Discover the #VersaceSS18 collection: https://t.co/lqydlJNWBg https://t.co/h803noXfON",974997771035070465
34,Fri Mar 16 16:02:59 +0000 2018,VERSACE,"“Fur? I am out of that. I don’t want to kill animals to make fashion.” #DonatellaVersace
Versace is proud to take this ethical step into the future and hopes it will inspire innovation and raise awareness. Versace will phase out all fur products from the 2019 collections onward. https://t.co/khyIx4oTcC",974677418312196097
35,Thu Mar 15 18:20:15 +0000 2018,VERSACE,"Versace print mania with a classic touch. #VersaceSS18
Find the Balletto print: https://t.co/XO1z11XsLE https://t.co/jNA4DL0BYH",974349575162081280
36,Thu Mar 15 16:40:27 +0000 2018,VERSACE,Versace Versace Versace mirage - Greek Key on me like a print collage. #VersaceSS18 Find the Optillusion print: https://t.co/rPilSixN2G https://t.co/AimfobhB4U,974324456398245889
37,Wed Mar 14 20:59:19 +0000 2018,VERSACE,RT @1843mag: “Killing animals to make fashion doesn’t feel right.” Donatella Versace tells us about her plans for the future of the family…,974027213942218758
38,Wed Mar 14 20:58:10 +0000 2018,VERSACE,RT @VogueRunway: Donatella @Versace says fur is over: https://t.co/Ow2kl3vuhT https://t.co/lLrluWoO9d,974026925126676481
39,Wed Mar 14 18:06:29 +0000 2018,VERSACE,"Go bold, go Versace, go for the Optillusion print craze. #VersaceSS18
Shop the print: https://t.co/rPilSixN2G https://t.co/UYFLEO3VJ7",973983721283039234
40,Tue Mar 13 21:04:39 +0000 2018,VERSACE,"Versace night out with @BritishVogue.
#DonatellaVersace, #ClaudiaSchiffer, @RitaOra, @missjourdandunn, @theirishayk and #YasminLeBon. #VersaceTribute https://t.co/u2XTgB3Ibn",973666170615353345
41,Mon Mar 12 18:04:22 +0000 2018,VERSACE,"Medusa, the beautiful woman who chose the female Goddess Athena over any other god. Discover the first three chapters of the #VersaceMedusa story: https://t.co/d1mDjBpf1B https://t.co/W4w6qzGYi1",973258412363534339
42,Mon Mar 12 09:34:58 +0000 2018,VERSACE,"The #VersaceMedusa Story - a story that bringing the epic myth of the past into a very current present of female empowerment as the new definition of beauty.
Discover the first three chapters of the story: https://t.co/d1mDjBpf1B https://t.co/veaAczM3Te",973130217249300481
