,created,handle,text,tweet_id
0,Wed Mar 28 15:59:35 +0000 2018,DKNY,Give the green light to a new lightweight jacket. Shop the Long Nylon Jacket: https://t.co/YNCsoykLlJ #DKNYSpring2018 https://t.co/FAS2FWvUWo,979025216709038080
1,Tue Mar 27 11:00:02 +0000 2018,DKNY,"Stop traffic, no effort required.
Our spring range is guaranteed to warrant attention. Shop the new collection on https://t.co/rN9MdMMKPo. #DKNYSpring2018 https://t.co/0jprVk3RpL",978587441698430976
2,Mon Mar 26 18:47:00 +0000 2018,DKNY,.@SiobhanBell_ wears the #DKNY Sport Low- Impact Logo Racerback Bra in the newest issue of NYLON Germany. https://t.co/0KuE6fiEUD #DKNYSpring2018 https://t.co/Ip7AuUGjjy,978342569968054274
3,Sun Mar 25 13:00:01 +0000 2018,DKNY,#LeenaAlghouti gets ready for spring with the new #DKNY collection. Shop spring styles on https://t.co/rN9MdMMKPo. #DKNYSpring2018 https://t.co/ULybDK1jcQ,977892863114608641
4,Sat Mar 24 22:00:01 +0000 2018,DKNY,"Hit refresh: it’s time for lightweight layers.
Shop the new spring collection in #DKNY stores and on https://t.co/rN9MdMMKPo. #DKNYSpring2018 https://t.co/QVbyFBCYII",977666372036591616
5,Fri Mar 23 20:59:41 +0000 2018,DKNY,.@JustineSkye wears a #DKNY Sport top with grommet detail for her DJ set in West Hollywood. https://t.co/ywd3nathEN,977288797862981632
6,Thu Mar 22 20:59:50 +0000 2018,DKNY,"Hues with high-impact.
Shop new spring styles on https://t.co/rN9MdMMKPo. #DKNYSpring2018 #DKNY https://t.co/O8ecz7r9S7",976926447993581568
7,Wed Mar 21 21:59:32 +0000 2018,DKNY,"Word on the street: these are guaranteed to stop traffic.
Shop the Banson Leather Sneaker: https://t.co/6iqcl0iApE #DKNYSpring2018 #DKNY https://t.co/cHo825RlQX",976579086511411201
8,Tue Mar 20 10:59:51 +0000 2018,DKNY,"Spring. Is. (Finally.) Here.
Upgrade your wardrobe on https://t.co/rN9MdMMKPo. #DKNYSpring2018 #DKNY https://t.co/K3B0Hk2sVk",976050682968014850
9,Mon Mar 19 12:00:01 +0000 2018,DKNY,"The #DKNY Satin Sleep Set top, as seen in @LOfficielAU. https://t.co/5dIsm9jyTL https://t.co/Xb8BfBnVdc",975703436942602240
10,Sun Mar 18 18:00:01 +0000 2018,DKNY,ELLE Thailand photographs the #DKNY Sport Logo Medium Nylon Backpack. https://t.co/DW65ZokyOt https://t.co/ajiIm6znni,975431645066092545
