,created,handle,text,tweet_id
0,Wed Mar 28 17:20:42 +0000 2018,Dolce & Gabbana,"The flowers of #TheGreenLife project with @rinascente also blossom in the window displays of Piazza Duomo Milano. 
#SuccedeInRinascente #DGFamily #DGRinascente #DGEyewear https://t.co/3jOhdfbaKB",979045630797631490
1,Wed Mar 28 15:51:57 +0000 2018,Dolce & Gabbana,"A mosaic of Dolce Garden products. 
Which is your favourite?
#DGBeauty #DGDolceGarden https://t.co/bCxvDKkzSY",979023296124674048
2,Wed Mar 28 14:44:19 +0000 2018,Dolce & Gabbana,"Make your steps burst in hot pink colour. Assertive, sporty and feminine, get these sneakers on https://t.co/hRxtb5zhL3
#DGSneakers #DGWomen https://t.co/k1buKQ1Yv0",979006274225561600
3,Wed Mar 28 10:19:15 +0000 2018,Dolce & Gabbana,"Flown in by a #DGDrone, the #DGDevotionBag is one of a kind.
Pre-order in Milan via Montenapoleone, Paris Rue du Faubourg Saint Honoré, London Old Bond St., New York 5th Av., Tokyo Ginza, Beijing SKP Mall, Shanghai Plaza 66, Hong Kong Harbour City and on https://t.co/3da9RvFSu7 https://t.co/RUwGsi2tkM",978939568660545536
4,Wed Mar 28 07:44:26 +0000 2018,Dolce & Gabbana,"Kylie Minogue wore Dolce&amp;Gabbana for the MGM Cotai Grand opening event in Macau on 25th March, 2018. 
#DGCelebs #DGWomen https://t.co/Fyy2SCZH0x",978900608689295361
5,Tue Mar 27 18:34:56 +0000 2018,Dolce & Gabbana,"Floral abundance has arrived in @rinascente Rome Via del Tritone for #TheGreenLife project. 
Discover more in our Women’s and Men's dedicated temporary stores. #SuccedeInRinascente #DGFamily #DGRinascente https://t.co/K2EoGqMaWn",978701922038403072
6,Tue Mar 27 17:00:20 +0000 2018,Dolce & Gabbana,"For #TheGreenLife project with @rinascente, enjoy the flowery Dolce&amp;Gabbana decorations in the window displays of Rinascente Rome in Via del Tritone, until April 18th. #SuccedeInRinascente #DGFamily #DGRinascente #DGBeauty https://t.co/wInPzKj6He",978678117589028865
7,Tue Mar 27 15:42:37 +0000 2018,Dolce & Gabbana,"Hold your beauty items in style with this blue, white and green Memphis printed beauty case. Available on https://t.co/qDrUTjiYM0
#DGMen https://t.co/DKSHEz5kvD",978658560094756864
8,Mon Mar 26 21:01:01 +0000 2018,Dolce & Gabbana,"A ravishing red, this new DG Girls bag will become your best friend. Perfect for all looks, get it on  https://t.co/LE7PkPSlwX
#DGGirls https://t.co/fsKRAqQRV7",978376297029259264
9,Mon Mar 26 19:34:37 +0000 2018,Dolce & Gabbana,"It's time to choose. Which one is your favourite look from the Dolce&amp;Gabbana Men's Spring Summer 2018 Fashion Show? 
#DGMen #DGKOH #DGSS18 #DGMillennials https://t.co/xgZrkSAtwZ",978354554810044417
