,created,handle,text,tweet_id
0,Thu Mar 22 20:00:43 +0000 2018,gucci,"Performing onstage with his band @30SECONDSTOMARS for ‘The Monolith Tour’ in Rome, @JaredLeto wore a #Gucci suit with oversized black velvet contrasting lapel and pinstripe sequin embroidery details with metallic leather high top sneakers. #AlessandroMichele #MonolithTour https://t.co/9Q5JI81CA8",976911572906971139
1,Thu Mar 22 18:00:27 +0000 2018,gucci,"Spotted in @LOfficielES, @FinnSkata in a velvet formal jacket and retro shirt from #GucciSS18 by #AlessandroMichele. #GucciEditorials 
Photography by: Graham Dunn
Styling by: Danyl Geneciran https://t.co/RBQ56T1J8P",976881304296919040
2,Thu Mar 22 16:00:31 +0000 2018,gucci,".@Harry_Styles wore a #Gucci custom lurex jacquard suit with oversized peak lapel jacket and a silk self-tie blouse while performing onstage at Royal Arena in Copenhagen, Denmark during the second leg of ‘Harry Styles: Live on Tour’. #AlessandroMichele https://t.co/YLwLhLi3Uh",976851123054239751
3,Thu Mar 22 15:00:20 +0000 2018,gucci,"Help @CHIMEFORCHANGE, @UNICEF and @beyonce empower women, girls and families in Burundi through access to clean, safe water, visit: https://t.co/4jKCASIntX. #beygood4burundi #wateris",976835979871965185
4,Thu Mar 22 14:30:10 +0000 2018,gucci,"Gucci’s $1M commitment to #beygood4burundi will help support the building of 80 wells, providing access to clean, safe water to more than 120,000 women, girls and their families.  @chimeforchange @unicef @beyonce @beygood #wateris",976828385971331072
5,Thu Mar 22 14:00:19 +0000 2018,gucci,"On the occasion of World Water Day, #Gucci and @CHIMEFORCHANGE announced today a new partnership with @beyoncé and @unicef USA to bring clean, safe water to the children of Burundi. https://t.co/4jKCASIntX. #beygood4burundi #wateris",976820872462962688
6,Wed Mar 21 22:00:19 +0000 2018,gucci,"A fresh and green scent Gucci Bloom Acqua di Fiori, a new chapter of the Gucci Bloom #InBloom fragrance story, captured in a campaign featuring #DakotaJohnson and @petracollins https://t.co/El1buBhuCU 
Photo by: #GlenLunchford
Art director: #ChristopherSimmonds
#AlessandroMichele https://t.co/dVNtSosZ0J",976579281898885120
7,Wed Mar 21 20:00:19 +0000 2018,gucci,"New scent Gucci Bloom Acqua di Fiori blends a watery accord of green Galbanum and dainty Cassis buds with the flourishing garden perfume from the original fragrance https://t.co/El1buBhuCU #InBloom 
Photo by: #GlenLunchford
Art director: #ChristopherSimmonds
#AlessandroMichele https://t.co/lUgkB1Hvc0",976549082427740160
8,Wed Mar 21 17:59:41 +0000 2018,gucci,"Presenting a new chapter of #InBloom, Gucci Bloom Acqua di Fiori, a fresh green scent in a campaign featuring #DakotaJohnson, @harinef and @petracollins https://t.co/El1buBhuCU 
Photographer: #GlenLunchford
Art director: #ChristopherSimmonds
Creative director: #AlessandroMichele https://t.co/xkTe1Mtvlk",976518722830716931
9,Tue Mar 20 19:00:35 +0000 2018,gucci,"“It was my way of surviving, to charm people or even confuse them by my dancing so I could survive,"" says @MichaelClarkCo in ‘The Performers’ a video series by #Gucci and @britishgq. Watch the film https://t.co/BqCboihC5J. #GucciStories #sponsored 
Photographer: #DavidAbrahams https://t.co/DL9vEbOw2D",976171664982659073
10,Tue Mar 20 16:00:39 +0000 2018,gucci,".@MichaelClarkCo reveals, ""Japan is the most alien place I have been in the world. It's hard to communicate; yet the beauty of dance is that it is a universal language, one that everyone understands."" Read more https://t.co/BqCboihC5J. #sponsored 
Photographer: #DavidAbrahams https://t.co/KcH4AO3FMd",976126380206383104
11,Tue Mar 20 13:00:24 +0000 2018,gucci,"In ‘The Performers’ Act VI #Gucci and @britishgq’s video series, @MichaelClarkCo performs in Tokyo’s love hotels and in a bath house wearing a chiffon gown designed by #AlessandroMichele. Discover more https://t.co/BqCboihC5J. #sponsored #GucciStories
Photographer: #DavidAbrahams https://t.co/dvsCTeeMoe",976081018347237378
12,Mon Mar 19 20:00:19 +0000 2018,gucci,"""I have always been fascinated by what is acceptable and what is not,"" says @MichaelClarkCo. ""I establish my own rules so I can break them."" Discover more about ‘The Performers’ via https://t.co/BqCboihC5J. #sponsored #AlessandroMichele #GucciStories
Photographer: #DavidAbrahams https://t.co/bLe69lw84m",975824309263454209
13,Mon Mar 19 19:55:40 +0000 2018,gucci,"In @BritishGQ and Gucci’s original video series 'The Performers' Act VI, post punk dancer @MichaelClarkCo performs in Tokyo's love hotels and in a bath house. See more https://t.co/BqCboihC5J. 
#sponsored #AlessandroMichele #GucciStories 
Director: @JohnnyHardstaff https://t.co/Z4Qrgii5WB",975823136594808837
14,Mon Mar 19 19:13:03 +0000 2018,gucci,".@BritishGQ and Gucci’s video series return with the sixth act of ‘The Performers’ starring @MichaelClarkCo in the latest #GucciSS18 and #GucciCruise18 collections by #AlessandroMichele. See more https://t.co/BqCboihC5J …. #sponsored #GucciStories 
Photographer: #DavidAbrahams https://t.co/XWbJ8YWa2F",975812411893706752
15,Mon Mar 19 16:30:13 +0000 2018,gucci,"“My earliest awareness of Japan would have been through David Bowie because of the references in his wardrobe,” recalls @MichaelClarkCo, who toured the nation in the 1980s. See more https://t.co/BqCboihC5J. #GucciStories #sponsored #AlessandroMichele
Photographer: #DavidAbrahams https://t.co/OwsTvy6z1m",975771434806112256
16,Mon Mar 19 15:30:12 +0000 2018,gucci,"""I began dancing at the age of four, crashing my sister's Scottish dancing lessons; a surprise even to me as I was always so self-conscious of my body,"" @MichaelClarkCo . More https://t.co/BqCboihC5J #GucciStories #sponsored @BritishGQ 
Photographer: #DavidAbrahams https://t.co/RwyqVGOLei",975756331637407744
17,Mon Mar 19 14:25:09 +0000 2018,gucci,"Presenting the sixth act of ‘The Performers’ a film series created in collaboration with @BritishGQ . Discover the Act VI featuring @MichaelClarkCo in Tokyo https://t.co/BqCboihC5J. #GucciStories #sponsored #AlessandroMichele 
Photographer: #DavidAbrahams https://t.co/biTszZLely",975739958161010694
18,Sun Mar 18 14:00:43 +0000 2018,gucci,"Combined with a stars and frame motif, new leather wallets from #GucciSS18 feature a #Guccy print featuring @sega’s font. Discover more https://t.co/Ua5pkAx4Cr. 
GUCCI / SEGA https://t.co/o1GCvQaJQQ",975371421902884864
19,Sat Mar 17 17:00:55 +0000 2018,gucci,"An homage to eighties video gaming culture, the #Guccy print in @sega’s famed font—a fixture in the colorful arcades and coin-op game rooms of the time—appears on a lineup of #GucciSS18 pieces available https://t.co/Ua5pkAOFtZ. #AlessandroMichele 
GUCCI / SEGA https://t.co/VH0nA0TZCj",975054383938387970
20,Sat Mar 17 13:01:02 +0000 2018,gucci,"Seen in an artwork by #IgnasiMonreal, a zip around leather wallet features a #Guccy print in @sega’s graphic font. Discover more https://t.co/H3EcXHf5bV. #GucciSS18 #AlessandroMichele 
GUCCI / SEGA https://t.co/KTmggwSaeo",974994014889041920
21,Fri Mar 16 19:01:07 +0000 2018,gucci,"Designed as a whimsical bow detail, the House Web embellishes the toe of ballet flats and leather heels. The blue rosebud printed lining and sole are distinctive to the #GucciSS18 collection designed by #AlessandroMichele. Illustration by #IgnasiMonreal https://t.co/m4CaVVIUOv",974722247284969474
22,Fri Mar 16 16:01:04 +0000 2018,gucci,"Wearing a striped tweet jacket and a wool silk jumpsuit and crystal Double G belts from #GucciSS18, artist #IgnasiMonreal images two girls in a countryside landscape. #AlessandroMichele https://t.co/qbWuds2KDO",974676934260088832
23,Fri Mar 16 13:00:47 +0000 2018,gucci,"Inspired by an archival fabric, the logo is woven into GG velvet using lurex yarns, enhanced by a sparkling crystal trim, the new #GucciSS18 slippers. Illustration by #IgnasiMonreal. #AlessandroMichele https://t.co/kbc2KStqu7",974631566029836290
24,Thu Mar 15 19:00:48 +0000 2018,gucci,"From #GucciSS18 by #AlessandroMichele, crystal mid-heel T-strap pumps and a #GucciOphidia shoulder bag. Artwork by #IgnasiMonreal. https://t.co/o1RRzsTbYR",974359778704216064
25,Thu Mar 15 16:55:25 +0000 2018,gucci,"Created by #IgnasiMonreal for the #GucciHallucination campaign, a woman wearing #GucciSS18 paints another woman wearing ready-to-wear and a #GucciOphidia belt bag from the same collection. 
Creative Director: #AlessandroMichele
Art Director: Christopher Simmonds https://t.co/1qcHR20XPL",974328225055862784
26,Thu Mar 15 13:30:14 +0000 2018,gucci,"Part of the #GucciOphidia collection, new shoulder bags feature an oval enamel detail with metal Double G and House Web stripe. #AlessandroMichele #IgnasiMonreal #GucciSS18 https://t.co/fKPh5lio0Y",974276586617950209
27,Wed Mar 14 18:01:03 +0000 2018,gucci,"In @BazaarUK’s April issue, a #GucciSS18 bomber jacket inspired by a stage outfit created by #AnnieReavey for Sir @eltonofficial  worn over a pleated skirt and moccasins. #AlessandroMichele #GucciEltonJohn #GucciEditorials
Styling by: #LeithClark
Photography by: #ErikMadiganHeck https://t.co/p08BsA1FyL",973982352887156737
28,Wed Mar 14 15:23:09 +0000 2018,gucci,"For @VogueUkraine's latest issue, photographer Fanny Latour-Lambert captures a stretch viscose jacket and A-line skirt with contrast sequin details from #GucciSS18 by #AlessandroMichele worn with a pair of slides with crystals. #GucciEditorials 
Styling by: Gaelle Bon https://t.co/S4FkOnV1D0",973942615077945344
29,Wed Mar 14 13:00:49 +0000 2018,gucci,"Part of #GucciSS18 by #AlessandroMichele, an all-over sequin embroidered tulle gown with bonnet features in @10magazine_ ’s latest issue. #GucciEditorials
Styling by: #SophiaNeophitou
Photography by: #MattiasBjorklund https://t.co/LsyG2RnMrj",973906796602707969
30,Wed Mar 14 11:06:41 +0000 2018,gucci,"Spotted in Whatever Magazine Japan’s latest issue, a formal jacket and matching pants featuring a print inspired by the #GucciSS18 fashion show invite and new GG leather brogue shoes. #AlessandroMichele #GucciEditorials
Photographer: Tetsuya Maehara
Stylist: Masahiro Hiramatsu https://t.co/BAX58qCQBy",973878075510358017
31,Tue Mar 13 15:27:00 +0000 2018,gucci,"Performing onstage last night in Basel, Switzerland, @Harry_Styles wore a sequin tuxedo featuring crystal trim detail and grosgrain lapel with a silk self-tie blouse to kick off his 2018 world tour ‘Harry Styles: Live on Tour’. https://t.co/8mWSscYgki",973581199393284096
32,Tue Mar 13 11:18:23 +0000 2018,gucci,"Multicolor bouquet velvet coat and formal pants from #GucciSS18 by #AlessandroMichele feature in the March issue of #LOfficielHommes. #GucciEditorials 
Photography by: @etiennestdenis 
Styling by: Jérome André https://t.co/Oi15ufDkeR",973518631236702209
33,Mon Mar 12 17:01:03 +0000 2018,gucci,"A mainstay of the House’s collections, new slippers feature a faux fur trim, as seen in an artwork by #IgnasiMonreal. #GucciSS18 #AlessandroMichele https://t.co/tu7DlbeQDp",973242476969496577
34,Mon Mar 12 13:01:02 +0000 2018,gucci,"Double G crystal jewelry and pieces from #GucciSS18, including a sweater—inspired by a comedy jumper by the 11th Duke of Devonshire that referred his wife, the youngest Mitford sister—featuring @ChatsworthHouse’s family crest intarsia on on the back. Artwork by #IgnasiMonreal. https://t.co/t1ZwbTA69D",973182078094315520
35,Sun Mar 11 14:00:44 +0000 2018,gucci,"Illustrated by artist #IgnasiMonreal, new men’s slippers featuring the G Square archival design and a faux fur trim, from #GucciSS18 by #AlessandroMichele. https://t.co/XuhZwoNkL2",972834713076412416
