,created,handle,text,tweet_id
0,Wed Mar 21 18:08:09 +0000 2018,Jimmy Choo,"Step inside last night’s Power Stylist Dinner hosted by @THR and Jimmy Choo. An intimate dinner was held at Stanley House with special guests including #GwynethPaltrow, #ChadwickBoseman, #DakotaFanning and #ElleFanning. #THRStylists https://t.co/XXS3coKUad",976520857421049859
1,Tue Mar 20 12:20:50 +0000 2018,Jimmy Choo,"It wouldn’t be summer without a chic new pair of wedges &amp; the studded DANICA is the only style you need to know. Whether it’s the 80mm option or the ultra-glamorous 100mm, you can expect plenty of leg-lengthening all season long.
https://t.co/zMloEfoMJ7 https://t.co/ywaeh50e02",976071063963611136
2,Mon Mar 19 12:36:31 +0000 2018,Jimmy Choo,"A sexy and feminine shoulder flap bag, the LOCKETT PETITE is ideal to take you from day to evening. Thanks to its luxurious chain strap it may be worn cross body, doubled up, or full length on the shoulder. As worn by Lena Seifert. https://t.co/GIjJCMlkMv https://t.co/6G70BEbQ9L",975712621767864321
3,Fri Mar 16 12:00:00 +0000 2018,Jimmy Choo,"The LING mules add an unexpected twist to classic holiday dressing. The mix of PVC upper and rope detail heel, teamed with cracked crystal embellishment, add a touch of modern elegance to your wardrobe. 
https://t.co/8OYwalFuUy https://t.co/DheXgXQmSv",974616268962713600
4,Thu Mar 15 12:00:02 +0000 2018,Jimmy Choo,"@styleheroine’s Evangelie advises how to incorporate the @OffWht c/o Jimmy Choo statement pieces, like the CLAIRE pumps, seamlessly into your wardrobe. Click the link to read more: https://t.co/uGkxjfNSoV
 #OffWhiteJimmyChoo https://t.co/SGGxa94QyH",974253887853969408
5,Wed Mar 14 12:00:00 +0000 2018,Jimmy Choo,"The LOCKETT MINAUDIERE in natural mix stone effect with tassel lock is a stunning, one of a kind evening clutch. Like its own piece of art, the detachable shoulder chain makes it as versatile as it is striking.
https://t.co/h2kfhMHz17 https://t.co/sU7yPP6Uhz",973891493210574849
6,Tue Mar 13 11:55:07 +0000 2018,Jimmy Choo,"Commemorate your next special occasion with our bespoke made-to-order service. Engrave a special date or a loved ones initials on the soles of your shoes and create a memento you’ll never want to part with.
https://t.co/QXgyEi9vxR https://t.co/GFhglNNvQ8",973527874870366209
7,Mon Mar 12 17:22:08 +0000 2018,Jimmy Choo,"Wearing your knee high boots with a longer length
skirt adds perfect proportions to your look, just ask @FASHIONGUITAR. Seen
here wearing ELISABETH from the @OffWht c/o Jimmy Choo collection.
#OffWhiteJimmyChoo
https://t.co/ukRPi0zvKO https://t.co/q8ES7r3geV",973247786337619971
8,Mon Mar 12 10:31:17 +0000 2018,Jimmy Choo,"@heidiwoodhouse We are sorry to hear this. Please direct message us your contact details so we can assist.

Kind regards,
Team Jimmy Choo",973144388703531008
9,Fri Mar 09 15:24:24 +0000 2018,Jimmy Choo,"Introducing the newly launched Men’s eyewear range from Jimmy Choo. Featuring CARL, the black frame aviators edged in fine gold, ready to fast-forward your look into the new season. Explore the new range now at: https://t.co/ECYQAiirvc https://t.co/dmWXR86urt",972130992277393408
10,Thu Mar 08 12:00:00 +0000 2018,Jimmy Choo,"Empowering words from #Beyoncé for 
#InternationalWomensDay #IWD2018 https://t.co/nZE8Lo2G32",971717165727367169
11,Wed Mar 07 14:18:34 +0000 2018,Jimmy Choo,"@AIMEESONG takes a rest in her VICTORIA pumps from the @OffWht c/o Jimmy Choo collection. These satin pumps with #Swarovski crystal detailing add the final flourish to any outfit #OffWhiteJimmychoo 
https://t.co/EqbrxbDBPe https://t.co/kMzIq8GxJP",971389648747581440
12,Wed Mar 07 11:10:15 +0000 2018,Jimmy Choo,"@storks82 We are sorry to hear this. Please direct message us your contact details so we can assist you. 

Many thanks,

Team Jimmy Choo",971342258250436608
13,Tue Mar 06 14:01:29 +0000 2018,Jimmy Choo,"LANE, the double ankle strap open toed sandal, or MICKY, the closed toe pointed pump, which would you choose? Explore the full #SS18 collection now at: https://t.co/Bd1izNZ4ei https://t.co/rrGNBxhNvW",971022962584440832
14,Mon Mar 05 17:31:31 +0000 2018,Jimmy Choo,"Last night saw one of the biggest events in the awards season calendar: The 90th Academy Awards. Continuing our status as the #redcarpet favourite, from #MargotRobbie to #SiennaMiller, discover which celebrities stepped out wearing Jimmy Choo. #Oscars https://t.co/jsvl1mBoZa",970713430398291970
15,Mon Mar 05 14:19:13 +0000 2018,Jimmy Choo,"@karishmakotak We are sorry to hear this. Please email your contact details to customerservices@jimmychoo.com so we can assist you.

Thank you,

Team Jimmy Choo",970665038741729281
16,Fri Mar 02 17:10:17 +0000 2018,Jimmy Choo,"Evangelie Smyrniotaki from Style Heroine explains why she can’t get enough of the @OffWht c/o Jimmy Choo collection, and her style advice on taking it from catwalk to real-life. Read the full interview at: https://t.co/OJSYcrqAUk
#OffWhiteJimmyChoo https://t.co/XAmgJIwsIP",969620923652468736
17,Thu Mar 01 12:17:15 +0000 2018,Jimmy Choo,"Upgrade your classic black pumps with THELMA, featuring antique gold crystal bead embroidery. This added detail makes for a welcome change to a staple shoe. #SS18
https://t.co/Z8KN93BOCt https://t.co/cRtEy9Q7ix",969184791504605185
18,Wed Feb 28 17:15:56 +0000 2018,Jimmy Choo,"Meet MICKY, the pointed pumps with ankle straps that are the perfect balance of glamour and casual. Seen here in nude cork, their versatility make them a must-have for this season. #SS18
https://t.co/QgHO5y6V5p https://t.co/TvqCeztBqs",968897568519409664
19,Tue Feb 27 14:19:56 +0000 2018,Jimmy Choo,"As seen in @VOGUERussia, the ELISABETH boot from the @OffWht c/o Jimmy Choo collection are as covetable as they are collectable. Knee high satin boots with ruched overlay, they’re sure to see you through from season to season. #OffWhiteJimmyChoo 
https://t.co/ioh4loTYRa https://t.co/0r037c5tR8",968490890883928065
20,Mon Feb 26 12:37:18 +0000 2018,Jimmy Choo,"The multi strap NAIA flat sandals are the definition of Summer elegance. They’re the ideal choice for a party, but also work beautifully with a floaty Summer dress or shorts. Add a final flourish with the bejewelled CLOUD box clutch.  https://t.co/4J8vB6r6Fk https://t.co/7IxyJx86pn",968102673231818753
21,Fri Feb 23 12:01:05 +0000 2018,Jimmy Choo,"Contrasting the man-made with the natural, the LING mules feature a rope-woven block heel and PVC studded with cracked crystals to create one of the most striking styles of the #SS18 collection. #IWANTCHOO
https://t.co/8sc83HKQ3b https://t.co/R88OHbyn04",967006394514800641
22,Thu Feb 22 12:37:42 +0000 2018,Jimmy Choo,"Available now: @OffWht c/o Jimmy Choo. Featuring ELISABETH, these nude satin knee high boots with ruched tulle are the ultimate collection piece. Explore the full collection now: https://t.co/0Dxd73ZK6V
#OffWhiteJimmyChoo https://t.co/nc1KGY5noh",966653220805402626
23,Tue Feb 20 15:42:55 +0000 2018,Jimmy Choo,"Introducing SARA, the white padded leather mid high boots from the @OffWht c/o Jimmy Choo collection. Launching in store and online tomorrow, discover the collection at: https://t.co/czD6I3ONWI
#OffWhiteJimmyChoo https://t.co/O5zmfMR5NH",965975057947295744
24,Fri Feb 16 12:15:10 +0000 2018,Jimmy Choo,"Calling all femme fetales: the LIZ pumps in python will ensure you get attention for all the right reasons. Both powerful and sensual, their neutral shade also makes them surprisingly versatile. #SS18
https://t.co/11qW7LGozG https://t.co/LSvNEHxh4d",964473226704367616
25,Thu Feb 15 12:30:09 +0000 2018,Jimmy Choo,"Choosing the prefect #bridal shoes will make your wedding day even more special. Handcrafted in luxe ivory satin, the LANCER pumps are designed to make you look and feel glamorous on your special day. 
https://t.co/yPi7BO7Mqj https://t.co/x4xQ32n3dj",964114607949385728
26,Wed Feb 14 12:53:55 +0000 2018,Jimmy Choo,"Spotted at #NYFW: Charlotte from @FASHIONGUITAR carries her front row essentials in the #SS18 LOCKETT PETITE. 
https://t.co/h97wpMWqkF https://t.co/FeanPWaHdx",963758202906206208
27,Tue Feb 13 12:06:27 +0000 2018,Jimmy Choo,"Love luxe lace-up sneakers, but looking for something a little more special for your new season wardrobe? Step into the micro star-studded ACE—simple, but also that bit extra. #IWANTCHOO
https://t.co/t3z7RpGaLX https://t.co/th96nbe2sG",963383868899422209
28,Mon Feb 12 17:57:14 +0000 2018,Jimmy Choo,"In celebration of the #OffWhiteJimmyChoo collaboration, Sandra Choi and Virgil Abloh hosted an intimate dinner at @Taglialatella, New York.  Guests included #KendallJenner #BellaHadid &amp; #NaomiCampbell. The @OffWht c/o #JimmyChoo collection will be available from February, 21st. https://t.co/6gI6FGbM8H",963109757451145216
