,created,handle,text,tweet_id
0,Wed Mar 28 17:44:08 +0000 2018,Marc Jacobs,Happy Birthday to our longtime friend and muse Lady Gaga 🎂 We love you! https://t.co/fDEbIeBMP1,979051527041056768
1,Mon Mar 26 17:13:32 +0000 2018,Marc Jacobs,RT @AlealiMay: 🎰Vegas with @MarcJacobs https://t.co/0U8MZ4ejj9,978319051133943808
2,Mon Mar 26 17:13:28 +0000 2018,Marc Jacobs,RT @AlealiMay: 🦋Dress Up by Sleepy Brown https://t.co/fbr0tc3x1p,978319032767139843
3,Sun Mar 25 22:00:02 +0000 2018,Marc Jacobs,💕🕶💕 #MJSS18 Sunglasses just hit: https://t.co/dAlcEi7Qjc https://t.co/HQ9gsWwoJ0,978028760413896704
4,Sun Mar 25 19:00:00 +0000 2018,Marc Jacobs,https://t.co/MnA0OZAmxK,977983454829834240
5,Sun Mar 25 17:00:00 +0000 2018,Marc Jacobs,🌼 Starting to look a lot like spring 🌼 #MJSS18 Sunglasses are here 👉 https://t.co/dAlcEhQeUC https://t.co/8EEumojcOT,977953257019461632
6,Sun Mar 25 15:00:04 +0000 2018,Marc Jacobs,"🌟 Anna Cleveland wearing Marc Jacobs Spring '18 🌟 Photographed by Max Vadukul, styled by Nicoletta Santoro for @TandCmag https://t.co/yHUbJBxMNo",977923072429871107
7,Sat Mar 24 22:00:02 +0000 2018,Marc Jacobs,💖🌤 Spring Essentials 🌤💖 https://t.co/dAlcEi7Qjc https://t.co/Yw9LwkLauR,977666374913978369
8,Sat Mar 24 19:00:02 +0000 2018,Marc Jacobs,✨😎✨ Shop #MJSS18 Sunglasses now: https://t.co/dAlcEhQeUC https://t.co/2sDvxWZl3K,977621074702581760
9,Sat Mar 24 17:00:01 +0000 2018,Marc Jacobs,💚🧡💗 Marc Jacobs Spring '18 illustrated by Karolina Pawelczyk 💗🧡💚 #MJSS18 https://t.co/jWSHEhEzry,977590873792774144
10,Sat Mar 24 15:00:01 +0000 2018,Marc Jacobs,Snoozing 💤 https://t.co/one1yk69wO,977560672836997120
11,Sat Mar 24 03:17:20 +0000 2018,Marc Jacobs,♠️♥️♣️ #MJSomewhere ♦️♠️♥️ https://t.co/hWLjdmGXSV,977383839256293377
12,Sat Mar 24 03:07:31 +0000 2018,Marc Jacobs,Evangelie Smyrniotaki and Gala Gonzalez at our #MJSomewhere Celebration in Las Vegas 💎✨ https://t.co/clb6RKYDea,977381367687233536
13,Sat Mar 24 03:01:45 +0000 2018,Marc Jacobs,Maria de la Orden in our Retro Vintage Navigator Sunglasses and Somewhere Sport Sandals 🌴 #MJSomewhere https://t.co/0kHESoeQzP,977379914503434240
14,Sat Mar 24 01:04:08 +0000 2018,Marc Jacobs,Miranda Makaroff and Pilar Zeta in our Retro Vintage Navigator Sunglasses 👀 #MJSomewhere https://t.co/VsyvPhCIdj,977350317091127296
15,Sat Mar 24 01:02:18 +0000 2018,Marc Jacobs,"Jasmine Sanders, Caroline Vreeland and Caroline Daur wearing our Retro Vintage Navigator Sunglasses at our #MJSomewhere Celebration in Las Vegas 🍰🍭🍫 https://t.co/rhuSxTWEBY",977349855336062977
16,Sat Mar 24 00:11:06 +0000 2018,Marc Jacobs,WEEKEND MOOD ⭐️ #MJSomewhere https://t.co/X4PZBmP3Hd,977336971482705920
17,Fri Mar 23 19:00:03 +0000 2018,Marc Jacobs,🌷 Your new spring essentials are here 🌷 Shop #MJSS18 Sunglasses now: https://t.co/dAlcEi7Qjc https://t.co/ddqrf7tNwf,977258693174669316
18,Fri Mar 23 17:33:26 +0000 2018,Marc Jacobs,Last night we celebrated our #MJSS18 Sunglass Collection in Las Vegas 🎲🎰⭐️ Follow our Instagram Stories for exclusive behind-the-scenes. #MJSomewhere https://t.co/rdT6CW3lL4,977236896022642688
19,Fri Mar 23 17:32:31 +0000 2018,Marc Jacobs,🕶 #MJSomewhere 🕶 https://t.co/cLRykZuTCI,977236662869573632
20,Fri Mar 23 17:29:21 +0000 2018,Marc Jacobs,Aureta in our Color Pop Cateye Sunglasses last night at our #MJSomewhere celebration in Las Vegas 😎 Follow our Instagram Stories for exclusive behind-the-scenes #MJSS18 https://t.co/AwzkuloZpF,977235864899149824
21,Fri Mar 23 17:26:54 +0000 2018,Marc Jacobs,Caroline Daur in our Retro Vintage Navigator Sunglasses in Pink 🌸#MJSomewhere https://t.co/fXjejy8FBP,977235248537726976
22,Fri Mar 23 17:24:04 +0000 2018,Marc Jacobs,💚💛💖 #MJSomewhere 💖💛💚 https://t.co/u4U5X3YA7y,977234538576228352
23,Fri Mar 23 17:19:01 +0000 2018,Marc Jacobs,Jasmine Sanders in our Retro Vintage Navigator Sunglasses in yellow 🌻 #MJSomewhere https://t.co/QBIcyaymaN,977233266682994688
24,Fri Mar 23 17:16:45 +0000 2018,Marc Jacobs,Evangelie Smyrniotaki in our Retro Vintage Navigator Sunglasses in Pink 🌞#MJSomewhere https://t.co/8MCOAQCYSj,977232695116771328
25,Fri Mar 23 17:15:46 +0000 2018,Marc Jacobs,Gala Gonzalez in our Retro Vintage Navigator Sunglasses in Yellow 🌞#MJSomewhere https://t.co/jmCAxGCeY7,977232448844021760
26,Fri Mar 23 17:13:50 +0000 2018,Marc Jacobs,Shea Marie in our Retro Vintage Navigator Sunglasses in Pink 💞 #MJSomewhere https://t.co/78LJ9TYfb4,977231962753531904
27,Fri Mar 23 17:00:02 +0000 2018,Marc Jacobs,🌻❣️🌻 #MJSS18 Sunglasses just hit 👉 https://t.co/dAlcEhQeUC https://t.co/MtSQdXIktB,977228490176016386
28,Fri Mar 23 16:58:08 +0000 2018,Marc Jacobs,#NationalPuppyDay https://t.co/2SoT6wsfyc,977228009743634432
29,Fri Mar 23 16:04:15 +0000 2018,Marc Jacobs,Last night we celebrated our #MJSS18 Sunglass Collection in Las Vegas 🎲🎰⭐️ Follow our Instagram Stories for exclusive behind-the-scenes. #MJSomewhere https://t.co/Bh4eDvbTUb,977214450963894273
