,created,handle,text,tweet_id
0,Thu Jul 13 14:43:54 +0000 2017,Alexandre Vauthier,let's start https://t.co/VNnnx1pQox,885510100714221568
1,Thu Sep 15 15:13:24 +0000 2016,Alexandre Vauthier,#NY #NYFW #Streetstyle @bellahadid in @alexandrevauthier #love https://t.co/m5YMwjqGhr,776438775677329409
2,Wed Sep 14 17:38:16 +0000 2016,Alexandre Vauthier,Halle Berry in @alexandrevauthier in @wmag by Mario Sohrenti styled by Edward Enninful #october #issue https://t.co/cgHcnvIFIg,776112844542730240
3,Tue Sep 13 05:50:25 +0000 2016,Alexandre Vauthier,"Our Instagram account was hacked.Please,do not consider the last post.Try again later.Thanks.",775572322937925632
4,Mon Aug 29 11:06:06 +0000 2016,Alexandre Vauthier,Rihanna #perf in Alexandre Vauthier #VMA https://t.co/qAHsuzOjLZ,770215948833923072
5,Mon Aug 29 10:26:53 +0000 2016,Alexandre Vauthier,Rihanna takes the #award in @alexandrevauthier #couture #gown with Drake #VMA #inlove #aboutlastnight... https://t.co/0vB7o0z9aU,770206080488071168
6,Fri Aug 26 17:06:30 +0000 2016,Alexandre Vauthier,#specialmode ELLE Lineisy Montero Feliz in Alexandre Vauthier #army #jacket styled by Melanie Utzmann Huynh shoot... https://t.co/fGaXBYLo6t,769219479779893248
7,Wed Aug 24 17:10:11 +0000 2016,Alexandre Vauthier,#LUCKYBLUESMITH https://t.co/QV87NjyRV4,768495631967158273
8,Wed Aug 24 17:08:30 +0000 2016,Alexandre Vauthier,V Magazine #issue #103 with Lucky Blue Smith in Alexandre Vauthier #pilot #jumpsuit styled by @paulcavaco https://t.co/haHW8uRXlu,768495210338750464
9,Thu Jul 07 14:46:09 +0000 2016,Alexandre Vauthier,Vogue Runway https://t.co/RMJOu1t1Ec,751064766928543744
10,Thu Jul 07 14:35:11 +0000 2016,Alexandre Vauthier,Vogue Italia https://t.co/aXl0XXP3fN,751062007760162817
11,Thu Jul 07 14:09:19 +0000 2016,Alexandre Vauthier,#Couture DONE https://t.co/4ejIdkmx21,751055498401681408
12,Thu May 19 13:48:08 +0000 2016,Alexandre Vauthier,#stunning Rosie Huntington-Whiteley in Alexandre Vauthier #pleated #dress by #lemarie #metiersdart... https://t.co/TT6Wy6bdyn,733293162140213249
13,Thu May 19 13:45:49 +0000 2016,Alexandre Vauthier,#FIRE Bella Hadid in @alexandre vauthier #red #silk #dress #aboutlastnight #cannes https://t.co/tCj6d1QUUb,733292579039674368
14,Thu May 19 13:44:13 +0000 2016,Alexandre Vauthier,Sandrine Kiberlain in Alexandre Vauthier #aboutlastnight #Cannes https://t.co/QeMmXA8R33,733292175337893888
