,created,handle,text,tweet_id
0,Wed Mar 28 12:42:12 +0000 2018,Bulgari,"RT @LVMH: [#Baselworld2018] 60 seconds with Jean-Christophe Babin, CEO of @BulgariOfficial.
#Baselworld #Bulgari #BVLGARI https://t.co/JwQ4…",978975542690172928
1,Tue Sep 12 15:14:54 +0000 2017,Bulgari,"Prestige, luxury, elegance and design: these are the keywords governing the partnership cultivated by Bulgari and @Maserati_HQ https://t.co/cbxRSZHMuC",907623559761100800
2,Thu Apr 06 09:39:38 +0000 2017,Bulgari,"RT @LVMH: Jean-Christophe Babin, CEO of @Bulgariofficial, presents new creations by the Maison unveiled at #Baselworld2017 https://t.co/mCL…",849919519019732992
3,Mon Feb 20 07:26:10 +0000 2017,Bulgari,"Introducing Bulgari Brand Ambassador for China, Shu Qi. Elegant and irresistibly glam, her charms are #LargerThanLife—just like #Bulgari. https://t.co/dEyfErV8vp",833578475948752896
4,Tue Feb 14 17:32:24 +0000 2017,Bulgari,Happy #Valentine's Day! May it be filled with love and more. #LargerThanLove https://t.co/IpXKrJ5JAF,831556712540815360
5,Wed Feb 08 14:24:32 +0000 2017,Bulgari,Bulgari announces @bellahadid as the new Accessories Ambassador. #welcomeBella #BellainBulgari #bulgarifamily https://t.co/4fUsGlQBLA,829335106749943809
6,Thu Dec 22 11:18:30 +0000 2016,Bulgari,"The gleaming spirals of #Bzero1 alludes to the #LargerThanLife character of the city that inspired it, Rome. #WishesFullOfColour https://t.co/D4UQxtubHh",811893673193402369
7,Mon Dec 19 13:35:08 +0000 2016,Bulgari,Bulgari reveals a brilliant new facet of #Serpenti. #WishesFullOfColour #BulgariFireworks #HolidayFireworks https://t.co/ExxIpiYupN,810840895641632768
8,Mon Dec 12 16:34:11 +0000 2016,Bulgari,"Radiant with the lush colours of the Holidays, delicate Divas dance atop a fantasy stage. #WishesFullOfColour #HolidayFireworks https://t.co/FY4H7RzHM5",808349236798439425
9,Sat Dec 10 14:41:39 +0000 2016,Bulgari,"RT @ShaniaTwain: Such an honour to receive the Icon Award! Thank you @billboard for a special evening, along with @brandonmaxwell who creat…",807596141001011200
10,Wed Dec 07 13:57:29 +0000 2016,Bulgari,"Spectacular and popping with colour, Bulgari celebrates the Holiday Season with #WishesFullOfColour and #BulgariFireworks Discover more on https://t.co/977QM9jBzV",806497864344014848
11,Fri Dec 02 21:18:15 +0000 2016,Bulgari,Follow us on Snapchat and Instagram Stories tonight LIVE from MIAMI https://t.co/evvExP9T9B,804796849009946625
12,Fri Dec 02 17:04:57 +0000 2016,Bulgari,New Bzero1 a revolutionary new interpretation of Bulgari's most iconic ring by the archistar Zaha Hadid. https://t.co/YPSgCPrxQk,804733100668424192
13,Fri Dec 02 16:36:10 +0000 2016,Bulgari,Follow Bulgari in Miami for the worldwide launch of an extraordinary new design. #Bzero1DesignLegend https://t.co/5jb5xpa9aC,804725858640470016
14,Fri Dec 02 14:12:03 +0000 2016,Bulgari,Join Bulgari in Miami to celebrate an absolutely legendary new launch. #BvlgariGoesToMiami #TurnthelightsonBvlgari https://t.co/4ekT5hnv6o,804689592452608000
15,Fri Nov 25 15:41:58 +0000 2016,Bulgari,#LeGemme is the first men’s high perfumery collection. #Gyan is available in worldwide exclusivity at #harrods #bulgarifragrance https://t.co/WfJ7toHQFr,802175504619110400
16,Tue Oct 25 08:36:39 +0000 2016,Bulgari,#OCTO Finissimo Minute Repeater was honored at the Salón Internacional de Alta Relojería with the Tiempo de Relojes Critics’ Choice Award! https://t.co/RRkn1AoyE5,790834445863514112
17,Sat Sep 24 07:38:39 +0000 2016,Bulgari,Amanda Wellsh at the @BulgariOfficial Spring-Summer 2017 accessories cocktail and dinner party. #BulgariSS17 https://t.co/DmX2oexXfc,779585823993987072
18,Sat Sep 24 07:35:48 +0000 2016,Bulgari,Royal sisters Vanessa and Lilly Wittgenstein at the @BulgariOfficial SS17 accessories dinner. #BulgariSS17 https://t.co/czXyEhrQwR,779585106411479040
19,Sat Sep 24 07:31:45 +0000 2016,Bulgari,@LottieMoss and #AimeeYunYunSun at our Spring-Summer 2017 accessories presentation dinner. #BulgariSS17 https://t.co/UPdrkBr4Wu,779584087623368704
20,Sat Sep 24 07:24:13 +0000 2016,Bulgari,@Golden_Barbie attends the @BulgariOfficial Spring-Summer 2017 accessories launch in Milan. #BulgariSS17 https://t.co/26na7TlVYA,779582192489996288
21,Sat Sep 24 07:18:29 +0000 2016,Bulgari,Guests enjoy our dinner to celebrate the Spring-Summer 17 accessories presentation. #BulgariSS17 https://t.co/oU6HFRD9Di,779580752530898944
22,Sat Sep 24 06:57:35 +0000 2016,Bulgari,#AimeeYunYunSun and @LottieMoss at our Spring-Summer 17 accessories cocktail and dinner event. #BulgariSS17 https://t.co/1f9lvmRW7b,779575491523149824
23,Sat Sep 24 00:10:59 +0000 2016,Bulgari,@XeniaTchoumi at our Spring-Summer 17 accessories evening event at the @BulgariHotels Milan. #BulgariSS17 https://t.co/syBiTzJNfx,779473165944758273
24,Sat Sep 24 00:00:32 +0000 2016,Bulgari,"Giulio Berruti, Stèphane Gerschel, Carla Liuni and @THWhiteley celebrate the SS17 accessories launch. #BulgariSS17 https://t.co/JDzVdRY8g3",779470536401387520
25,Fri Sep 23 23:48:59 +0000 2016,Bulgari,@CaroVreeland attends our event to celebrate the Spring-Summer 2017 accessories launch in Milan. #BulgariSS17 https://t.co/Pdj8xmkWB3,779467630944120832
26,Fri Sep 23 16:20:44 +0000 2016,Bulgari,"Follow our new accessories brand ambassador, @LottieMoss live on 👻@voguemagazine snapchat now! #BulgariSS17",779354825964265472
27,Sat Sep 17 15:00:20 +0000 2016,Bulgari,The #Serpenti bag pays homage to sensorial pleasure. #BulgariAccessories #luxuryaccessories #luxurybag https://t.co/f048Se9XTb,777160262843371520
