,created,handle,text,tweet_id
0,Sun May 15 18:33:17 +0000 2016,COMME des GARÇONS,RT @DaveedDiggs: oh man ... Shoutout to @COMMEGARCONS for keeping me fly at every turn this week. You get my style https://t.co/BaFNlphKST,731915370861367296
1,Mon May 09 19:01:55 +0000 2016,COMME des GARÇONS,"RT @53W53: .@COMMEGARCONS teamed up with #GraceCoddington to create #GraceByGraceCoddington, a new fragrance found in @DSMNY https://t.co/d…",729748250698391553
2,Mon May 09 19:01:41 +0000 2016,COMME des GARÇONS,RT @BoF: Weekend Read | No company has a collection of creative offspring quite like @COMMEGARCONS https://t.co/3VNiFUNzo7 https://t.co/xoM…,729748190677901316
3,Sat Jan 17 04:03:03 +0000 2015,COMME des GARÇONS,RT @Hervia: Shop the full re-stock of all your favourite @COMMEGARCONS Play pieces now. http://t.co/BQNWNIPDMM #luxury #style http://t.co/Y…,556300643171069952
4,Sat Jan 17 04:02:57 +0000 2015,COMME des GARÇONS,"RT @VasavaStudio: Website for the launching of @COMMEGARCONS Wonderwood &amp; Wonderoud #parfums.Get a free sample!

http://t.co/fQKRw8Ztet htt…",556300618886029313
5,Sat Jan 17 04:02:48 +0000 2015,COMME des GARÇONS,"RT @endclothing: Take a look inside our End Hunting Co. store in Newcastle, this week stocking @COMMEGARCONS http://t.co/3iqEDNU40h http://…",556300581640617985
6,Sat Jan 17 04:02:44 +0000 2015,COMME des GARÇONS,RT @stylrcom: The @wokstore in Milan has bright new additions from @COMMEGARCONS Shop them here http://t.co/VQTGJy1awV http://t.co/TEZF8Jtk…,556300564972437504
7,Sat Jan 17 04:02:23 +0000 2015,COMME des GARÇONS,RT @Tbest255: Style never goes out of fashion @COMMEGARCONS #commegarcons #paris #fashion http://t.co/PrNqf1XzeU,556300473524031488
8,Sat Jan 17 04:02:16 +0000 2015,COMME des GARÇONS,RT @outfitfromabove: @fnekuda 🔥 #outfitfromabove @visvim_plus @COMMEGARCONS @nudiejeans @SandroParis @ASOS http://t.co/TlQmqvofBT,556300445778735104
9,Sat Jan 17 04:02:12 +0000 2015,COMME des GARÇONS,RT @parny1985: @endclothing @COMMEGARCONS @Converse these are stunning!! #Sneakers http://t.co/0Qy6P22sBk,556300428414316544
10,Tue Sep 09 01:40:39 +0000 2014,COMME des GARÇONS,RT @Jessica_Moazami: @COMMEGARCONS with @lidewijedelkoort at @MAKWien @ViennaInfoB2B #welovevienna &lt;3 #snapshotsfromvienna http://t.co/O64Q…,509154384153165824
11,Tue Sep 09 01:40:36 +0000 2014,COMME des GARÇONS,"RT @clientmagazine: #ClientStyle @COMMEGARCONS SHIRT 
X Nicolas Buffe black cartoon motif jumper @okini http://t.co/2y3pNTOPk6 http://t.co/…",509154372539154432
12,Tue Sep 09 01:40:31 +0000 2014,COMME des GARÇONS,"RT @NETAPORTER: Sleek, sophisticated @COMMEGARCONS. #TheNETSet http://t.co/dGFuYFefMt http://t.co/nNjGibHihN",509154349927632897
13,Tue Sep 09 01:40:27 +0000 2014,COMME des GARÇONS,RT @LibertyLondon: NEW in-store and online! @Pharrell X @COMMEGARCONS unisex fragrance GIRL - click here to shop: http://t.co/FMr6cSozI1 ht…,509154335713144832
14,Tue Sep 09 01:40:24 +0000 2014,COMME des GARÇONS,RT @Vitsoe: Our shelves at @DSMNY to present impressive collction of rare @COMMEGARCONS-published books from @ideabooks. Must see http://t.…,509154322752745472
15,Tue Sep 09 01:40:05 +0000 2014,COMME des GARÇONS,@JasonLemire ;),509154240913485824
16,Sun Feb 23 18:13:13 +0000 2014,COMME des GARÇONS,RT @hm: Finally in Paris! Follow us at #HMStudioAW14 for the latest updates from #PFW. http://t.co/Ir206EvAyt,437651376253186048
17,Sun Feb 23 17:58:15 +0000 2014,COMME des GARÇONS,"RT @cyclonesmag: @COMMEGARCONS s'associe à @Disney pour une collection capsule intitulée ""Disney Camo"".
http://t.co/tv6lvuIOuO http://t.co/…",437647609126469633
18,Fri Feb 07 17:54:12 +0000 2014,COMME des GARÇONS,RT @HoltRenfrew: NEW AT HOLTS @COMMEGARCONS Pocket Shop (first in N.America) See more&gt; http://t.co/5RHnqhU78y #CDG @HoltsYorkdale http://t.…,431848381867388928
19,Fri Feb 07 17:46:06 +0000 2014,COMME des GARÇONS,RT @LeendertS: Proud! My interview with Adrien Joffe of @COMMEGARCONS in @GLAMCULT. Out now. http://t.co/DucaojMeB0,431846344895246336
20,Fri Feb 07 17:45:56 +0000 2014,COMME des GARÇONS,RT @designboom: NIKE TEAM DEFENDER JERSEY CDG features @COMMEGARCONS' signature polka dots @Nike http://t.co/OSe1MZd55b http://t.co/DQn5Mt5…,431846302469853184
21,Fri Feb 07 17:45:45 +0000 2014,COMME des GARÇONS,RT @drapingproject: @COMMEGARCONS amazing cape coat #conceptual #creativecutting #fashion http://t.co/Yz5QIAQcGF,431846256349294593
22,Fri Feb 07 17:45:01 +0000 2014,COMME des GARÇONS,RT @_stuffilove: In stripes and a midi skirt on the blog this morning http://t.co/gV4FCuCmGv  @COMMEGARCONS @ASOS @theBenah #blogged #ootd …,431846073871908864
23,Fri Jan 31 22:59:45 +0000 2014,COMME des GARÇONS,RT @wcie: @COMMEGARCONS W vous chante ses meilleurs vœux les plus stylés ! http://t.co/xiuNwahCRQ #CartedeWœux #Branding,429388563336400898
24,Fri Jan 31 22:59:33 +0000 2014,COMME des GARÇONS,RT @highsnobiety: COMME des GARCONS SHIRT teams up with Scandinavian designer Erik Schedin on a sneaker collection: http://t.co/MNvG1O7xjs …,429388510769205248
25,Fri Jan 31 22:59:00 +0000 2014,COMME des GARÇONS,"RT @thefader: .@Nike and @COMMEGARCONS collaborate on the freshest football jerseys ever, just in time for the Super Bowl. http://t.co/8lZ0…",429388373363798017
26,Fri Jan 31 22:58:53 +0000 2014,COMME des GARÇONS,"RT @superfuture: new york: comme des garçons store renewal @COMMEGARCONS

http://t.co/c0r1mnvKJL http://t.co/tjtLZE1knb",429388342791520256
27,Fri Jan 31 22:57:57 +0000 2014,COMME des GARÇONS,"RT @Adrianneho: Comme To Play @COMMEGARCONS @Nike @DSMNY on http://t.co/pjjtsouaXw   

http://t.co/0ez8WYdkkI http://t.co/fihifbzPbQ",429388108686458881
28,Fri Jan 31 22:57:47 +0000 2014,COMME des GARÇONS,RT @radekmantrowski: @VANS_66 x @Supreme_NYC x @COMMEGARCONS Shirt – Teaser http://t.co/cOxQBD0rUc via @theillestpl http://t.co/JknFp2Bqmj,429388065967448065
29,Fri Jan 24 18:54:46 +0000 2014,COMME des GARÇONS,"RT @cyclonesmag: La collection F/W 14' de la ligne SHIRT de @COMMEGARCONS présentée lors de la Fashion Week.
http://t.co/eGVYblDkWK http://…",426790195753918464
30,Fri Jan 24 18:54:30 +0000 2014,COMME des GARÇONS,RT @PerfumeriaLulua: Tonight's friday night fever to me smells like this: http://t.co/VRx6cQaDos definitely would wear! @COMMEGARCONS,426790127323840512
31,Fri Jan 24 18:50:34 +0000 2014,COMME des GARÇONS,RT @CHANEL: Sketch by Karl Lagerfeld from the Spring-Summer 2014 #HauteCouture #CHANEL collection http://t.co/iyIf3CjOHi,426789137681641472
32,Mon Jun 17 19:00:08 +0000 2013,COMME des GARÇONS,http://t.co/H6Q2m6u6h5 Photo #CDG #PLAY #FASHION http://t.co/YEJAwVS3dZ,346703824850911233
33,Mon Jun 17 17:52:12 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/lrDcK5lxGi,346686729400512512
34,Mon Jun 17 16:43:35 +0000 2013,COMME des GARÇONS,http://t.co/H6Q2m6u6h5 Photo #CDG #PLAY #FASHION http://t.co/3La0jKAVsk,346669463371935745
35,Mon Jun 17 15:28:46 +0000 2013,COMME des GARÇONS,http://t.co/H6Q2m6u6h5 Photo #CDG #PLAY #FASHION http://t.co/v9o9KEYrjq,346650634151403521
36,Mon Jun 17 14:28:43 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/I8ATq9FbNp,346635522854248448
37,Mon Jun 17 13:13:37 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/zLyW1lhJzu,346616623177793536
38,Mon Jun 17 12:13:41 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/anFFM3Jv5e,346601542318698497
39,Mon Jun 17 10:59:10 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/OxhyNeLvcI,346582786804682752
40,Mon Jun 17 09:43:58 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/NPvZPvFHdA,346563864248324096
41,Mon Jun 17 08:43:18 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/08Qn3Lrbed,346548597170524161
42,Mon Jun 17 07:28:37 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/junOcVElr5,346529802410409984
43,Mon Jun 17 06:28:54 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/SHHTPmHnbU,346514772495306753
44,Mon Jun 17 05:13:21 +0000 2013,COMME des GARÇONS,http://t.co/H6Q2m6u6h5 Photo #CDG #PLAY #FASHION http://t.co/65pqtAhGkj,346495759610433536
45,Mon Jun 17 02:58:41 +0000 2013,COMME des GARÇONS,http://t.co/H6Q2m6u6h5 Photo #CDG #PLAY #FASHION http://t.co/Phv8lWe5MN,346461868740718594
46,Mon Jun 17 01:43:36 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/ilAkbCZoLO,346442976509177857
47,Mon Jun 17 00:43:46 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/lGHRFwDz2M,346427916684521472
48,Sun Jun 16 23:28:24 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/R39hotscKr,346408951920881664
49,Sun Jun 16 22:28:40 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/M24KTGThOr,346393916754497536
50,Sun Jun 16 21:13:19 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/vA08q2bmaU,346374954805239808
51,Sun Jun 16 20:13:25 +0000 2013,COMME des GARÇONS,"http://t.co/H6Q2m6u6h5 

the best things pass too soon (by manyfires)
  #CDG #PLAY #FASHION http://t.co/8ImPWRKrfM",346359880954806273
52,Sun Jun 16 18:58:49 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/PUcu3agEav,346341107468222464
53,Sun Jun 16 17:43:51 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/8vvzJgTkIZ,346322240196972545
54,Sun Jun 16 16:44:07 +0000 2013,COMME des GARÇONS,[TUMBLR PICTURE] Photo #STREET #ART http://t.co/3Zb5zI4MDg http://t.co/PJZzaBxLhw,346307207685603329
