,created,handle,text,tweet_id
0,Wed Mar 28 17:23:35 +0000 2018,Derek Lam,The Detail of the Season: Eyelet cut out details. Discover the cropped short sleeve top in vibrant hues now from #DerekLam: https://t.co/7DIY23YGNi https://t.co/5EqdTA4eRp,979046355263016960
1,Wed Mar 28 14:34:04 +0000 2018,Derek Lam,.@CSEvangelista looks spring-ready in the #DerekLam10Crosby striped set. Shop this and other spring looks now: https://t.co/NT18gYITAF https://t.co/uD0bSvubYg,979003696486014976
2,Tue Mar 27 22:05:11 +0000 2018,Derek Lam,RT @neimanmarcus: Can date night be a long night? Click link to shop @JourdanaP’s look from by @DerekLamNYC and @MotherDenim at #NeimanMarc…,978754834290696192
3,Tue Mar 27 22:05:03 +0000 2018,Derek Lam,"RT @KCDworldwide: Lost in leather, a model wears a SS18 @DerekLamNYC jacket and pants for the April 2018 issue of @FashionCanada. https://t…",978754798588776451
4,Mon Mar 26 15:29:31 +0000 2018,Derek Lam,"Sonoma Valley Dreaming: Pastoral Spring Fashion, featuring the #DerekLam pleated gown, exclusively sold at @BarneysNY. See all of the spring looks, now on the San Francisco Chronicle: https://t.co/YDiXgIdApd https://t.co/h7qPrW2QCT",978292871580274688
5,Mon Mar 19 15:56:23 +0000 2018,Derek Lam,"13 Super-Stylish Swimwear Brands to Know via @thezoereport: https://t.co/rumrvxDMfi
Discover the new line of swimwear from #DerekLam10Crosby now! https://t.co/QpJ4f7kNST https://t.co/LgM3WOP9yj",975762919911841797
6,Mon Mar 12 18:16:15 +0000 2018,Derek Lam,.@_Rachael_Taylor attends #BuildSeries in the #DerekLamSS18 Colorblocked Knit Skirt - shop now! https://t.co/b2qTid7Vmf https://t.co/vX2WW1TxDL,973261403481169921
7,Mon Mar 12 14:54:48 +0000 2018,Derek Lam,"5 Outfit Ideas for Any Easter Activity from InStyle: https://t.co/Jc6H6110K0
Shop the #DerekLamDenim Nico Jacket now: https://t.co/aznAetzEuy https://t.co/MMnLABXklf",973210706853154817
8,Fri Mar 09 20:15:50 +0000 2018,Derek Lam,"Denim updates for spring with embroidered, patchwork and bleached details. Discover this season's Jane, Gia and Mila now: https://t.co/1QZc06QsAS https://t.co/Rc4Scm30yh",972204333986189312
9,Fri Mar 09 20:11:36 +0000 2018,Derek Lam,.@mindykaling looking chic in the #DerekLam10Crosby V-Neck Cami Dress with Tie Belt while on @LiveKellyRyan. Shop her look now: https://t.co/uxzbQeWwyy https://t.co/nAFjFiUT64,972203266695196672
10,Mon Mar 05 17:52:08 +0000 2018,Derek Lam,.@CHRISELLEtweets looks spring-ready in the #DerekLam10Crosby Off the Shoulder Printed Mini Dress exclusively at @INTERMIX: https://t.co/OJTtahTufF https://t.co/nhnZlhqvl4,970718619452739586
11,Thu Mar 01 18:42:54 +0000 2018,Derek Lam,"""It was chic, of the moment, and easy to wear. What more could you want?""
Read the full review of the #DerekLam10Crosby #FW18 collection on @VogueRunway: https://t.co/R5itbleqAx https://t.co/PQ6YJL8xga",969281843550965760
12,Thu Mar 01 18:37:42 +0000 2018,Derek Lam,"Discover Derek Lam Collection swimwear, as featured on @TandCmag. Shop the collection now: https://t.co/TgJ8lxXone https://t.co/va3Z8XPim7",969280532944171008
