,created,handle,text,tweet_id
0,Wed Mar 28 08:00:01 +0000 2018,Dior,Discover the Lady Dior As Seen By exhibition from March 29th to 31st during Art Basel Hong Kong. https://t.co/ffJnK3TvIi,978904527523860480
1,Tue Mar 27 08:00:01 +0000 2018,Dior,"Check out the just-released DiorClub3 pilot shades designed for Spring-Summer 2018 by Maria Grazia Chiuri with their statement lenses in colors such as yellow, blue and fuchsia. Discover more https://t.co/1aIqKBpjw6.
#DiorSS18 https://t.co/FkseKn1Euf",978542140425932801
2,Mon Mar 26 10:30:00 +0000 2018,Dior,"Discover all the possibilities for topping off your look with one of the Dior hats https://t.co/7TdvWgVVxO.
#DiorSS18 https://t.co/aJCZ3QMztP",978217497982881792
3,Sun Mar 25 09:00:02 +0000 2018,Dior,"Go https://t.co/m70xvFgY7S to discover an exclusive selection of new accessories to complete your outfit this season.
#SS18 https://t.co/zbf2aOtoAL",977832466986696705
4,Sat Mar 24 17:30:01 +0000 2018,Dior,"Sasha Pivovarova sublimates the new 'DiorClub2' sunglasses from the Spring-Summer 2018, along with the timeless 'DiorSoReal'. Find out more about our new eyewear https://t.co/dJHLLC0OH1.
#DiorClub https://t.co/sCpAg1EmzU",977598422789206016
5,Sat Mar 24 09:25:00 +0000 2018,Dior,"However you wear it, a bag can't help but add the ultimate touch to any outfit. From wallets to clutches, get a taste of the coming season's bags by clicking https://t.co/333IYqZiVY.
#DiorSS18 https://t.co/lZ871cKTEt",977476363870285824
6,Fri Mar 23 14:12:28 +0000 2018,Dior,"Get a closer look at the Dior Spring-Summer 2018 shoes inspired by Marc Bohan’s black and white check creations and discover all the new styles https://t.co/cOLt9C19hj.
#DiorSS18 https://t.co/tNO4NZlz1t",977186319372865537
7,Thu Mar 22 11:43:17 +0000 2018,Dior,Take a look at the ‘Plume Or’ timepiece from the Dior ‘Grand Bal’ collection whose dancing feathers evoke the delicate movement of a swirling ball gown. Discover more https://t.co/JQgm1WSojy. https://t.co/URSLwcMkCF,976786389525245952
8,Wed Mar 21 10:01:11 +0000 2018,Dior,The Dior 'Grand Soir' collection unveils 9 unique timepieces inspired by the vivid color of fireworks. Discover how our peerless artisans pair watchmaking precision with couture sensibility to bring the new 'Feux D’Artifice' watches to life. Find out more https://t.co/uoaLlzvWNF. https://t.co/uEyYX1ATLS,976398304681570304
9,Mon Mar 19 14:04:20 +0000 2018,Dior,The house of Dior is pleased to announce the appointment of Kim Jones as Artistic Director of Dior Homme for the Ready-to-Wear and Accessories collections. https://t.co/CVraN4liDj,975734720834211841
10,Mon Mar 19 09:14:09 +0000 2018,Dior,"Discover Scents of the Magic Hour, when nature's smells awake, bursting with vibrant new life. More https://t.co/loDsvcjv11
#diorsauvage https://t.co/sGZhHqfEuH",975661693291450369
11,Sun Mar 18 08:38:55 +0000 2018,Dior,"SAUVAGE - The new Eau de Parfum
The powerful freshness of Sauvage exudes new mysterious and sensual facets. Spicy and juicy bergamot unfurls a woody trail enveloped in vanilla absolute. More https://t.co/iqKhKU9zqx
 #diorsauvage https://t.co/x4ub2l5TTY",975290440181305344
12,Sat Mar 17 10:03:29 +0000 2018,Dior,"SAUVAGE - The new Eau de Parfum
Johnny Depp is the hero of a roadtrip that takes him to a new moment: the magic hour of the desert. Discover more https://t.co/on2Jt5SeaD
#diorsauvage https://t.co/JssvQO8s5k",974949334486867968
13,Fri Mar 16 09:00:03 +0000 2018,Dior,"Halfway between a baseball cap and sunglasses, discover the newly-released DiorClub1 visors from our Spring-Summer 2018 collection available in bright colors yellow, blue, orange and grey. Discover more https://t.co/1aIqKBpjw6.
#DiorSS18 https://t.co/JBHuhSRWqh",974570980629733376
14,Mon Mar 12 11:10:34 +0000 2018,Dior,Discover @winnieharlow and @tinakunakey tips to apply their new skincare weapon: CAPTURE YOUTH. #diorforyouth #diorskincare #skincareroutine https://t.co/Qi4evZEvXq,973154276448096256
