,created,handle,text,tweet_id
0,Wed Mar 28 16:45:23 +0000 2018,ETRO,"@alexa_chung graces the cover of @elle_es wearing the Spring Summer 2018 fashion show collection.⠀⠀⠀⠀⠀⠀⠀⠀
#ETRO #EtroWoman #EtroEditorials https://t.co/uACTK9eZQP",979036743738552320
1,Tue Mar 27 15:21:44 +0000 2018,ETRO,"Udaipur, the new Etro eau de parfum, encapsulates the primary inspirations of the Maison, reinterpreted them through the varied nuances of a fragrance that evokes both summer in the Mediterranean and the gardens of the Maharajah. ⠀⠀⠀⠀⠀⠀
#ETRO #ETROFragrances https://t.co/gdjC3OdCHV",978653304417812480
2,Mon Mar 26 16:36:56 +0000 2018,ETRO,#EtroRoots Dive into Milan’s many places and stories to discover the Spring Summer 2018 advertising campaign. #ETRO #ETRO50 #SS18 https://t.co/CkI9oYyn9A,978309841524490240
3,Sun Mar 25 17:10:17 +0000 2018,ETRO,#EtroRoots Get to know the Spring Summer 2018 advertising campaign and dive into Milan’s many places and characters to discover our roots. #ETRO #ETRO50 #SS18 https://t.co/Xa5BHBq8Ox,977955845857259522
4,Sat Mar 24 15:13:11 +0000 2018,ETRO,"#EtroRoots the story of voyage through Milan. Discover the Spring Summer 2018 Advertising Campaign on https://t.co/DsEvYtNI7x.
#ETRO #ETRO50 #SS18 https://t.co/8kl9zUMnrU",977563986047766530
5,Fri Mar 23 15:04:53 +0000 2018,ETRO,"Have fun shuffling the cards to create your own look. Get to know the Spring Summer 2018 Menswear Collection on https://t.co/DsEvYtNI7x.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ETRO #ETROMan https://t.co/WwjV9Uj3xG",977199512782598146
6,Wed Mar 21 12:04:55 +0000 2018,ETRO,"Symbolic images are seeds ready to sprout, containing infinite possibilities within themselves. Learn more about the Spring Summer 2018 Menswear Collection on https://t.co/DsEvYtNI7x.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ETRO #ETROMan https://t.co/b8KmCSqIl7",976429446851956736
7,Tue Mar 20 18:33:08 +0000 2018,ETRO,"The Fool is the Spring Summer 2018 Collection’s icon: a special and emblematic card that represents the ability to transform and adapt oneself to any situation.⠀⠀⠀⠀⠀⠀⠀⠀⠀
Discover the collection on https://t.co/DsEvYtNI7x.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ETRO #ETROMan https://t.co/VYcg35CYIO",976164753180590080
8,Sat Mar 17 22:02:47 +0000 2018,ETRO,Discover the new #ETRORainbowColoursBag on https://t.co/DsEvYtNI7x. #ETRO #ETROWoman #ETROAccessories https://t.co/mZ7nFPXF3E,975130350954348544
9,Fri Mar 16 13:36:39 +0000 2018,ETRO,"High-end artisanal craftsmanship, elegant design and experimental creativity are at the core of the Etro brand. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
For Spring Summer 2018 season, these signature elements find an exquisite expression in the new #ETRORainbowColoursBag https://t.co/N7tu2EzGsM",974640592536981504
10,Thu Mar 15 13:57:32 +0000 2018,ETRO,Etro presents the perfect companion for today's woman: the new #ETRORainbowColoursBag. Get to know the entire collection on https://t.co/DsEvYtNI7x. #ETRO #ETROWoman #ETROAccessories https://t.co/ERDOCszNKn,974283457986793473
11,Thu Mar 15 09:03:46 +0000 2018,ETRO,"Stripes and checks are infused with magical elements like acrobats who fly through paisley trees. Discover the Spring Summer 2018 Womenswear Collection.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ETRO #ETROWoman ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://t.co/SxBuW3aMVk",974209529910038529
12,Wed Mar 14 15:25:09 +0000 2018,ETRO,"This Etro dreamland is formed from strong colour combinations and pattern contrasts. Get to know the Spring Summer 2018 Womenswear Collection.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ETRO #ETROWoman ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://t.co/CTgHATlIRM",973943119082344448
13,Wed Mar 14 09:02:21 +0000 2018,ETRO,"Step right up and get swept away by the free-wheeling energy of the Etro Circus, an imaginary world of clean silhouettes and shimmering, playful details. Discover the Spring Summer 2018 Womenswear Collection
#ETRO #ETROWoman ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://t.co/cSnBqo8OjC",973846784060649472
14,Sat Mar 10 20:04:53 +0000 2018,ETRO,#EtroRoots Dive into Milan’s many places and stories to discover the Spring Summer 2018 advertising campaign. #ETRO #ETRO50 #SS18 https://t.co/R8tAGGeZJn,972563967490043904
15,Fri Mar 09 14:47:50 +0000 2018,ETRO,#EtroRoots Get to know the new Spring Summer 2018 advertising campaign. #ETRO #ETRO50 #SS18 https://t.co/iRSFnDlkps,972121788196052992
16,Fri Mar 09 10:55:11 +0000 2018,ETRO,#EtroRoots  Get to know the new Spring Summer 2018 advertising campaign and dive into Milan’s many places and characters to discover our roots. #ETRO #ETRO50 #SS18 https://t.co/NEkTSZQEfR,972063239923224577
17,Thu Mar 08 18:49:03 +0000 2018,ETRO,#EtroRoots Get to know the new Spring Summer 2018 advertising campaign and dive into Milan’s many places and characters to discover our roots. #ETRO #ETRO50 #SS18 https://t.co/ZVRgoNUbaw,971820106333544453
