,created,handle,text,tweet_id
0,Mon Mar 26 16:45:58 +0000 2018,HUGO BOSS,Catching rays: Sebastian Stan relaxes during downtime at our campaign shoot. Discover more: https://t.co/KwgdsPrMcc #SummerOfEase https://t.co/49p58aQmw9,978312110718386179
1,Sun Mar 25 13:57:57 +0000 2018,HUGO BOSS,A new look for the office: read our guide on how to refresh your working wardrobe this season. Discover more: https://t.co/YaOWTEyQ0M https://t.co/QhCmeG3CAg,977907440678088706
2,Fri Mar 23 15:28:55 +0000 2018,HUGO BOSS,She's got the look: model Romee Strijd brings her attitude to this season's new sunglasses. Discover now: https://t.co/tbDQox9sy9 #SummerOfEase https://t.co/lhjC3AHR7E,977205557940469760
3,Thu Mar 22 09:10:43 +0000 2018,HUGO BOSS,@ashjacobs92 Please send us a DM @hugobossservice detailing your matter along with your country of residence so we may advise the next steps. Thank you. BOSS Customer Service,976747993557880833
4,Wed Mar 21 16:01:46 +0000 2018,HUGO BOSS,Step it up: new shoes to take your summer look to new heights. Discover more from the women's shoe collection now: https://t.co/smnG37fPUY #SummerOfEase https://t.co/C4biNVPnCX,976489048486199296
5,Wed Mar 21 13:50:47 +0000 2018,HUGO BOSS,"Keep it light, keep it bright: Romee Strijd wears a vibrant seagull-print dress in an effortless summer statement. Shop the collection: https://t.co/KwgdsPrMcc #SummerOfEase https://t.co/jdFjToDUY8",976456086310891520
6,Tue Mar 20 06:39:02 +0000 2018,HUGO BOSS,Take flight: Romee Strijd steps out in this summer's most-wanted print. Discover more: https://t.co/KwgdsPrMcc #SummerOfEase https://t.co/thpgUsYUp8,975985044283039744
7,Mon Mar 19 21:17:16 +0000 2018,HUGO BOSS,"Take a look inside the exhibition ""Night Fever. Designing Club Culture 1960 – Today"" at the Vitra Design Museum, in cooperation with HUGO BOSS #VDMNightFever 

Credit: Night Fever Installation View, Photo Mark Niedermann https://t.co/LZVYHCYzzO",975843672628518912
8,Sun Mar 18 23:34:17 +0000 2018,HUGO BOSS,The outlook's bright: Romee Strijd wears a seagull-print summer dress from the new collection. Discover more: https://t.co/KwgdsPrMcc #SummerOfEase https://t.co/XgyonUl2Lc,975515764370255872
9,Sat Mar 17 10:32:19 +0000 2018,HUGO BOSS,Poolside cool: Sebastian Stan embodies the laid-back new collection. Discover more: https://t.co/KwgdsPrMcc #SummerOfEase https://t.co/qVYhlzblm9,974956589047164929
