,created,handle,text,tweet_id
0,Tue Mar 27 21:00:39 +0000 2018,Herve Leger,In the swing of things #HerveLeger https://t.co/KZHKIazL7l,978738595036057602
1,Fri Mar 23 19:53:35 +0000 2018,Herve Leger,Three of a kind #HerveLeger https://t.co/wdMffjMty7,977272162515120134
2,Wed Mar 21 21:49:34 +0000 2018,Herve Leger,.@jes_chastain raises a glass to the perfect #LBD in #MollysGame | Photo credit: @IMDB  #HerveLeger https://t.co/bBIS274GXL,976576577319456768
3,Mon Mar 19 21:51:18 +0000 2018,Herve Leger,Seeing red #HerveLeger https://t.co/rW72NVeyDQ,975852236030038016
4,Fri Mar 16 19:35:03 +0000 2018,Herve Leger,A timeless piece #HerveLeger https://t.co/zhYqbDl7RY,974730783909908480
5,Fri Mar 16 18:42:09 +0000 2018,Herve Leger,.@janetmock wears #HerveLeger at the FX Annual All-Star Party | Photo credit: @zimbio https://t.co/PLfGrryYh8,974717472875171840
6,Wed Mar 14 22:21:10 +0000 2018,Herve Leger,Add drama to your sleeves #HerveLeger https://t.co/dSyJQS17t6,974047815029739520
7,Mon Mar 12 21:54:19 +0000 2018,Herve Leger,Every detail matters #HerveLeger https://t.co/VQKu5bLyk0,973316281234542592
8,Thu Mar 08 23:11:52 +0000 2018,Herve Leger,Celebrating women since 1985 | Photo credit: @britishvogue #InternationalWomensDay #HerveLeger https://t.co/BXbCiK5q8a,971886245273047041
9,Sun Mar 04 14:00:15 +0000 2018,Herve Leger,Getting ready to watch the #Oscars like https://t.co/6qW6jdcySW,970297875082153984
10,Sat Mar 03 14:00:52 +0000 2018,Herve Leger,"Wishing #Oscar nominee, @MargotRobbie, the very best of luck tomorrow night | Photo credit: @IMDB #HerveLeger https://t.co/QBsGKzDVdb",969935643936686081
11,Fri Mar 02 14:00:16 +0000 2018,Herve Leger,Paris never ceases to take our breathe away | Repost: @patborriello #HerveLeger https://t.co/K2fUGZvpo3,969573105785102338
12,Wed Feb 28 14:01:08 +0000 2018,Herve Leger,Midnight in Paris #HerveLeger https://t.co/n7JaNYB6VQ,968848547016781824
13,Mon Feb 26 14:01:19 +0000 2018,Herve Leger,"Paris, Je T'aime |  Repost: @jonasphotogalerie #HerveLeger https://t.co/cUL7PUz56J",968123816613474304
