,created,handle,text,tweet_id
0,Wed Feb 28 07:17:28 +0000 2018,LANVIN,Live streaming starts at noon Paris Time. The Lanvin Women’s FW18 Collection. Visit biolink or https://t.co/Z7FPBUgfgg https://t.co/AxjRKFtFll,968746960772567040
1,Tue Jan 23 10:25:22 +0000 2018,LANVIN,The handsome and debonair @therealcalebmclaughlin dressed in #Lanvin attending the Entertainment Weekly Celebration Honoring Nominees for the #SAG awards #LanvinHomme #LanvinFW17 📷 @GettyImages https://t.co/DFs7xYZAF5,955748283338682368
2,Mon Jan 22 15:54:04 +0000 2018,LANVIN,Watch the Lanvin Winter 2018 Runway Show. Click here: https://t.co/9uUQB7TY7d https://t.co/utxDpHWewa,955468618237693952
3,Sun Jan 21 10:27:00 +0000 2018,LANVIN,"Cue the music, ready, go! LOOK 1 #LanvinFW18 #LanvinHomme #LucasOssendrijver 📷 @jamesbort https://t.co/bB3JLfV6JD",955023919500677120
4,Sun Jan 21 08:48:47 +0000 2018,LANVIN,Count down to #LanvinFW18 More to come! 11h Paris Time Palais de Tokyo #LucasOssendrijver #Lanvin https://t.co/YuyjLkLNHn,954999204308451328
5,Sun Jan 21 06:32:10 +0000 2018,LANVIN,Rise &amp; shine! It’s call time in Paris. Stay tuned for the #LanvinFW18 runway show. #LucasOssendrijver #LanvinHomme 📷 @JamesBort https://t.co/ftmg4JwIvn,954964822579470336
6,Fri Jan 19 10:33:11 +0000 2018,LANVIN,Exclusive fitting session with #LucasOssendrijver for #LanvinHomme #LanvinFW18 Stay tuned for Sunday’s show 📷 @JamesBort https://t.co/vWLzH34hyn,954300701022347264
7,Thu Jan 18 16:51:50 +0000 2018,LANVIN,Preparing for show day! #LanvinFW18 Collection. Stay tuned! 📷 @JamesBort https://t.co/vq1xwRoqje,954033603415019520
8,Tue Dec 19 13:44:03 +0000 2017,LANVIN,"Treasures from the archives of Jeanne Lanvin: Delicate flower in beaded sequins and silk emborderie, 1927. Patrimoine Lanvin. #JeanneLanvin #Lanvin https://t.co/kOKETVXtWx",943114710077136897
9,Mon Dec 18 10:48:27 +0000 2017,LANVIN,"The very handsome and debonair #JiLingChen wears #LanvinHomme at the GQ China ""Men of the Year"" in Beijing China https://t.co/5ixBv4E4Mh",942708130198310913
