,created,handle,text,tweet_id
0,Wed Mar 28 18:51:56 +0000 2018,Christian Louboutin,@TheBubbleTap We are so sorry to hear about this. Please contact our client services team at customerservice@uk.christianlouboutin.com so that they may assist you further.,979068587930419200
1,Wed Mar 28 15:01:22 +0000 2018,Christian Louboutin,Bruno Crepe goes  bold in Bazin. #LouboutinHomme https://t.co/lfpXd3ezNf https://t.co/Sw9hxlAJeL,979010565413752832
2,Wed Mar 28 14:34:11 +0000 2018,Christian Louboutin,@nshark Bonjour Nancy! Great question! The Pigalle Follies Flat does run true to size in length but can fit rather narrow. The leather will stretch and mold to your foot so we recommend taking your true size or half a size up if you have a wider foot!,979003723564404737
3,Tue Mar 27 23:41:18 +0000 2018,Christian Louboutin,@sogaogao Bonjour! Please contact customerservice.usa@christianlouboutin.fr so that we can better assist you.,978779021659066369
4,Tue Mar 27 15:00:26 +0000 2018,Christian Louboutin,Tuesday tie-dye. #LouboutinHomme https://t.co/DhrGz4ncZ1 https://t.co/9RzkP6u5fm,978647942121820160
5,Tue Mar 27 13:00:42 +0000 2018,Christian Louboutin,Taste the rainbow. https://t.co/XebIK79OOm https://t.co/Wepjw85lMl,978617811923820544
6,Mon Mar 26 21:59:35 +0000 2018,Christian Louboutin,@abbymorphett Bonjour! This is NOT an authentic CL website. Please contact customerservice.usa@christianlouboutin.fr for further assistance.,978391038128771073
7,Mon Mar 26 21:23:01 +0000 2018,Christian Louboutin,@tebbiedoodles Bonjour! Our styles are restocked periodically. You may contact our client services team at customerservice.usa@christianlouboutin.fr and they would be happy to assist further with availability of what you're looking for!,978381833380532226
8,Mon Mar 26 15:01:48 +0000 2018,Christian Louboutin,Stash &amp; go with Skypouch. #LouboutinHomme https://t.co/QLZGIEF3ZR https://t.co/qVx0EuIO8Q,978285897547476992
9,Sun Mar 25 15:00:45 +0000 2018,Christian Louboutin,Panettone gets playful. #LouboutinHomme https://t.co/RDeKIYgZFR https://t.co/kDlitEI9YE,977923248049573893
10,Sat Mar 24 20:51:08 +0000 2018,Christian Louboutin,@Jasminelennard Bonjour! We sincerely apologize for the issues you are experiencing. Please contact customerservice@uk.christianlouboutin.com so that we can better assist you.,977649034935455744
11,Sat Mar 24 16:00:41 +0000 2018,Christian Louboutin,Stand out from the crowd. #LouboutinHomme https://t.co/awP4kuMvBV https://t.co/CZRgArA3jg,977575940481081344
12,Sat Mar 24 15:01:23 +0000 2018,Christian Louboutin,"Brotherly love. AC Rantulow, low top sibling to Rantus, plays nice in mixed materials. #LouboutinHomme https://t.co/3sQ2fxB16l https://t.co/Otdm5mdcwZ",977561019080945666
13,Sat Mar 24 13:00:50 +0000 2018,Christian Louboutin,"Blast from the past. For #FW18, Christian Louboutin sought inspiration from the creative freedom of 60’s and 70’s interiors. https://t.co/H64BGF2PTZ https://t.co/hvh2nTr3zw",977530679058747392
14,Fri Mar 23 16:02:34 +0000 2018,Christian Louboutin,"Now you see it, now you don’t. Comprised of the softest suede, new Montezumolle is finished with a playful leather cutout resembling a mask. #LouboutinHomme https://t.co/SBwzIiAViI",977214028333412354
