,created,handle,text,tweet_id
0,Wed Mar 28 16:31:11 +0000 2018,Louis Vuitton,"#MAKEAPROMISE
Help #LouisVuitton and @Unicef continue to help vulnerable children around the world with a promise so that even more children can benefit from humanitarian assistance.
Join us now: https://t.co/5t9X2riPaj https://t.co/lUVUbcrUFd",979033169822470145
1,Wed Mar 28 12:30:25 +0000 2018,Louis Vuitton,"#MAKEAPROMISE
Today, we have reached the number of 130 000 people who have opened their hearts to #MAKEAPROMISE to vulnerable children. We thank you all for your generosity and commitment.
Continue to help: https://t.co/QWwyRRnQ3W https://t.co/K63cR0qdXU",978972578701332480
2,Tue Mar 27 17:18:01 +0000 2018,Louis Vuitton,"#MAKEAPROMISE
Since January 2016, the #LOUISVUITTON for @UNICEF partnership has raised more than $4.8 million to help bring Syrian children and their families life-saving humanitarian support.
Join us now: https://t.co/GHAXccBymV https://t.co/LLxJM0K7xZ",978682567154126848
3,Mon Mar 26 06:09:32 +0000 2018,Louis Vuitton,".@VirgilAbloh joins #LouisVuitton

Louis Vuitton is delighted to welcome Virgil Abloh as its new Men’s Artistic Director.  His first show will take place in June during Men’s Fashion Week in Paris. https://t.co/4aEOH7T9J8",978151951157383168
4,Sat Mar 24 21:30:03 +0000 2018,Louis Vuitton,"A fusion of individual identities.
Discover the #LouisVuitton Men’s Summer 2018 Collection at https://t.co/922rgL4bvJ https://t.co/X09eZZt9Zb",977658829960818690
5,Sat Mar 24 17:30:06 +0000 2018,Louis Vuitton,"Leather Goods symbolizing the Maison's love of travel.
Discover the #LouisVuitton Men’s Summer 2018 Collection at https://t.co/FjbZKBSgnM https://t.co/7PtuDl3H3X",977598444272607232
6,Sat Mar 24 12:30:02 +0000 2018,Louis Vuitton,"A step into Summer.
Discover the #LouisVuitton Men’s Summer 2018 Collection at https://t.co/LltOKNL1IA https://t.co/odOr1hmwIi",977522928265949184
7,Fri Mar 23 18:30:16 +0000 2018,Louis Vuitton,"Re-engineered classics for the traveler of today.
Discover the #LouisVuitton Men’s Summer 2018 Collection at https://t.co/0tpkrrztBx https://t.co/FXDsNETZxg",977251198897131527
8,Fri Mar 23 13:30:02 +0000 2018,Louis Vuitton,"Charting the needs of the contemporary voyager.
Discover the #LouisVuitton Men’s Summer 2018 Collection at https://t.co/zXLIUJebHT https://t.co/p36rI3TeF1",977175639731113986
9,Thu Mar 22 18:21:54 +0000 2018,Louis Vuitton,"Wanderlust for not just one destination, but many.
Discover the #LouisVuitton Men’s Summer 2018 Collection at https://t.co/w3c3Jt6YcR https://t.co/wpLbmwIlq1",976886702668238849
10,Tue Mar 20 16:29:22 +0000 2018,Louis Vuitton,"The #LVParfums Collection is updated with Le Jour Se Lève, an optimistic and stimulating breath of early morning air.  Discover the new fragrance in #LouisVuitton stores and at https://t.co/HLPjT23BDO https://t.co/eCbWMd9hmh",976133606270791681
11,Mon Mar 19 17:12:13 +0000 2018,Louis Vuitton,"The essence of the sun’s first rays: introducing Le Jour Se Lève, the newest fragrance in the #LVParfums Collection. All eight intensely feminine fragrances are now available in #LouisVuitton stores and at https://t.co/b2pdDXafIh https://t.co/a96ybOs1kP",975782003672043520
12,Mon Mar 19 11:27:32 +0000 2018,Louis Vuitton,"Introducing Le Jour Se Lève: a new fragrance from #LouisVuitton that radiates luminous optimism. An invitation to set off for new horizons, now available in stores and at https://t.co/eD7zpEXE6i
#LVParfums https://t.co/9OALWOdOg5",975695259299713030
13,Sat Mar 17 16:00:04 +0000 2018,Louis Vuitton,"A masterpiece of modern architecture with its rhythms and environmental intelligence, the Fondation Maeght is the next location for the #LVCruise Show by @TWNGhesquiere.

Fondation Marguerite et Aimé Maeght, 06570 Saint-Paul 
Photo Credit: L’Héritier © Archives Fondation Maeght https://t.co/0Ac1X1BJIg",975039072220610561
14,Sat Mar 17 10:00:02 +0000 2018,Louis Vuitton,"A unique, architectural complex presenting modern and contemporary art in all its forms, the Fondation Maeght is the location for the #LVCruise Show by @TWNGhesquiere.

Fondation Marguerite et Aimé Maeght, 06570 Saint-Paul 
Photo Credit: L’Héritier © Archives Fondation Maeght https://t.co/JNwIggXUrP",974948463564742662
15,Fri Mar 16 21:00:03 +0000 2018,Louis Vuitton,"The #LouisVuitton Cruise 2019 Collection by @TWNGhesquiere will be presented May 28th at the Fondation Maeght, located in Saint-Paul de Vence on the French Riviera. #LVCruise

Fondation Marguerite et Aimé Maeght, 06570 Saint-Paul 
© Archives Fondation Maeght https://t.co/zI3VttICUR",974752175061655553
16,Fri Mar 16 18:00:02 +0000 2018,Louis Vuitton,"Descend into the Californian desert with Emma Stone and the Spirit of Travel by #LouisVuitton.
See more now at https://t.co/e43iVQRMOP https://t.co/WwYq6qO5cv",974706874229645312
