,created,handle,text,tweet_id
0,Wed Mar 28 17:30:00 +0000 2018,Valentino,"The glamorous side of flowers is captured in this
#behindthescenes picture starring modern beauties @gigihadid and #RianneVanRompaey ready for a #ValentinoSS18 #AdvCampaign shooting day.
Location: Pier 59 Studio, New York https://t.co/U0tkaXC1ni",979047970980188160
1,Wed Mar 28 13:30:02 +0000 2018,Valentino,"Dream in color. Take a closer look at #FeliceNova captured during the making of the #ValentinoSS18#AdvCampaign. 
Location: Pier 59 Studio, New York
Photographers: @inezandvinoodh
Creative direction: #PierpaoloPiccioli https://t.co/LUnMSejYZm",978987578190802945
2,Wed Mar 28 06:30:00 +0000 2018,Valentino,Go #behindthescenes of the latest #ValentinoSS18 #AdvCampaignwith @gigihadid showing us how to look feminine and glamorous in an allover embroidered gown made of sequins which recreate a ‘Jardin de Fleurs’ motif. https://t.co/BbhefJ9RLP,978881874780078080
3,Tue Mar 27 17:30:00 +0000 2018,Valentino,"A precious #ValentinoGaravani #RockstudSpike bag worn by #FeliceNova in the latest #ValentinoSS18 #AdvCampaign.
Location: Pier 59 Studio, New York
Photographers: @inezandvinoodh
Creative direction: #PierpaoloPiccioli https://t.co/MfojSiiD3e",978685581877067777
4,Tue Mar 27 13:55:21 +0000 2018,Valentino,"Dancing it out!
#ValentinoSS18AdvCampaign
Location: Pier 59 Studio, New York
Photographers: @inezandvinoodh
Creative direction: #PierpaoloPiccioli https://t.co/Aqy3u2FveX",978631563851321344
5,Tue Mar 27 07:00:02 +0000 2018,Valentino,"The glamorous side of flowers. Take a closer look at @GiGiHadid co-starring in the #ValentinoSS18#AdvCampaign along with #RianneVanRompaey.
Location: Pier 59 Studio, New York https://t.co/q0haRmgQce",978527046149263360
6,Mon Mar 26 18:30:01 +0000 2018,Valentino,#AinoVierimaa poses in a #ValentinoSS18 translucent vinyl look for the March issue of @HarpersBazaarJP Magazine https://t.co/cGzcjI2EaE,978338298190954497
7,Mon Mar 26 12:30:00 +0000 2018,Valentino,#AmelleahThomas stars on @DRepubblicait Cover shot wearing a sequins embroidered vinyl biker with a detachable cape from the #ValentinoSS18 Collection https://t.co/TYdEEnm0L9,978247698422771714
8,Mon Mar 26 08:00:00 +0000 2018,Valentino,#DanielaPestova rocks the latest #ValentinoSS18 Collection for #DolceVitaMagazine: she is wearing a vinyl jacket in a romantic pink shade. https://t.co/A7noM74EnG,978179748659638272
9,Sun Mar 25 19:00:02 +0000 2018,Valentino,A technical outerwear with hammered satin details from the #ValentinoSS18 Collection captured in the March 2018 issue of @DRepubblicait https://t.co/3f03IQ6Gmr,977983465391034370
10,Sun Mar 25 13:30:01 +0000 2018,Valentino,".@Cosmopolitan_fr lights up the latest #HeroesHer #ValentinoGaravani #Odissey Shoes from the #SS18 Collection
detailed with pretty and feminine decorations. https://t.co/5q9PSjhzBV",977900413331456000
11,Sun Mar 25 07:00:01 +0000 2018,Valentino,"Feminine and charming
wearing the #ValentinoSS18 Collection. Models #LorenaMaraschi and @NeelamKG starring in the “London calling” Cover Story of @ELLEUK. https://t.co/ig81IYC7Zj",977802264210477056
12,Sat Mar 24 19:00:00 +0000 2018,Valentino,"The new #ValentinoDonnaRosaVerde is an invitation to step into the verdant garden of an Italian palace.
Presented in an iconic studded bottle, the new fragrance
is synonym of sparkling sunlight and vitality. #ValentinoParfums https://t.co/r2cRLkIkf4 https://t.co/6ONCJYp9RX",977621069275295744
