,created,handle,text,tweet_id
0,Wed Mar 28 17:09:10 +0000 2018,Alexander McQueen,"A softly boned, deconstructed heirloom corset top in shredded floral jacquard, washed organza and embroidered silk tulle. From the Alexander McQueen Spring/Summer 2018 collection. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/Lc3XLmdtID",979042727542378499
1,Wed Mar 28 12:30:07 +0000 2018,Alexander McQueen,An Alexander McQueen Spring/Summer 2018 silver embroidered jacket is worn with a white knit dress and three-buckle boots. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/OBcNsJ3LYt,978972500787900416
2,Tue Mar 27 18:04:41 +0000 2018,Alexander McQueen,An exploded glass organza flower dress. From the Alexander McQueen Spring/Summer 2018 collection. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/AX7T1d4rBY,978694308428697600
3,Tue Mar 27 09:11:52 +0000 2018,Alexander McQueen,"An heirloom dress features hand-embroidered floral motifs, deconstructed sleeves and pompom trims. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/6lV44VvciM",978560222435401728
4,Mon Mar 26 18:23:57 +0000 2018,Alexander McQueen,An asymmetric ruffle jacket as seen on the Alexander McQueen Spring/Summer 2018 runway in Paris. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/0G8Jqwmsu4,978336772777267200
5,Mon Mar 26 09:12:26 +0000 2018,Alexander McQueen,"A lust red corset dress with an exploded ruffle flower skirt, from the Alexander McQueen Spring/Summer 2018 collection. Photographed by Sir Don McCullin. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/NRUibIyv27",978197978321178624
6,Sun Mar 25 19:25:50 +0000 2018,Alexander McQueen,An Alexander McQueen Pre-Autumn/Winter 2018 jewelled satchel in nightshade purple. #McQueenPreAW18 https://t.co/5yT551arLY,977989955283750912
7,Sun Mar 25 09:27:42 +0000 2018,Alexander McQueen,An Alexander McQueen Spring/Summer 2018 silver embroidered jacket is worn with a white knit dress with metal stud detailing. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/kFXGGVcwRv,977839433058803712
8,Sat Mar 24 16:15:53 +0000 2018,Alexander McQueen,An exploded glass organza flower dress from the Alexander McQueen Spring/Summer 2018 collection. Photographed during fittings in the Paris atelier. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/IREmmWayBB,977579764243451905
9,Sat Mar 24 10:47:44 +0000 2018,Alexander McQueen,"An heirloom dress features hand-embroidered floral motifs, deconstructed sleeves and pompom trims. From the Alexander McQueen Spring/Summer 2018 campaign. Video by Masha Vasyukova. Music by Ricardo Tobar. Discover #McQueenSS18: https://t.co/e2rMxkBjRo https://t.co/My4O8hSzlf",977497182805913600
10,Fri Mar 23 18:08:39 +0000 2018,Alexander McQueen,"As seen in @wkorea , an Alexander McQueen Spring/Summer 2018 jewelled heirloom embroidery Box Bag. Photographed by Chang Min Lee. #McQueenBoxBag #McQueenSS18 https://t.co/aJl0lRbjIS",977245758452838400
