,created,handle,text,tweet_id
0,Wed Mar 28 18:00:15 +0000 2018,Michael Kors,The swing of spring. #MichaelKors https://t.co/Q78I57JCgL,979055581284720641
1,Tue Mar 27 19:27:44 +0000 2018,Michael Kors,Slip of a dress: Aubrey Plaza (@evilhag) in Fall 2018 #MichaelKorsCollection. #FameFrames https://t.co/D8sA4ay8LW,978715209668931584
2,Tue Mar 27 13:44:41 +0000 2018,Michael Kors,What’s your road trip essential?,978628881124155393
3,Fri Mar 23 18:20:27 +0000 2018,Michael Kors,Fancy pants: @EllenPompeo in Transeason 2018 #MichaelKorsCollection. #FameFrames https://t.co/FDHrfccUBh,977248726149459968
4,Fri Mar 23 16:00:04 +0000 2018,Michael Kors,Just in: seaside essentials in everyone’s new favorite hue. https://t.co/m81898YfMa #MichaelKors https://t.co/52YDMBliEM,977213397560385536
5,Thu Mar 22 19:44:00 +0000 2018,Michael Kors,@preciousam0r we’re sorry your experience was less than fabulous. Please send us a message with your contact information (phone number and email address) so our customer care team can reach out directly with other solutions.,976907365982273536
6,Thu Mar 22 16:17:13 +0000 2018,Michael Kors,What's your dream spring destination?,976855326065651714
7,Tue Mar 20 16:00:00 +0000 2018,Michael Kors,A fabulous pair of embroidered slip-ons complement spring dresses and casual denim alike. #StyleTip,976126217303855104
8,Mon Mar 19 22:18:26 +0000 2018,Michael Kors,Simply chic: Naomi Watts in Fall 2018 #MichaelKorsCollection. #FameFrames 📸: BACKGRID https://t.co/VtlVhwDlMB,975859064235229184
9,Mon Mar 19 16:00:03 +0000 2018,Michael Kors,Currently coveting: our Blakely bucket bag. https://t.co/lcTrvzv087 #MichaelKors https://t.co/51WdSVf47u,975763841756868608
10,Fri Mar 16 22:33:29 +0000 2018,Michael Kors,Surf’s up at our Rockefeller Center store! #MichaelKors 📽: @windowswear https://t.co/vQbVVyqWhl,974775690934607872
11,Fri Mar 16 14:04:18 +0000 2018,Michael Kors,What spring item are you currently adding to cart?,974647548223918081
12,Thu Mar 15 16:00:01 +0000 2018,Michael Kors,Elevated style for everyday wear: our Blakely tote. https://t.co/ajxS93QT4k #MichaelKors https://t.co/NQVWHlVE8N,974314283713646594
13,Tue Mar 13 16:00:13 +0000 2018,Michael Kors,Under the palms: our Blakely satchel. https://t.co/rrAYhyDzXz #MichaelKors https://t.co/113r2dzT2C,973589558074933250
14,Mon Mar 12 16:00:00 +0000 2018,Michael Kors,Pair an edgy embellished jacket with crisp whites for a tough luxe mix. #StyleTip,973227116065165312
15,Fri Mar 09 21:54:29 +0000 2018,Michael Kors,"@leilani828 Hi, we're sorry you've had a poor experience. Please send us a message of your contact information. We'd like to learn more about what happened.",972229161635991553
16,Thu Mar 08 16:14:50 +0000 2018,Michael Kors,Coming up roses: @theashleygraham in Transeason 2017 #MichaelKorsCollection. #FameFrames https://t.co/13NpiRVTHr,971781295926906880
