,created,handle,text,tweet_id
0,Wed Mar 28 16:00:54 +0000 2018,Missoni,"The first timid rays of sunshine warm the skin and the tender blossoms of wildflowers.
Discover more on https://t.co/tpKLYFf96T
#missoni #FarmingtonGarden https://t.co/wF6ipMeCc0",979025547702489090
1,Thu Mar 22 17:00:27 +0000 2018,Missoni,"Tomorrow Friday, March 23 at 3.30 PM Rosita Missoni will participate in ""Le Giornate di Orticola"" 🌷 (Villa Reale, GAM - Via Palestro 16 - Milan) #missoni #rositamissoni
https://t.co/htOWlYxsCk https://t.co/HhVWYi2g3L",976866205712732160
2,Mon Mar 19 15:58:48 +0000 2018,Missoni,Missoni landed in China in partner with the main digital ecosistems: Alibaba (Tmall and Weibo) and Wechat. https://t.co/2KQmvH0CoC,975763526387027968
3,Mon Mar 19 15:36:59 +0000 2018,Missoni,RT @TheCut: Missoni’s latest installation in NYC’s Upper East Side will make you yearn for summer https://t.co/KfLpnB52b8,975758038232698880
4,Mon Mar 19 15:35:48 +0000 2018,Missoni,"RT @noahvjohnson: diddy in the missoni jump suit is ALL TIME 
send mobolaji a &lt;3 today
https://t.co/fP0ku7azHT https://t.co/p0BegDqtu7",975757741280104448
5,Mon Mar 19 09:53:48 +0000 2018,Missoni,"RT @BoF: From @gucci to @Missoni, BoF rounds up the best ads of the Spring/Summer 2018 season. What do you think? https://t.co/YX3g0Irj2C h…",975671672618483712
6,Fri Mar 16 10:35:28 +0000 2018,Missoni,RT @massimocanorro: L'#IT va di moda. Intervista a Emilio Carbonera Giani @Missoni. Su @DigitalicMag: https://t.co/Q07n9btiOR https://t.co/…,974594994102300673
7,Thu Mar 15 14:00:25 +0000 2018,Missoni,"""Gardeners of Creativity"" the panel featuring #AngelaMissoni and #MichaelNyman at #LiberatumMexico in Mexico City will explore the relationship between commerce and creativity in the digital age. #missoni https://t.co/3l2L3xsAYa",974284185996275713
8,Mon Mar 12 13:47:02 +0000 2018,Missoni,"#AngelaMissoni poses with artist Rachel Hayes at the opening event for #DreamsofBeing, the newest #MissoniSurfaceConversion installation, now open to the public at the #Missoni boutique in NYC. https://t.co/wy5gnvnt37",973193654058868736
9,Mon Mar 12 11:17:18 +0000 2018,Missoni,RT @FashUnfiltered: .@Missoni and Rachel Hayes bring a rainbow to stormy New York: https://t.co/TLhctyeLd2 https://t.co/YYGql7mQwf,973155971592851458
10,Mon Mar 12 11:17:07 +0000 2018,Missoni,RT @VogueRunway: See all the looks from the @Missoni Fall 2018 show: https://t.co/RJdv0wOTzM https://t.co/85tgIZPkde,973155923266097152
11,Sat Mar 10 14:16:23 +0000 2018,Missoni,#RositaMissoni is among the women interviewed in @YScio's #SevenWomen. Catch it on @SkyArteHD! https://t.co/16TDKMv2gg,972476264996130817
12,Thu Mar 08 19:42:30 +0000 2018,Missoni,Stasera su @SkyArteHD alle 21.15 non perdetevi #SevenWomen: #RositaMissoni è una delle donne intervistate da @YScio per il suo documentario. https://t.co/l0ZmcpcufZ,971833559051882496
13,Thu Mar 08 18:55:44 +0000 2018,Missoni,"RT @dotmaison: In 1953 Rosita Missoni set up a small knitwear workshop along with Ottavio Missoni in Gallarate, only a short distance away…",971821787758637057
14,Thu Mar 08 18:54:53 +0000 2018,Missoni,"RT @TheCircleItalia: #thecirclethanks a @Missoni e @LuisaViaRoma 🙏🏻⭕️ 
nel giorno delle donne diciamo grazie a chi, con generosità, ingegno…",971821573668827136
15,Thu Mar 08 16:00:14 +0000 2018,Missoni,"Introducing #Missoni 2.0, the all-new version of https://t.co/deDYOcJJf3. Visit us to discover the world of #Missoni style, tradition and innovation. https://t.co/stCA5V3Njd",971777623285227520
16,Thu Mar 08 11:38:05 +0000 2018,Missoni,RT @LiamxCheryl: UPDATE | @CherylOfficial wearing @Missoni today at @PrincesTrust Awards 😍 https://t.co/3xQNUjHxAc,971711648925876224
17,Thu Mar 08 11:35:12 +0000 2018,Missoni,"Rosita Missoni protagonista di Seven Women, documentario di Yvonne Sciò https://t.co/YveyXNIkYK",971710923319767040
18,Wed Mar 07 09:38:50 +0000 2018,Missoni,"Stay tuned... we will back soon! https://t.co/U5HBM6AWGe is turning 2.0
#Missoni https://t.co/5iDYS4B5xb",971319251532468224
19,Tue Mar 06 09:03:03 +0000 2018,Missoni,RT @GigiHadidIT: Gigi nel backstage della sfilata di Missoni a Milano (24.02) https://t.co/kDPKB8Bk5I,970947857569198080
20,Mon Mar 05 08:48:58 +0000 2018,Missoni,"RT @kerrywashington: #SpiritAwards
Dress @missoni
Booties @pedrogarciashoes 
Bag @edie_parker
Earrings @djulajewelry
Ring @zoechiccojewelry…",970581924619128832
21,Wed Feb 28 17:45:14 +0000 2018,Missoni,Wonderful as usual... https://t.co/h7LrsfbPge,968904943712292867
22,Wed Feb 28 17:32:54 +0000 2018,Missoni,RT @NETAPORTER: 5 rules for a happier wardrobe with Margherita @Missoni https://t.co/0ipQBuKBwy https://t.co/UIbvyARKf7,968901839340146689
23,Mon Feb 26 14:35:03 +0000 2018,Missoni,"RT @Renzorubino: Dopo tutta questa faccenda sanremese solo adesso rientro nella mia tana. Giusto un paio di giorni! 😎

#custodire https://t…",968132306308354049
24,Sun Feb 25 15:17:35 +0000 2018,Missoni,RT @VogueRunway: See all the looks from the @Missoni Fall 2018 show: https://t.co/vNtlsDkuAo https://t.co/pg3xYhKZFF,967780621543268358
25,Sun Feb 25 15:17:15 +0000 2018,Missoni,"RT @nicolasvillar12: @Missoni FW18 &gt;&gt; Since its founding in 1953, the revolutionary knitwear label Missoni has been one of fashion's most b…",967780538537992192
26,Sun Feb 25 15:16:51 +0000 2018,Missoni,RT @NOWFASHION: A hippy vibe with a @Missoni twist on the #FW18 runway today! Check out the whole collection on #NOWFASHION https://t.co/vV…,967780437031518208
