,created,handle,text,tweet_id
0,Wed Mar 28 20:01:12 +0000 2018,Off-White™,making of ss18 women’s Off-White™ collection titled “Natural Woman” photography c/o chilldays https://t.co/MW3suuOvM4,979086022544904192
1,Wed Mar 28 14:26:58 +0000 2018,Off-White™,Off-White™ c/o The Sun “FOR YOUR EYES ONLY” special release sunglasshut @Selfridges @ Selfridges https://t.co/2GrDXjm9Sq,979001907187462145
2,Wed Mar 28 13:09:59 +0000 2018,Off-White™,Off-White c/o Nike Mercurial Vapor 360 for “ Kylian Mbappé “ https://t.co/FapWe15TU0,978982535525994496
3,Wed Mar 28 13:06:10 +0000 2018,Off-White™,RT @OffWht: https://t.co/FmQmEwm1lX,978981575906996225
4,Wed Mar 28 11:26:50 +0000 2018,Off-White™,@cy69r in ss18 men’s Off-White™ floral suit at off___white___toronto https://t.co/ISqWFlVktg,978956575170875392
5,Wed Mar 28 02:21:41 +0000 2018,Off-White™,Off-White™ c/o @Nike VaporMax “Black Glass” colorway releasing soon at flagship stores globally… https://t.co/DVAUBeZ35Y,978819385463775233
6,Wed Mar 28 00:49:35 +0000 2018,Off-White™,ss18 women’s Off-White™ tracksuit off___white___toronto @ Off-White Toronto https://t.co/7F68h4GwNt,978796207253401603
7,Tue Mar 27 07:16:07 +0000 2018,Off-White™,@cindycrawford in fw17 women’s Off-White™ @Madamefigaro editorial https://t.co/6lWlkvQVou,978531091869921280
8,Mon Mar 26 21:57:22 +0000 2018,Off-White™,ss18 men’s Off-White™ collection titled Temperature® photograph c/o @fabienmontique https://t.co/w3DK0a2hQ9,978390480680611841
9,Mon Mar 26 08:35:50 +0000 2018,Off-White™,Off-White™ c/o The Sun ~ special in-store release em___pty___gallery at 4 pm today @ EM PTY Gallery https://t.co/2U3ViD9FIl,978188768481042432
10,Mon Mar 26 03:28:08 +0000 2018,Off-White™,ss18 men’s Off-White™ at barneysny https://t.co/9AazzO4zwF,978111332808499200
11,Sun Mar 25 21:51:48 +0000 2018,Off-White™,Off-White™ c/o The Sun ~ special in-store release em___pty___gallery tomorrow @ EM PTY Gallery https://t.co/wOEQlKDlz8,978026691636449280
12,Sun Mar 25 21:31:53 +0000 2018,Off-White™,@samahaya in Off-White™ c/o The Sun ~ special in-store release em___pty___gallery tomorrow @ EM… https://t.co/M8u1uYgElv,978021680122662915
13,Sun Mar 25 20:32:44 +0000 2018,Off-White™,ss18 Off-White™ “binder clip” handbag campaign photography c/o ivan.ruberto https://t.co/TdrzXldGCR,978006793514377216
14,Sun Mar 25 17:33:03 +0000 2018,Off-White™,Off-White™ “Off-Court 3.0 sneakers. photograph c/o kaspergiraffe https://t.co/pLh93Blf6A,977961575544950784
15,Sun Mar 25 14:01:35 +0000 2018,Off-White™,ss18 men’s Off-White™ collection titled Tempreature® photograph c/o @christinapaik https://t.co/eDPxwN7IRu,977908354554257414
16,Sun Mar 25 05:10:20 +0000 2018,Off-White™,ss18 women’s Off-White™ collection titled “Natural Woman” available at barneysny https://t.co/SS2TxmJ1y7,977774664650027013
17,Sat Mar 24 22:27:02 +0000 2018,Off-White™,@samahaya in Off-White™ c/o The Sun - runway sunglasses campaign - exclusively available… https://t.co/fGIhh2rad3,977673170260983808
18,Sat Mar 24 17:03:48 +0000 2018,Off-White™,em___pty___gallery @ EM PTY Gallery https://t.co/Z1XtuOQ3Ej,977591824125603840
19,Fri Mar 23 23:36:36 +0000 2018,Off-White™,giedre.dukauskaite in ss18 Off-White™ c/o @JimmyChoo campaign https://t.co/Byi70f4Uaa,977328287671238657
20,Fri Mar 23 02:44:43 +0000 2018,Off-White™,Off-White c/o The Sun “FOR YOUR EYES ONLY” line of sunglasses from recent ss18 runway shows… https://t.co/9LTzY46Lsz,977013243490308096
21,Thu Mar 22 17:35:47 +0000 2018,Off-White™,last min Off-White c/o @chromeheartsusa re-stock @ Chrome Hearts Miami https://t.co/7ZfcJgAMtt,976875098199248897
22,Thu Mar 22 15:58:09 +0000 2018,Off-White™,@iamcardib in Off-White in the cover of i_d magazine photography c/o oliverhadleepearch https://t.co/opFHMYigjA,976850529811869696
23,Thu Mar 22 12:40:49 +0000 2018,Off-White™,mettenarrative in ss18 women’s Off-White styling c/o jacqharriet in @wonderlandmag magazine… https://t.co/fVodGxkI1a,976800865553141761
