,created,handle,text,tweet_id
0,Tue Mar 27 19:15:52 +0000 2018,Saint Laurent,"A FILM by @dapperdanmag featuring LENNON GALLAGER 
SPRING SUMMER 18 by ANTHONY VACCARELLO
CREATIVE DIRECTION by NICHOLAS GEORGIOU &amp; VASSILIS KARIDIS
FILM DIRECTION by DIONISIS ANDRIANOPOULOS https://t.co/Fp0RAlhiRr",978712224062681089
1,Sun Mar 25 15:28:18 +0000 2018,Saint Laurent,"CHARLOTTE CASIRAGHI wearing SUMMER 18 by ANTHONY VACCARELLO
#YSL #SaintLaurent #YvesSaintLaurent https://t.co/Jxcivzugfp",977930178251907072
2,Wed Mar 21 15:46:22 +0000 2018,Saint Laurent,"FEBRUARY 27TH - TROCADÉRO - PARIS
WINTER 18 by ANTHONY VACCARELLO  
DIRECTED by NATHALIE CANGUILHEM 
SOUNDTRACK by SEBASTIAN
#YSL #SaintLaurent #YvesSaintLaurent #Winter18 #PFW https://t.co/wE6qXxZfur",976485176200122368
3,Thu Mar 15 18:57:33 +0000 2018,Saint Laurent,"ANOTHER MAN ISSUE 26 | PSYCHODRAMA
VINCENT GALLO wearing SAINT LAURENT by ANTHONY VACCARELLO
PHOTOGRAPHED by COLLIER SCHORR 
STYLED by KATY ENGLAND
#YSL #SaintLaurent #YvesSaintLaurent @AnotherMan

OUT THURSDAY MARCH 15TH https://t.co/YjPELszNFh",974358959690829826
4,Wed Mar 14 15:23:29 +0000 2018,Saint Laurent,"HARRY STYLES wearing SAINT LAURENT by ANTHONY VACCARELLO
#YSL #SaintLaurent #YvesSaintLaurent https://t.co/jQSHT3dbXp",973942702541860864
5,Tue Mar 13 20:07:53 +0000 2018,Saint Laurent,"ANJA - THE JAMIE BAG 
SUMMER 18 - #YSL14 by ANTHONY VACCARELLO 
PHOTOGRAPHED by INEZ &amp; VINOODH
#YSL #SaintLaurent #YvesSaintLaurent

AVAILABLE IN STORES &amp; ON https://t.co/mAWh4WhGem: 
https://t.co/IHxSle7wxF https://t.co/ZRJcmlsbsq",973651885604433920
6,Fri Mar 09 18:46:14 +0000 2018,Saint Laurent,"VINCENT GALLO - SPRING SUMMER 18 
#YSL12 PART II by ANTHONY VACCARELLO 
FILMED by DAVID SIMS
#YSL #SaintLaurent #YvesSaintLaurent https://t.co/hCICegZAXj",972181787119112194
7,Fri Mar 09 09:51:38 +0000 2018,Saint Laurent,"BETTY CATROUX - FALL 18
#YSL15 by ANTHONY VACCARELLO
FILMED by DAVID SIMS
#YSL #SaintLaurent #YvesSaintLaurent https://t.co/M81PWNb485",972047247969062912
8,Mon Mar 05 15:22:20 +0000 2018,Saint Laurent,"G-EAZY wearing SAINT LAURENT by ANTHONY VACCARELLO
VANITY FAIR OSCAR PARTY
#YSL #SaintLaurent #YvesSaintLaurent #Oscars https://t.co/QlS5ITnRhw",970680919580401664
9,Mon Mar 05 15:21:34 +0000 2018,Saint Laurent,"AMBER VALLETTA wearing SUMMER 18 by ANTHONY VACCARELLO
VANITY FAIR OSCAR PARTY
#YSL #SaintLaurent #YvesSaintLaurent #Oscars https://t.co/YqEjvSs9fE",970680726378172416
