,created,handle,text,tweet_id
0,Wed Mar 07 16:05:45 +0000 2018,Akris,"Vienna 1900-1918. It was a groundbreaking time for women. Artists like Klimt &amp; Schiele portrayed the profound change in society, created reform dresses liberating women from the corset. Albert Kriemler translated this spirit into his collection. https://t.co/7kZ87mK6op https://t.co/7klnaOdfJO",971416620429127680
1,Mon Mar 05 13:29:49 +0000 2018,Akris,"A closer look into our #AkrisFW18 collection, which features Marble inspired prints and… https://t.co/iFT9Y3do37",970652605578870784
2,Sun Mar 04 17:18:36 +0000 2018,Akris,One of our powerful looks from the #AkrisFW18 collection. The green Malachite Print dress - bold… https://t.co/ymSk7Xr3mz,970347792932761600
3,Sat Mar 03 14:29:43 +0000 2018,Akris,"Bonjour Paris! 
Art and architecture play an important role in Albert Kriemler's inspiration to… https://t.co/FoJFKqy444",969942904851566592
4,Mon Dec 04 14:40:51 +0000 2017,Akris,Albert Kriemler dedicated his #AkrisCR18 collection to Cannes as the new Akris boutique opened… https://t.co/oE9uftgo14,937693184464949248
5,Thu Nov 23 16:47:03 +0000 2017,Akris,"Inspired by the Cannes lifestyle, our new Akris Cruise 2018 collection embodies a relaxed off-duty spirit. Available now online. #AkrisCR18 https://t.co/7Sbo6lV1lF",933738678492549121
6,Thu Oct 05 07:04:51 +0000 2017,Akris,"See the #AkrisSS18 show &amp; all Alexander Girard inspired looks again at https://t.co/UYvr8cYPi3
@girardstudio in collaboration with @vitra",915835158326071296
7,Thu Oct 05 04:46:56 +0000 2017,Akris,Wood works: Akris carves out a collection inspired by Alexander Girard for S/S18 https://t.co/LZNuLVdgzb via @wallpapermag https://t.co/BKH8xnDL0w,915800448996708353
8,Tue Oct 03 13:40:44 +0000 2017,Akris,See more from our #AkrisSS18 collection now on @VogueRunway. #pfw #paris https://t.co/dnenGHxW9i,915210006777253890
9,Sun Oct 01 18:11:24 +0000 2017,Akris,"Kicking off the #AkrisSS18 show with an Alexander Girard inspired dress. 
girardstudio in… https://t.co/pdmUqvtM4S",914553350435336193
10,Tue Sep 26 12:36:37 +0000 2017,Akris,How Brianna Lance Nails Cool Girl Style https://t.co/OSHqqsg8Mg via @harpersbazaarus #AkrisFW17 #AkrisAimee,912657156524167169
11,Mon Sep 25 15:09:45 +0000 2017,Akris,How Artist Rodney Graham Helped Albert Kriemler Find Inspiration for Its Latest Collection | artnet News https://t.co/RIgt4E7czg,912333307899256833
12,Mon Aug 21 06:57:47 +0000 2017,Akris,Our Fall 2017 collection just arrived. Learn more about the inspiration behind the new Fall styles &amp; discover the collection on akris.ch. https://t.co/7SJMElKaZc,899525926828068864
13,Thu Jul 06 05:11:19 +0000 2017,Akris,Akris Resort 2018 https://t.co/s1FiCuyViY via @wwd,882829291385491460
14,Tue Jul 04 12:18:23 +0000 2017,Akris,The Cruise 2018 collection is a nod to Cannes and the French Riviera... Stay tuned to find out… https://t.co/iPcaW41qdB,882211988423589888
15,Fri Jun 09 07:58:41 +0000 2017,Akris,"Our new Pre-Fall 2017 Collection just arrived. Discover the new styles on https://t.co/B8fLc0T1oc

#AkrisPF17 #AkrisInspiration #VivianMaier https://t.co/gpVMDcVPEr",873086936641961984
16,Wed May 31 09:12:17 +0000 2017,Akris,"Lady in Red: H.S.H. Princess Charlene of Monaco dazzled in a racing red Akris dress at the Monaco Grand Prix '17.
 https://t.co/gKMGMOukC1",869843968409915393
17,Mon May 22 11:45:37 +0000 2017,Akris,"We are pleased to announce the opening of our new Boutique in Cannes, located at the Boulevard de la Croisette 45-46
#AkrisBoutiques #Cannes https://t.co/QMO2TR93Tz",866621062804590593
18,Mon May 22 11:38:46 +0000 2017,Akris,Akris’s Albert Kriemler and Bergdorf Goodman Host Cocktails in Honor of Pre-Fall 2017 https://t.co/pnSNTpOwmS via @voguemagazine,866619341709684736
19,Fri May 05 12:26:23 +0000 2017,Akris,Soft colors &amp; fabrics for your wardrobe. Stunning Alessandra Ambrosio showing off the way to wear! #Akris #AlessandraAmbrosio https://t.co/88f9pDAUJc,860470728575111168
20,Thu Apr 27 06:43:50 +0000 2017,Akris,Akris's Spring 2017 Collection Was Inspired by Abstract Expressionism https://t.co/efBtynt9kG,857485421831487488
21,Thu Apr 20 08:27:34 +0000 2017,Akris,"Freida Pinto enjoying a Spring day in New York in our #AkrisSS17 ""Untitled"" dress. https://t.co/qRuUN6xe9d",854974813856833536
22,Thu Apr 13 06:16:59 +0000 2017,Akris,Embrace the Power of Straight Lines This Spring https://t.co/cMf0l2KyYG via @voguemagazine,852405234022445056
23,Mon Apr 03 13:14:08 +0000 2017,Akris,"Become a masterpiece in our ""Venetian Red, White and Black"" print organza gown inspired by… https://t.co/zL8Eq85Rv5",848886333171003393
24,Fri Mar 24 08:27:43 +0000 2017,Akris,"Strong statement: Our ""Blanco y Verde"" inspired looks from the #AkrisSS17 collection.

#Akrisinspirations #strong #statement #powerful https://t.co/6FDdYyGj8p",845190376046526465
25,Sun Mar 12 08:19:46 +0000 2017,Akris,"Stunning: Amal Clooney wears an Akris Resort 2017 camel and white long cashmere sweater. #Akris

https://t.co/PGvtnFOshA via @voguemagazine",840839722876448772
26,Tue Mar 07 15:20:13 +0000 2017,Akris,RT @VogueRunway: .@akris_official’s Fall collection was strong on forward-facing essentials: coats and bags. https://t.co/JpbYDBLSpI #PFW,839133594417143808
27,Tue Mar 07 06:28:21 +0000 2017,Akris,RT @CHRISELLEtweets: Not to self: Wear vertical lines &amp; high waisted pants to look way taller than you are. Full look @akris_official https…,838999745146269698
28,Mon Mar 06 13:13:32 +0000 2017,Akris,"It was our pleasure to have the gorgeous Sofia Carson at yesterday's FW 17 runway show. #Akrisfw17

#AkrisVIP #SofiaCarson #pfw https://t.co/IcCKaICywS",838739324548100096
29,Mon Mar 06 10:27:37 +0000 2017,Akris,RT @wallpapermag: @akris_official present a series of self-portraits by Rodney Graham #pfw #aw17 #fashion https://t.co/hF6ATe4WqZ,838697570071359488
30,Mon Mar 06 08:18:13 +0000 2017,Akris,RT @SofiaCarson: Thank you Peter and Albert for having me at your beautiful show today❤️ @akris_official https://t.co/wSvumRPXyS,838665005650350081
31,Mon Mar 06 08:17:54 +0000 2017,Akris,RT @SofiaCarson: @akris_official ♠️ #ParisFashionWeek #PFW #fw1718 #frontrow https://t.co/2l5raYxo94,838664924163411969
32,Sun Mar 05 18:21:45 +0000 2017,Akris,RT @NOWFASHION: Bold jewel tones brighten up the @akris_official #FW17 show. https://t.co/YTo0HDSbop #Akris #AkrisFW17 #PFW https://t.co/sI…,838454501929586688
33,Sun Mar 05 16:00:34 +0000 2017,Akris,It's all about a woman in a coat with a bag. Inspiration by #RodneyGraham… https://t.co/6aOEmjKUUf,838418971456114688
34,Sun Mar 05 14:54:37 +0000 2017,Akris,We're almost ready for the show. 4 PM CET today live on akris.ch… https://t.co/ktFUPeeCls,838402373257211904
35,Sun Mar 05 09:52:07 +0000 2017,Akris,Tune in today at 4 PM CET to save your front row seat at our Akris FW17 runway show live on… https://t.co/so1G20W6Q6,838326246446678016
36,Sat Mar 04 18:30:52 +0000 2017,Akris,"Bonne nuit from Akris. #Akrisfw17

#bonnenuit #parisbynight #fashionshow #pfw #paris #fashionweek https://t.co/JK2JCVYIaL",838094406565650434
37,Thu Mar 02 15:05:15 +0000 2017,Akris,Introducing our new show venue - Palais de Tokyo. Located in the heart of Paris and close to our… https://t.co/0SoUbBhaC7,837317887450886144
38,Thu Mar 02 13:03:33 +0000 2017,Akris,"We are back in Paris for our Akris FW17 runway show. Join us on Sunday, 4pm CET, live on… https://t.co/FZZPvQDTdn",837287259212742656
39,Wed Mar 01 16:36:53 +0000 2017,Akris,"Mark your calendar for this Sunday, March 5th at 4 PM CET. #Akrisfw17 live from Paris on akris.ch! #PFW https://t.co/zIYKybTpeF",836978557670797313
40,Thu Feb 16 18:54:42 +0000 2017,Akris,"Spotted: the flawless #ashleygreene at her premiere of #indubiousbattle wearing our #ss17 Blanco y Verde georgette gown
#AkrisVIP #AkrisSS17 https://t.co/JVuyL6D6z9",832302199074091011
41,Tue Jan 10 18:02:01 +0000 2017,Akris,RT @VogueRunway: .@akris_official’s Albert Kriemler was inspired by street photographer Vivian Maier for Pre-Fall 2017. https://t.co/VIgKBh…,818880588706889728
42,Thu Jan 05 10:53:22 +0000 2017,Akris,Ride into the sunset with our graphic Turf print from the cruise 2017 collection https://t.co/N7lTGv1fph #akris #printoftheseason https://t.co/RIq4bRxPM6,816960777911406593
43,Tue Dec 06 19:44:53 +0000 2016,Akris,Own the night! Find your cocktail style at https://t.co/S2sOFGhNhg #akris #holiday #party https://t.co/4QKDtGIEFw,806222901125017600
44,Thu Nov 24 16:02:59 +0000 2016,Akris,Akris cruise has arrived! Shop the collection now at akris.ch #newarrivals #akriscruise2017 https://t.co/ugcmRsShhW,801818406278283264
45,Wed Nov 16 16:03:29 +0000 2016,Akris,The most sophisticated small leather good have arrived! Shop the collection now at akris.ch #akrishorsehair #giftideas #newarrivals https://t.co/o9tCTyW5F9,798919430101233664
46,Sun Nov 13 17:29:11 +0000 2016,Akris,Cover star nicolescherzy in our favorite dress of the season for the last print issue of… https://t.co/5OtOTEZvfw,797853831426097153
47,Sun Oct 30 15:43:33 +0000 2016,Akris,Incomparable actress Kathy Bates in Akris on the cover of @ELLEmagazine's annual 'Women in Hollywood' issue. On newsstands now. #akris https://t.co/kwoe2pvtiJ,792753817339195392
48,Sun Oct 30 15:42:02 +0000 2016,Akris,"RT @fashionsizzle1: #Ciara  In @akris_official At The 2016  #CFDAAwards  #Vogue #Fashion Fund #FashionShow Event
https://t.co/qj5pi2MmTc ht…",792753436026605568
49,Wed Sep 14 14:17:06 +0000 2016,Akris,"RT @wwd: Albert Kriemler showed his @akris_official collection for the first time in the city, and went FULL-throttle. #NYFW https://t.co/O…",776062220048400384
50,Sat Sep 10 15:06:40 +0000 2016,Akris,RT @VogueRunway: View @akris_official’s Spring 2017 collection as it is shown on the runway #NYFW: https://t.co/MTNdMy8f1b https://t.co/pf7…,774625140978114560
51,Fri Sep 09 21:35:43 +0000 2016,Akris,RT @VVFriedman: Akris makes so much more sense in #NYFW than #PFW https://t.co/sMYZQX93wc,774360660520136704
52,Fri Sep 09 20:02:28 +0000 2016,Akris,Tune in to the Akris #SS17 show starting in an instant! #AKRISLOVESNYC #NYFW  https://t.co/vuhKUFli9u,774337193666048000
53,Wed Sep 07 18:13:41 +0000 2016,Akris,Such an honor!Albert Kriemler is this year's recipient of the Couture Council Award for Artistry of Fashion. https://t.co/Jq8YMLNu3J,773585042601893888
54,Wed Sep 07 15:41:19 +0000 2016,Akris,New York Fashion Week is about to start tomorrow &amp; #Akris is part of it! See what else is going on! https://t.co/0oEnYdXXY6 #NYFW @nytimes,773546700891889664
55,Tue Sep 06 16:13:55 +0000 2016,Akris,RT @FIT: #NYFW NEWS: @MuseumatFIT's #CoutureCouncil will honor Albert Kriemler of @Akris_official with the Award for Artistry of Fashion!,773192514715222016
56,Fri Sep 02 20:00:45 +0000 2016,Akris,RT @museumatFIT: 5 days until we present Albert Kriemler of @akris_official w/the 2016 #CoutureCouncil Award for Artistry of Fashion! https…,771800047260430336
57,Tue Aug 23 13:28:27 +0000 2016,Akris,"Akris punto celebrates 20 years of polka dot fever! #akris #akrispunto #20yearsAkrispunto
https://t.co/80I4Bm54xr https://t.co/lNmEcCBlrM",768077442334547968
58,Wed Aug 03 15:24:58 +0000 2016,Akris,The exclusive Ai bag for our new Houston boutique. Available only at @RODistrict. #akris #houston #accessories https://t.co/oBrB16t91H,760859007133241352
59,Wed Aug 03 06:59:26 +0000 2016,Akris,RT @FIT: Valerie Steele discusses the #CoutureCouncil Luncheon and @Akris_official's Albert Kriemler: https://t.co/qCuvd23uiE https://t.co/…,760731788587180034
60,Sat Jul 30 14:56:44 +0000 2016,Akris,It brings the house great excitement to announce that Houston is finally home to the world of Akris. @RODistrict https://t.co/uJ0yTnIYyb,759402354542338048
61,Fri Jul 29 17:58:14 +0000 2016,Akris,We are excited to open our boutique in Houston tomorrow. @RODistrict https://t.co/cff6qpg0tE,759085641992986624
62,Mon Jul 11 17:07:38 +0000 2016,Akris,"Night has fallen, the stars come out and as hues of darkness surround us, magic fills the air.… https://t.co/OmxmFvT2pj",752549925888651264
63,Thu Jul 07 15:42:20 +0000 2016,Akris,"RT @FIT: ""Akris to Stage Runway Show in New York"" via @WWD: https://t.co/iuUl5kjk6r @akris_official https://t.co/79QWKZQ1VB",751078908154548224
64,Thu Jul 07 06:16:37 +0000 2016,Akris,Akris to Stage Runway Show in New York https://t.co/v7nCg1l3Sw (from @wwd) #akris #albertkriemler #ss17 #NYFW,750936537970401280
65,Mon Jul 04 16:31:30 +0000 2016,Akris,It’s all about Love – mayaaraya and #MarcJubete dancing in Albert Kriemler's costumes for John… https://t.co/9O5oyl6odU,750004116412391424
