,created,handle,text,tweet_id
0,Wed Mar 28 09:47:54 +0000 2018,Chloé,"In a play of shadow and light, Camilla Deterre appears in an embroidered and embellished shirt and skirt from Natacha Ramsay-Levi’s #SS18 collection. The model and interior designer was photographed in New York by Robi Rodriguez for @NETAPORTER #chloeGIRLS https://t.co/0AI1Nmhhoj",978931679158046721
1,Tue Mar 27 18:06:11 +0000 2018,Chloé,"“It’s achieving a process that is enjoyable” Camilla Deterre, sharing her approach to life, wears #SS18 in a film for NET-A-PORTER #chloeGIRLS https://t.co/XYI25UP5Iq",978694687560265728
2,Tue Mar 27 16:30:19 +0000 2018,Chloé,"Elegant with attitude, Conie Vallese stands out in an embellished maxi dress and Femininities earrings from Natacha Ramsay-Levi’s #SS18 collection. The Argentinian, mixed media artist was photographed in New York by Robi Rodriguez for @NETAPORTER #chloeGIRLS https://t.co/R2aaTPGK11",978670560094900229
3,Tue Mar 27 16:01:44 +0000 2018,Chloé,"“I wake up and I know what I’m going to do, because I dreamt about it”
Conie Vallese, speaking about her relationship with art, wears #SS18 in a film for @NETAPORTER #chloeGIRLS https://t.co/saWHHbhNUY",978663368293744641
4,Tue Mar 27 15:30:11 +0000 2018,Chloé,"With striking presence, Amy Sall wears an embellished dress and Rylee boots from Natacha Ramsay-Levi’s #SS18 collection. The @sunujournal  founder was photographed in New York by Robi Rodriguez for @NETAPORTER  #chloeGIRLS https://t.co/sOoES44pBe",978655427243241475
5,Tue Mar 27 14:53:11 +0000 2018,Chloé,"“Sunu means OUR, it’s meant to represent our space and collective voice”
Amy Sall on what fed her desire to found @sunujournal in a film for @NETAPORTER highlighting our #SS18 collection #chloeGIRLS https://t.co/Q9XCH1U6Ah",978646119461867520
6,Mon Mar 26 19:30:26 +0000 2018,Chloé,"In the dim light of an empty gallery, Rithika Merchant’s print motif appears like art. Discover the Zoë Le Ber-directed film featuring Okay Kaya on Semaine Online for Matches Fashion #chloeGIRLS
Picture by Georgia Hilmer https://t.co/h8qT62nNR7",978353500437524480
7,Mon Mar 26 19:00:33 +0000 2018,Chloé,"Rylee boots from Natacha Ramsay-Levi’s #SS18 collection giving good silhouette in Galatea, a short film by Zoë Le Ber and Semaine Online for Matches Fashion #chloeGIRLS
Picture by Georgia Hilmer https://t.co/AkuBG5JuOx",978345983364030464
8,Mon Mar 26 18:30:16 +0000 2018,Chloé,"The Drew Bijou looking particularly sculptural in a film featuring Okay Kaya by Zoe Le Ber on Semaine Online for Matches Fashion #chloeGIRLS
Picture by Georgia Hilmer https://t.co/f858zvuvyk",978338362217172997
9,Mon Mar 26 17:58:53 +0000 2018,Chloé,"Finding Okay Kaya in Natacha Ramsay-Levi’s #SS18 collection for a film by Zoë Le Ber on Semaine Online for Matches Fashion #chloeGIRLS
Picture by Georgia Hilmer https://t.co/44brzEby48",978330464275529728
10,Mon Mar 26 17:55:22 +0000 2018,Chloé,"In a gallery after-hours, Okay Kaya emerges as a singing sculpture dressed in the horse-embroidered suit from Natacha Ramsay-Levi’s #SS18 collection. A film by Semaine Online and Zoë Le Ber for Matches Fashion #chloeGIRLS https://t.co/0Vy03ENcMy",978329578358833153
11,Mon Mar 26 17:35:50 +0000 2018,Chloé,"Our #SS18 femininity takes on a new form: Okay Kaya wears Natacha Ramsay-Levi’s collection in Galatea, an enigmatic short film by Semaine Online and Zoë Le Ber for Matches Fashion in which art gallery sculptures come to life #chloeGIRLS
Picture by Georgia Hilmer https://t.co/54hNpyM3w9",978324664081616897
12,Wed Mar 21 16:48:18 +0000 2018,Chloé,"In Steven Meisel’s short film of Natacha Ramsay-Levi’s #SS18 collection, new Rosie sunglasses are the centre of attention. Shop the styles on https://t.co/6TGSGUy9vS #chloeGIRLS https://t.co/kmujuHOxB9",976500761222926336
13,Wed Mar 21 16:29:53 +0000 2018,Chloé,Another view of Steven Meisel’s short film featuring Rosie sunglasses from Natacha Ramsay-Levi’s #SS18 collection. Find new frames on https://t.co/QUC579UKKH #chloeGIRLS https://t.co/MkwU68EmeS,976496125925617665
14,Tue Mar 20 14:25:42 +0000 2018,Chloé,"Looking forward to Spring in the style of Natacha Ramsay-Levi. New sunglasses from the #SS18 collection, as captured in a short film by #Steven Meisel, are available now. Discover more on https://t.co/FD9v4Jo40P #chloeGIRLS https://t.co/8RkRd5P8e4",976102484606320640
15,Fri Mar 16 11:32:11 +0000 2018,Chloé,"From up here, Nomade muse Ariane Labed reflects back on her journey with these breathtaking perspectives; for though the road trip is over, the fragrance endures. Discover our new scent on https://t.co/NajMu8mMLK #chloeGIRLS https://t.co/wOGIzmLhEc",974609267855634432
16,Fri Mar 16 11:32:03 +0000 2018,Chloé,"From up here, Nomade muse Ariane Labed reflects back on her journey with these breathtaking perspectives; for though the road trip is over, the fragrance endures. Discover our new scent on https://t.co/83577hW8gg #chloeGIRLS https://t.co/RbhrFWGKNH",974609234175373313
17,Thu Mar 15 18:14:03 +0000 2018,Chloé,The Nomade road trip follows the free-spirited nature of our new fragrance with up-close encounters in the desert of Palm Springs. Discover the evocative scent on https://t.co/c7ayZK88O3 #chloeGIRLS https://t.co/KfPQpqeWaR,974348012033060864
18,Thu Mar 15 18:13:27 +0000 2018,Chloé,The Nomade road trip follows the free-spirited nature of our new fragrance with up-close encounters in the desert of Palm Springs. Discover the evocative scent on https://t.co/2mHXXcJ2Gu #chloeGIRLS https://t.co/BjRqj3Bcjj,974347863453990912
19,Thu Mar 15 16:55:42 +0000 2018,Chloé,"Embodying the independent, charismatic essence of our new fragrance, Nomade, photographer and writer Laura Austin joins the California road trip to host a workshop on her travel experiences. Shop Nomade on https://t.co/ammvluOfkm #chloeGIRLS https://t.co/BCdG5Jydo8",974328296598056961
20,Thu Mar 15 16:51:42 +0000 2018,Chloé,"Marking another stop on the Nomade road trip, a performance from local indie rock band War Paint who tap into the same freedom of expression as our new fragrance. Ariane Labed, meanwhile, appears lifted by the desert setting. Discover Nomade on https://t.co/NyJ4JvPHuv #chloeGIRLS https://t.co/8w3hBaJW11",974327287997976577
21,Thu Mar 15 16:50:45 +0000 2018,Chloé,"Inspired by the great outdoors and living for the moment, Nomade #chloeGIRLS and our muse, Ariane Labed, make the most of their California road-trip. Discover the new scent on https://t.co/YORhw2AyIn https://t.co/fpwa3eHYX3",974327050759786496
22,Thu Mar 15 16:47:41 +0000 2018,Chloé,"Inspired by the great outdoors and living for the moment, Nomade #chloeGIRLS and our muse, Ariane Labed, make the most of their California road-trip. Discover the new scent on https://t.co/P3C7TPjZTU https://t.co/VHQY9tav9t",974326279628521472
23,Wed Mar 14 17:08:41 +0000 2018,Chloé,"Nomade in nature: our new fragrance and its muse, Ariane Labed, take a picturesque pause during the Nomade road-trip between L.A. and Palm Springs. Discover the free-spirited scent on https://t.co/29zMYxK2Lc #chloeGIRLS https://t.co/FhKrEzHGiS",973969177005486081
24,Wed Mar 14 17:07:17 +0000 2018,Chloé,"A portrait of #chloeGIRLS on the Nomade road-trip; together, they embody the individualist, natural character of Chloé's new scent. Discover the fragrance on https://t.co/BqpiJYdvSg #chloeGIRLS https://t.co/xrH3G37lU2",973968824012767233
25,Wed Mar 14 17:05:56 +0000 2018,Chloé,"Chloé's new scent, Nomade, gets star treatment at the Fox Theater in Pomona, California. As a stop on the continuing road-trip, the restored Art Deco cinema offered a brief trip back in time. Discover the fragrance on https://t.co/ipprLJGaD3 #chloeGIRLS https://t.co/DlZ6cOlxUg",973968482378354688
26,Tue Mar 13 14:15:16 +0000 2018,Chloé,"A long way from Paris: muse Ariane Labed embraces the spirit of our new scent, Nomade, as the California road-trip continues. Discover the fragrance on https://t.co/RZUqM0sRX0 #chloeGIRLS https://t.co/rGuraouz9E",973563143837405185
27,Tue Mar 13 14:01:02 +0000 2018,Chloé,"California's arid expanse provides an ideal backdrop to conjure up the spirit of Nomade, our latest scent. An immersive road-trip begins. Follow along and discover the scent on https://t.co/b7B9Mc1Eq0 #chloeGIRLS https://t.co/OxIBtZ7Au5",973559563424321536
28,Tue Mar 13 13:40:10 +0000 2018,Chloé,"On the road and inspired by limitless horizons, the Nomade road-trip starts a journey through California tomorrow. Discover our evocative new fragrance on https://t.co/OpKPRD6SsG #chloeGIRLS https://t.co/Ohl8s9Wllw",973554312235376640
29,Tue Mar 13 13:24:46 +0000 2018,Chloé,"Nomade, our new fragrance, was created in the spirit of evocative encouters that exist beyond time. Bringing these moments to life, a road trip gets underway in California. Follow along on https://t.co/EZuXUgJjUG #chloeGIRLS https://t.co/leK32WAcpL",973550436270649344
30,Tue Mar 06 18:00:30 +0000 2018,Chloé,"""A light femininity, yet very strong"" With Natavha Ramsay-Levi's show still fresh in her mind, Ariane Labed shared her thoughts with us. Find more on https://t.co/cTgokJ1IxY #chloeGIRLS https://t.co/SjkfbrBYot",971083113928560643
31,Tue Mar 06 16:46:26 +0000 2018,Chloé,"A deeper look: The radiophonic print, goat hair fringes, hammered cuffs and high-laced boots. Explore Natacha Ramsay-Levi’s #FW18 collection in greater detail here and watch the show on https://t.co/cTgokJ1IxY #chloeGIRLS https://t.co/EhSE77Wc4U",971064471572701185
