,created,handle,text,tweet_id
0,Wed Mar 28 15:20:38 +0000 2018,Giorgio Armani,"Contrasting colours inspired by nature paint the summery palette of the SS18 #GiorgioArmani menswear fashion show collection. 

Discover more here:
https://t.co/6RzQvd881q https://t.co/x50XStMt4e",979015412133384193
1,Tue Mar 27 14:08:15 +0000 2018,Giorgio Armani,"Have fun and smile, it’s contagious!
Discover the Spring Summer 2018 #GAeyewear collection online now

https://t.co/b53pkiDeQl https://t.co/hfdFyZT3Xm",978634810716508160
2,Tue Mar 27 14:07:06 +0000 2018,Giorgio Armani,"Elegant shades to see life with a new perspective this summer thanks to #GAeyewear

Discover the collection here:
https://t.co/b53pkiDeQl https://t.co/ga8Dh8Q3o1",978634519107563521
3,Mon Mar 26 13:25:41 +0000 2018,Giorgio Armani,"Embrace the change of season with supple leather jackets from #GiorgioArmani

https://t.co/qoPWiLvxsq https://t.co/QYiMJmxCcF",978261708434296833
4,Mon Mar 26 08:06:18 +0000 2018,Giorgio Armani,RT @vogue_italia: Elegantissima l'attrice #CateBlanchett in completo total white by @GiorgioArmani a Sydney #BestDressed https://t.co/H8M60…,978181334135865345
5,Sun Mar 25 08:51:55 +0000 2018,Giorgio Armani,Netted heapieces by #GiorgioArmani are all the rage on @harpersbazaarES https://t.co/RPU1eTLGT9,977830424822079488
6,Sun Mar 25 08:51:11 +0000 2018,Giorgio Armani,Actress @PenelopeCruz1 in #GiorgioArmani  SS18 collection on @ellespain https://t.co/YL1TCPOq9T,977830240813813760
7,Sun Mar 25 08:48:54 +0000 2018,Giorgio Armani,"Don't be afraid to go overboard on the tulle #GiorgioArmani
@BazaarBR https://t.co/2YJc4VWhRp",977829667964178432
8,Sun Mar 25 08:01:19 +0000 2018,Giorgio Armani,"RT @DuJourMedia: View these exclusive sunglasses from @giorgioarmani, combining elegance and creativity. https://t.co/LCneM4vVsc",977817691959504896
9,Sat Mar 24 08:58:37 +0000 2018,Giorgio Armani,"Keep it casual, with a hint of understated elegance with a sharply tailored checked blazer by #GiorgioArmani
Discover more patterned blazers at https://t.co/ZHE6S8XZEU https://t.co/SwmWR4UsRY",977469724396347392
10,Fri Mar 23 15:01:51 +0000 2018,Giorgio Armani,"Celebrate spring with a millennial pink mini bag by #GiorgioArmani
Ph: Micheal Bodiam Credits: @VogueSpain https://t.co/UtVu86FDAa",977198749268115457
11,Fri Mar 23 14:49:53 +0000 2018,Giorgio Armani,Make pink your go-to pop of colour this spring. Discover the SS18 #GiorgioArmani fashion show collection here: https://t.co/nFeQskauop https://t.co/DCSfRCVLdD,977195736558440449
12,Thu Mar 22 17:24:42 +0000 2018,Giorgio Armani,RT @A_Calascibetta: Oggi #FrancescoScianna in @giorgioarmani #backstagesecrets #stylemagazineitalia https://t.co/ZcznxBcIUd,976872307359670274
13,Thu Mar 22 16:32:08 +0000 2018,Giorgio Armani,"Since 2010, @AcquaForLife program has brought over 880 million liters of clean water to 146 communities across Africa, America and Asia.
For #WorldWaterDay, follow @BarbaraPalvin, face of ACQUA DI GIOIA in Sri Lanka. Raise awareness by posting what #WaterMeans to you. https://t.co/DfT6aEedFp",976859081930665986
14,Thu Mar 22 16:20:42 +0000 2018,Giorgio Armani,"Be amazed by what you see: life. #GAeyewear
Discover the collection here: https://t.co/b53pkiDeQl https://t.co/1jmg3SNYZa",976856203878895617
15,Thu Mar 22 16:19:15 +0000 2018,Giorgio Armani,"Find the time to enjoy the small things in life #GAeyewear 
Discover the collection here:
https://t.co/b53pkiDeQl https://t.co/zq22vJfgJY",976855838576037888
16,Thu Mar 22 12:04:38 +0000 2018,Giorgio Armani,Steven Spielberg received the Life Achievement Award 2018 during the 62nd @PremiDavid in Rome in a @GiorgioArmani tuxedo. #ArmaniStars https://t.co/5fFXa1nD0C,976791763439575040
17,Thu Mar 22 12:04:04 +0000 2018,Giorgio Armani,Sonia Bergamasco wore a crystal embroidered lamè tulle #GiorgioArmaniPrivé gown at the 62nd @PremiDavid in Rome. #ArmaniStars https://t.co/FSGSzdkebN,976791617062481920
18,Thu Mar 22 12:03:21 +0000 2018,Giorgio Armani,Actress @PaolaCortellesi walks the red carpet ahead of the 62nd @PremiDavid in a #GiorgioArmani silk gown.  #ArmaniStars https://t.co/VwcwiHeXX3,976791437789548550
19,Thu Mar 22 12:02:43 +0000 2018,Giorgio Armani,Singer @Giorgia performs during the 62nd @PremiDavid awards ceremony in Rome wearing a #GiorgioArmaniPrivé embroidered blouse and velvet skirt. #ArmaniStars https://t.co/Z67osHc1pk,976791279966261249
20,Wed Mar 21 16:27:09 +0000 2018,Giorgio Armani,"The SS18 #ArmaniDolci collection includes a delicious Colomba, the traditional Italian dessert enjoyed during the Easter festivities.
Discover the entire Ss18 collection here: https://t.co/yOEYygHQnP https://t.co/WfA7E4Hj9y",976495436830789634
21,Wed Mar 21 09:24:20 +0000 2018,Giorgio Armani,Ava duVernay looks stunning in a #GiorgioArmani coat embroidered with chinoiserie patterns at the David Rockefeller Award Luncheon Honouring Oprah Winfrey held at the @MuseumModernArt in NY #ArmaniStars @ava https://t.co/7N1DT97j7t,976389034527350784
22,Tue Mar 20 16:21:15 +0000 2018,Giorgio Armani,In the mood for spring in #GiorgioArmani pastels on the cover of @amicamagazine https://t.co/cXJZtlFyrW,976131567465660416
