,created,handle,text,tweet_id
0,Mon Mar 26 17:03:05 +0000 2018,GIVENCHY,"Singer @Harry_Styles wore a #Givenchy custom made stage costume, designed by #ClareWaightKeller, to the Harry Styles : Live Tour 2018 Oberhausen concert. https://t.co/rgQ2ycv5MW",978316421980741635
1,Fri Mar 23 14:14:05 +0000 2018,GIVENCHY,"Taking its name from the initials of the Maison’s landmark address on the Avenue George V, number 3, the GV3 marks a defining moment in Givenchy’s history as the first handbag in a new collection from Clare Waight Keller. Now available in-store and on https://t.co/PuBvL1Llgh https://t.co/bW0IQhv4Oj",977186727243730944
2,Wed Mar 21 14:39:46 +0000 2018,GIVENCHY,The Givenchy Spring Summer 2018 collection designed by #ClareWaightKeller is now available in-store and online. Discover the men collection on https://t.co/mDs0OKEHto  #GivenchySS18 https://t.co/CEj1eypxbj,976468412984627202
3,Tue Mar 20 16:09:50 +0000 2018,GIVENCHY,The Givenchy Spring Summer 2018 collection designed by #ClareWaightKeller is now available in-store and online. Discover the women collection on https://t.co/uMtMB6clRm #GivenchySS18 https://t.co/OcAohzdABI,976128692496814080
4,Mon Mar 12 13:50:39 +0000 2018,GIVENCHY,"The House of Givenchy is sad to report the passing of its founder Hubert de Givenchy, a major personality of the world of French Haute Couture and a gentleman who symbolized Parisian chic and elegance for more than half a century. He will be greatly missed. https://t.co/xapm0zSwDy",973194563027456000
5,Mon Mar 12 09:32:56 +0000 2018,GIVENCHY,"Actress @CharlizeAfrica wore a #Givenchy Fall 2018 outfit, designed by #ClareWaightKeller, to the @JimmyKimmelLive Show. https://t.co/W16KzztNvD",973129706156457984
6,Wed Mar 07 18:39:53 +0000 2018,GIVENCHY,Relive the #GivenchyFW18 show by #ClareWaightKeller. Discover more on https://t.co/gfkigY1KmF https://t.co/mVXJp3FWK8,971455412859006979
7,Tue Mar 06 12:14:07 +0000 2018,GIVENCHY,"Actor @chadwickboseman wore a custom made #GivenchyHauteCouture outfit, designed by #ClareWaightKeller and inspired from the SS18 collection, to the #90thAcademyAwards.
#Oscars https://t.co/d5iZayYD0n",970995941330255872
8,Tue Mar 06 12:08:47 +0000 2018,GIVENCHY,"Actress @GalGadot wore a #GivenchyHauteCouture outfit, designed by #ClareWaightKeller, to the #90thAcademyAwards. 
#Oscars https://t.co/8KY8BeP1Sq",970994601707343873
9,Sun Mar 04 19:38:17 +0000 2018,GIVENCHY,The facade of the #GivenchyFW18 show venue. Relive the show on https://t.co/gfkigY1KmF https://t.co/BXzQpBLGi6,970382945767870464
10,Sun Mar 04 10:07:46 +0000 2018,GIVENCHY,Look 60 from the #GivenchyFW18 show designed by #ClareWaightKeller. https://t.co/ENy6eWWjx6,970239370568589312
11,Sun Mar 04 10:06:18 +0000 2018,GIVENCHY,Look 53 from the #GivenchyFW18 show designed by #ClareWaightKeller. https://t.co/G7ptup8fFz,970239001813815296
12,Sun Mar 04 10:00:03 +0000 2018,GIVENCHY,Look 44 from the #GivenchyFW18 show designed by #ClareWaightKeller. https://t.co/CGpwwL6ctJ,970237429339828224
13,Sun Mar 04 09:57:40 +0000 2018,GIVENCHY,Look 35 from the #GivenchyFW18 show designed by #ClareWaightKeller. https://t.co/eb4ITh8Loz,970236829030146048
14,Sun Mar 04 09:54:31 +0000 2018,GIVENCHY,The maxi GV3 on the look 9 from the #GivenchyFW18 show designed by #ClareWaightKeller. https://t.co/FxknmSmllf,970236033529937921
15,Sun Mar 04 09:50:46 +0000 2018,GIVENCHY,Look 1 from the #GivenchyFW18 show designed by #ClareWaightKeller. https://t.co/iwjHLScmyZ,970235089962586112
16,Sun Mar 04 09:02:33 +0000 2018,GIVENCHY,The #GivenchyFW18 show by #ClareWaightKeller has started. Watch it live on https://t.co/gfkigY1KmF,970222955996303361
17,Sat Mar 03 18:16:01 +0000 2018,GIVENCHY,"The #GivenchyFW18 show by #ClareWaightKeller. Live on https://t.co/gfkigY1KmF Sunday at 10am, Paris time. https://t.co/ZFaz941eIy",969999852657610752
18,Wed Feb 21 16:45:27 +0000 2018,GIVENCHY,"#RosamundPike wore a Givenchy Haute Couture Spring-Summer 2018 outfit, designed by #ClareWaightKeller to the #7DaysInEntebbe World Premiere held during the 68th @berlinale International Film Festival. #GivenchyCoutureSS18 https://t.co/aE4geKLtxs",966353183386816514
19,Tue Feb 20 14:24:49 +0000 2018,GIVENCHY,"#RosamundPike wore a #GivenchySS18 outfit, designed by #ClareWaightKeller to the #7DaysInEntebbe photocall held during the 68th @berlinale International Film Festival. https://t.co/iXRtNbdC49",965955404424413184
20,Tue Feb 20 10:06:56 +0000 2018,GIVENCHY,"Adwoa Aboah wore a #Givenchy Spring Summer 2018 outfit designed by #ClareWaightKeller to the #VogueParty. 
#GivenchySS18 https://t.co/BFgHeEIekF",965890503924436998
21,Mon Feb 19 12:01:11 +0000 2018,GIVENCHY,"Best actress nominee @MargotRobbie wore a #Givenchy Haute Couture Spring-Summer 2018 outfit, designed by #ClareWaightKeller to the #EEBAFTAs #GivenchyCoutureSS18 https://t.co/UtjYEEX7s0",965556870470619137
22,Mon Feb 19 10:34:17 +0000 2018,GIVENCHY,"#MiaWasikowska wore a Givenchy Fall 2018 outfit, designed by #ClareWaightKeller, to the #Damsel Premiere. https://t.co/nQ6Nrv4beL",965535000174256128
23,Fri Feb 16 13:41:05 +0000 2018,GIVENCHY,"To celebrate the in-store arrival of Clare Waight Keller's first collections, #Givenchy is delighted to premiere its SS18 ready-to-wear and accessories lines in a true Givenchy ""home"" in three flagships: Avenue Montaigne in Paris, Via Sant’ Andrea in Milan and Madison in NYC. https://t.co/qnYulEClDX",964494847473221634
24,Mon Feb 12 14:28:45 +0000 2018,GIVENCHY,"Actor @chadwickboseman wore a #GivenchySS18 outfit, designed by #ClareWaightKeller, to the #BlackPanther European Premiere. https://t.co/mNLVN1rDPK",963057290201980928
