,created,handle,text,tweet_id
0,Mon Mar 26 13:35:35 +0000 2018,KENZO,"La Collection Memento N°2 pays tribute to the origins of KENZO Jeans founded in 1986. Get the Denim ""Bamboo Tiger"" cap worn by @britneyspears, available in limited edition in stores and on https://t.co/9iIg0nBm0Q. #KenzoLovesBritney #CollectionMemento2 https://t.co/7agJiJuKA7",978264199456489472
1,Sun Mar 25 21:00:02 +0000 2018,KENZO,".@britneyspears in @kenzo Collection Memento N°2, photographed by @peterlindbergh. Discover the collection on https://t.co/9iIg0nBm0Q. #KenzoLovesBritney #CollectionMemento2 https://t.co/g4OEQIugCY",978013662488211462
2,Sat Mar 24 17:23:14 +0000 2018,KENZO,oFollow the #KENZOTruck around Paris today and take your chance to win tickets for the @britneyspears concert tour! Join the Facebook event for more info on the itinerary and contests. #kenzolovesbritney #kenzodrivesmecrazy #CollectionMemento2 https://t.co/jnnvNdCmod,977596714877145089
3,Sat Mar 24 11:59:53 +0000 2018,KENZO,".@britneyspears is @grazia_fr's cover girl, wearing a cap and denim jacket from @kenzo Collection Memento N°2 and photographed by @peterlindbergh. Get your issue now and read the exclusive interview ! #kenzolovesbritney #collectionmemento2 https://t.co/VkkvCLHwsA",977515343148089344
4,Thu Mar 22 16:42:35 +0000 2018,KENZO,".@britneyspears for @kenzo collection Memento N°2, photographed by @peterlindbergh. Visit https://t.co/9iIg0nBm0Q to see the full story. #KenzoLovesBritney #KENZO #CollectionMemento2 https://t.co/HoSNedFUDK",976861708265410560
5,Wed Mar 21 16:31:02 +0000 2018,KENZO,"The iconic Britney Spears featuring a denim-on-denim look photographed by Peter Lindbergh for the new KENZO campaign. Discover the full story online https://t.co/5WIQtRzRC6. 
#KenzoLovesBritney #KENZO #CollectionMemento2 https://t.co/TUjHYKBQNu",976496413357084672
6,Tue Mar 20 17:38:17 +0000 2018,KENZO,Get behind the scenes of the campaign with @britneyspears photographed by @peterlindbergh #KenzoLovesBritney https://t.co/HWt6e4XTCP,976150950535749632
7,Tue Mar 20 16:19:01 +0000 2018,KENZO,".@britneyspears embodies the new @kenzo campaign photographed by @peterlindbergh, featuring the cropped 'Jumping Tiger' sweatshirt. Visit https://t.co/9iIg0nBm0Q to discover the new iconic campaign.  
#KenzoLovesBritney #KENZO #CollectionMemento2 https://t.co/Vt2EDAHLZ0",976131004288118785
8,Tue Mar 20 15:50:02 +0000 2018,KENZO,".@britneyspears is the quintessential queen of denim and the new face of @kenzo, photographed by @peterlindbergh. Visit https://t.co/9iIg0nBm0Q to discover the new iconic campaign. #KenzoLovesBritney #KENZO #CollectionMemento2 https://t.co/MhPKCy0lyK",976123709458132997
9,Tue Mar 20 15:30:03 +0000 2018,KENZO,".@britneyspears is the new face of KENZO! The Queen of Pop was photographed by @peterlindbergh for the new KENZO campaign, featuring the iconic Bamboo Tiger print. Discover the campaign on https://t.co/9iIg0nBm0Q. #KenzoLovesBritney #KENZO #CollectionMemento2 https://t.co/Fcm5hoxieH",976118680949010432
10,Mon Mar 19 17:47:52 +0000 2018,KENZO,"Are you ready? The new KENZO campaign will be revealed tomorrow at 5:30PM CET. 
#KENZO #CollectionMemento2 https://t.co/GCczBMo8B2",975790974923354112
11,Mon Mar 19 15:39:03 +0000 2018,KENZO,Follow the KENZO truck around Paris and get your KENZO Cola in limited edition! #KenzoLovesAmerica #KENZO #CollectionMemento2 https://t.co/R6NP6wUTaQ,975758556157882369
12,Mon Mar 19 14:00:03 +0000 2018,KENZO,The Bamboo Tiger print is an expression of East meets West and one of the most iconic print of the House. Get ready for the launch of the new KENZO campaign tomorrow March 20th 💥. #KENZO #CollectionMemento2 https://t.co/pXrgRRZltL,975733643191771138
13,Sat Mar 17 15:00:03 +0000 2018,KENZO,"Iconic and bold, the new @kenzo campaign is all about denim. Stay tuned for March 20th. #KENZO #CollectionMemento2 https://t.co/eW2zTUeq2A",975023965906366465
14,Fri Mar 16 15:00:17 +0000 2018,KENZO,"The new @KENZO campaign will be revealed on March 20th, stay tuned… #KENZO #CollectionMemento2 https://t.co/EHI7QmDi4t",974661638736498688
15,Thu Mar 15 17:00:02 +0000 2018,KENZO,Suit up à la KENZO. Discover all the looks of KENZO's Spring/Summer 2018 collection on https://t.co/x21XItsbkh. Editorial story shot by @scandebergs and set design by Thomas Bird. #KENZOSS18 #KENZODenim https://t.co/uQrN4PtiAq,974329386072764417
16,Thu Mar 15 15:00:02 +0000 2018,KENZO,The classic leather jacket never goes out of style. Discover the HYPER KENZO leather jacket on https://t.co/dfLysEp3Dw. #KENZOSS18 #KENZODenim https://t.co/1eI0NAi69b,974299187755016193
17,Thu Mar 15 10:16:18 +0000 2018,KENZO,"RT @LVMHPrize: THE #LVMHPRIZE FINALISTS ! Congrats to these amazing emerging talents, see you in june for the final 
@ACOLDWALL #BOTTER @_c…",974227784166989824
18,Thu Mar 15 09:37:44 +0000 2018,KENZO,Read the exclusive interview of @KarenO and #AnaLilyAmirpour on @kenzo's Spring/Summer 2018 campaign film YO! MY SAINT https://t.co/V97VBwtqiV,974218078027427845
19,Wed Mar 14 17:00:02 +0000 2018,KENZO,KENZO brings streetwear on to the catwalk as a lifestyle with avant-garde pieces : discover the graphic polo now in stores and on https://t.co/K2szAPYaqY. #KENZOSS18 #KENZODenim https://t.co/qD8lCjanXo,973966997125062656
20,Wed Mar 14 15:00:02 +0000 2018,KENZO,The ideal partner for your daily life: the KENZO leather Logo Backpack. To discover in stores and on https://t.co/2cvzhGuQJ4. #KENZOSS18 #KENZODenim https://t.co/jOfpwwA4RA,973936799490953216
21,Tue Mar 13 17:00:03 +0000 2018,KENZO,The reinterpretation of Kenzo Takada's legendary muses who inspired #KENZOSS18 collection: model Sayoko Yamaguchi and Ryuichi Sakamoto wearing new colorful prints. Discover the new editorial story on https://t.co/bLtOUpoLjs shot by @scandebergs and set design by Thomas Bird. https://t.co/wSq1vepsTB,973604612627484672
22,Tue Mar 13 15:00:02 +0000 2018,KENZO,Tiny Kalifornia bag turns into fire red for the Spring/Summer 2018 collection! Photo shot by @scandebergs and set design by Thomas Bird. #KENZOSS18 #KENZODenim https://t.co/3jwkKRQs5J,973574412015456257
23,Mon Mar 12 17:00:02 +0000 2018,KENZO,The HYPER KENZO Denim Trucker Jacket that you need. Discover all the Spring/Summer 2018 collection on https://t.co/0mgmakllxN with the new editorial story shot by @scandebergs and set design by Thomas Bird. #KENZOSS18 #KENZODenim https://t.co/kFaTB4zwjj,973242221439930369
24,Mon Mar 12 15:00:02 +0000 2018,KENZO,"Off the runway: this oversized HYPER KENZO t-shirt dress featured on https://t.co/UpxFq5wdHS, new editorial story shot by @scandebergs and set design by Thomas Bird. #KENZOSS18 #KENZODenim https://t.co/9BTbt1t46F",973212024942616576
25,Mon Mar 12 13:17:22 +0000 2018,KENZO,"The KENZO Madeleine store is now reopened! Come and discover the new KENZO concept created by the architect Fabrizio Casiraghi at 27 Boulevard de la Madeleine, 75008 Paris. https://t.co/uCKzvkiBs8",973186187107225600
26,Sun Mar 11 17:00:02 +0000 2018,KENZO,Get this limited edition jumper of Ryuichi Sakamoto on https://t.co/1ohIeImpin and discover the new editorial story shot by @scandebergs and set design by Thomas Bird. #KENZOSS18 #KENZODenim https://t.co/gkxSfIWzZV,972879834929131520
